manufacturer,manufacturer_slug,product_id,sku,name,slug,description,short_description,category,category_slug,material,material_slug,price,sale_price,frame_only_price,cost,msrp,markup_percent,pricing_mode,weight,dimensions,specs,tags,show_price_online,available_online,in_store_only,quote_only,featured,featured_at,display_order,low_stock_threshold,is_active,created_at,updated_at,variants,fabric_options,fabric_pools,finish_options,finish_pools,images,attributes
Hanamint,hanamint,2982,245711-18,"Sherwood 16"" x 18"" Rect. Tea Table",sherwood-16-x-18-rect-tea-table-hm,"Sherwood 16"" x 18"" Tea Table in Terra Mist Finish. Height is

<p>Sherwood 16"" x 18"" Tea Table in Terra Mist Finish. Height is 22"".</p>","Sherwood 16"" x 18"" Tea Table in Terra Mist Finish. Height is",Coffee & Side Tables,cat-coffee-side-tables,,,,,,,,,fixed,,,,"[""Sherwood"",""Tables""]",false,true,false,true,false,,0,0,true,2026-05-30 04:01:18.964866+00,2026-06-09 22:52:37.657+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/245711-18/245711-18_main.jpg"",""alt_text"":""Sherwood 16\"" x 18\"" Rect. Tea Table"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/245711-18/245711-18_2.jpg"",""alt_text"":""Sherwood 16\"" x 18\"" Rect. Tea Table"",""is_primary"":false,""display_order"":1,""image_kind"":""gallery"",""variant_id"":null}]",[]
Hanamint,hanamint,2983,245715-06,"Sherwood 16""x70"" Counter Ht. Console Table",sherwood-16-x70-counter-ht-console-table-hm,"Sherwood 16""x70"" Counter Ht. Console Table in Desert Bronze

<p>Sherwood 16""x70"" Counter Ht. Console Table in Desert Bronze Finish.</p>","Sherwood 16""x70"" Counter Ht. Console Table in Desert Bronze",Coffee & Side Tables,cat-coffee-side-tables,,,,,,,,,fixed,,,,"[""Sherwood"",""Tables""]",false,true,false,true,false,,0,0,true,2026-05-30 04:01:19.242185+00,2026-06-09 22:52:37.657+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/245715-06/245715-06_main.jpg"",""alt_text"":""Sherwood 16\""x70\"" Counter Ht. Console Table"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/245715-06/245715-06_2.jpg"",""alt_text"":""Sherwood 16\""x70\"" Counter Ht. Console Table"",""is_primary"":false,""display_order"":1,""image_kind"":""gallery"",""variant_id"":null}]",[]
Hanamint,hanamint,2985,245743-18,"Sherwood 24""x48"" Rect. Coffee Table",sherwood-24-x48-rect-coffee-table-hm,"Sherwood 24""x48"" Rect. Coffee Table in Terra Mist

<p>Sherwood 24""x48"" Rect. Coffee Table in Terra Mist Finish.</p>","Sherwood 24""x48"" Rect. Coffee Table in Terra Mist",Coffee & Side Tables,cat-coffee-side-tables,,,,,,,,,fixed,,,,"[""Sherwood"",""Tables""]",false,true,false,true,false,,0,0,true,2026-05-30 04:01:19.877387+00,2026-06-09 22:52:37.657+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/245743-18/245743-18_main.jpg"",""alt_text"":""Sherwood 24\""x48\"" Rect. Coffee Table"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/245743-18/245743-18_2.jpg"",""alt_text"":""Sherwood 24\""x48\"" Rect. Coffee Table"",""is_primary"":false,""display_order"":1,""image_kind"":""gallery"",""variant_id"":null}]",[]
Hanamint,hanamint,2948,247142,Stratford Sling Dining Chair,stratford-sling-dining-chair-hm,"Stratford Sling Dining Chair. Choice of three different

<p>Stratford Sling Dining Chair. Choice of three different slings.</p>",Stratford Sling Dining Chair. Choice of three different,Dining,cat-dining,,,,,,,,,fixed,,,,"[""Stratford"",""Dining""]",false,true,false,true,false,,0,0,true,2026-05-30 04:01:06.1288+00,2026-06-09 22:52:37.617+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247142/247142_main.jpg"",""alt_text"":""Stratford Sling Dining Chair"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247142/247142_2.jpg"",""alt_text"":""Stratford Sling Dining Chair"",""is_primary"":false,""display_order"":1,""image_kind"":""gallery"",""variant_id"":null}]",[]
Hanamint,hanamint,2929,247331-18,Stratford Chaise Lounge,stratford-chaise-lounge-hm,"Stratford Chaise Lounge in Terra Mist. Includes choice of

<p>Stratford Chaise Lounge in Terra Mist. Includes choice of cushion.</p>",Stratford Chaise Lounge in Terra Mist. Includes choice of,Chaise Lounges,cat-chaise-lounges,,,,,,,,,fixed,,,,"[""Stratford"",""Deep Seating & Lounge""]",false,true,false,true,false,,0,0,true,2026-05-30 04:00:54.214331+00,2026-06-09 22:52:37.61+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247331-18/247331-18_main.jpg"",""alt_text"":""Stratford Chaise Lounge"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247331-18/247331-18_2.jpg"",""alt_text"":""Stratford Chaise Lounge"",""is_primary"":false,""display_order"":1,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247331-18/247331-18_3.jpg"",""alt_text"":""Stratford Chaise Lounge"",""is_primary"":false,""display_order"":2,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247331-18/247331-18_4.jpg"",""alt_text"":""Stratford Chaise Lounge"",""is_primary"":false,""display_order"":3,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247331-18/247331-18_5.jpg"",""alt_text"":""Stratford Chaise Lounge"",""is_primary"":false,""display_order"":4,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247331-18/247331-18_6.jpg"",""alt_text"":""Stratford Chaise Lounge"",""is_primary"":false,""display_order"":5,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247331-18/247331-18_7.jpg"",""alt_text"":""Stratford Chaise Lounge"",""is_primary"":false,""display_order"":6,""image_kind"":""gallery"",""variant_id"":null}]",[]
Hanamint,hanamint,2932,247336,Stratford Sling Chaise Lounge,stratford-sling-chaise-lounge-hm,"Stratford Sling Chaise Lounge. Choice of four different

<p>Stratford Sling Chaise Lounge. Choice of four different slings.</p>",Stratford Sling Chaise Lounge. Choice of four different,Chaise Lounges,cat-chaise-lounges,,,,,,,,,fixed,,,,"[""Stratford"",""Deep Seating & Lounge""]",false,true,false,true,false,,0,0,true,2026-05-30 04:00:55.482924+00,2026-06-09 22:52:37.61+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247336/247336_main.jpg"",""alt_text"":""Stratford Sling Chaise Lounge"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247336/247336_2.jpg"",""alt_text"":""Stratford Sling Chaise Lounge"",""is_primary"":false,""display_order"":1,""image_kind"":""gallery"",""variant_id"":null}]",[]
Hanamint,hanamint,2934,247341-18,Stratford Swivel Rocker,stratford-swivel-rocker-hm,"Stratford Swivel Rocker in Terra

<p>Stratford Swivel Rocker in Terra Mist.</p>",Stratford Swivel Rocker in Terra,Deep Seating,cat-deep-seating,,,,,,,,,fixed,,,,"[""Stratford"",""Deep Seating & Lounge""]",false,true,false,true,false,,0,0,true,2026-05-30 04:00:56.483957+00,2026-06-09 22:52:37.631+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247341-18/247341-18_main.jpg"",""alt_text"":""Stratford Swivel Rocker"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247341-18/247341-18_2.jpg"",""alt_text"":""Stratford Swivel Rocker"",""is_primary"":false,""display_order"":1,""image_kind"":""gallery"",""variant_id"":null}]",[]
Hanamint,hanamint,2933,247342,Stratford Sling Swivel Rocker,stratford-sling-swivel-rocker-hm,"Stratford Sling Swivel Rocker. Choice of three different

<p>Stratford Sling Swivel Rocker. Choice of three different slings.</p>",Stratford Sling Swivel Rocker. Choice of three different,Deep Seating,cat-deep-seating,,,,,,,,,fixed,,,,"[""Stratford"",""Deep Seating & Lounge""]",false,true,false,true,false,,0,0,true,2026-05-30 04:00:55.896378+00,2026-06-09 22:52:37.631+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247342/247342_main.jpg"",""alt_text"":""Stratford Sling Swivel Rocker"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247342/247342_2.jpg"",""alt_text"":""Stratford Sling Swivel Rocker"",""is_primary"":false,""display_order"":1,""image_kind"":""gallery"",""variant_id"":null}]",[]
Hanamint,hanamint,3000,247351-18,Stratford Swivel Bar Stool,stratford-swivel-bar-stool-hm,"Stratford Swivel Bar Stool in Terra Mist. Includes choices of

<p>Stratford Swivel Bar Stool in Terra Mist. Includes choices of cushion.</p>",Stratford Swivel Bar Stool in Terra Mist. Includes choices of,Bar,cat-bar,,,,,,,,,fixed,,,,"[""Stratford"",""Bar & Counter Stools""]",false,true,false,true,false,,0,0,true,2026-05-30 04:01:27.314479+00,2026-06-09 22:52:37.515+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247351-18/247351-18_main.jpg"",""alt_text"":""Stratford Swivel Bar Stool"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247351-18/247351-18_2.jpg"",""alt_text"":""Stratford Swivel Bar Stool"",""is_primary"":false,""display_order"":1,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247351-18/247351-18_3.jpg"",""alt_text"":""Stratford Swivel Bar Stool"",""is_primary"":false,""display_order"":2,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247351-18/247351-18_4.jpg"",""alt_text"":""Stratford Swivel Bar Stool"",""is_primary"":false,""display_order"":3,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247351-18/247351-18_5.jpg"",""alt_text"":""Stratford Swivel Bar Stool"",""is_primary"":false,""display_order"":4,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247351-18/247351-18_6.jpg"",""alt_text"":""Stratford Swivel Bar Stool"",""is_primary"":false,""display_order"":5,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247351-18/247351-18_7.jpg"",""alt_text"":""Stratford Swivel Bar Stool"",""is_primary"":false,""display_order"":6,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247351-18/247351-18_8.jpg"",""alt_text"":""Stratford Swivel Bar Stool"",""is_primary"":false,""display_order"":7,""image_kind"":""gallery"",""variant_id"":null}]",[]
Hanamint,hanamint,2998,247352,Stratford Sling Swivel Bar Stool,stratford-sling-swivel-bar-stool-hm,"Stratford Sling Swivel Bar Stool. Choice of two different

<p>Stratford Sling Swivel Bar Stool. Choice of two different slings.</p>",Stratford Sling Swivel Bar Stool. Choice of two different,Bar,cat-bar,,,,,,,,,fixed,,,,"[""Stratford"",""Bar & Counter Stools""]",false,true,false,true,false,,0,0,true,2026-05-30 04:01:24.257994+00,2026-06-09 22:52:37.515+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247352/247352_main.jpg"",""alt_text"":""Stratford Sling Swivel Bar Stool"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/247352/247352_2.jpg"",""alt_text"":""Stratford Sling Swivel Bar Stool"",""is_primary"":false,""display_order"":1,""image_kind"":""gallery"",""variant_id"":null}]",[]
