brand,name,grade,color_family,swatch_image_url,manufacturer_id,is_active
Sunbrella,Bliss Aloe,A,Green,/objects/fabrics/swatches/northcape/nc_bliss-aloe.jpg,17,true
Sunbrella,Bliss Dew,A,Blue,/objects/fabrics/swatches/northcape/nc_bliss-dew.jpg,17,true
Sunbrella,Bravada Limelite,B,Green,/objects/fabrics/swatches/northcape/nc_bravada-limelite.jpg,17,true
Sunbrella,Canvas Air Blue,A,Blue,/objects/fabrics/swatches/northcape/nc_canvas-air-blue.jpg,17,true
Sunbrella,Canvas Black,A,Black,/objects/fabrics/swatches/northcape/nc_canvas-black.jpg,17,true
Sunbrella,Canvas Canvas,A,Beige,/objects/fabrics/swatches/northcape/nc_canvas-canvas.jpg,17,true
Sunbrella,Canvas Granite,A,Gray,/objects/fabrics/swatches/northcape/nc_canvas-granite.jpg,17,true
Sunbrella,Canvas Jockey Red,B,Red,/objects/fabrics/swatches/northcape/nc_canvas-jockey-red.jpg,17,true
Sunbrella,Canvas Natural,A,Beige,/objects/fabrics/swatches/northcape/nc_canvas-natural.jpg,17,true
Sunbrella,Canvas Navy,A,Navy,/objects/fabrics/swatches/northcape/nc_canvas-navy.jpg,17,true
Sunbrella,Canvas Persimmon,A,Red,/objects/fabrics/swatches/northcape/nc_canvas-persimmon.jpg,17,true
Sunbrella,Canvas Spa,A,Teal,/objects/fabrics/swatches/northcape/nc_canvas-spa.jpg,17,true
Sunbrella,Canvas Tangerine,B,Orange,/objects/fabrics/swatches/northcape/nc_canvas-tangerine.jpg,17,true
Sunbrella,Cast Ash,A,Beige,/objects/fabrics/swatches/northcape/nc_cast-ash.jpg,17,true
Sunbrella,Cast Breeze,A,Teal,/objects/fabrics/swatches/northcape/nc_cast-breeze.jpg,17,true
Sunbrella,Cast Horizon,A,Blue,/objects/fabrics/swatches/northcape/nc_cast-horizon.jpg,17,true
Sunbrella,Cast Shale,A,Beige,/objects/fabrics/swatches/northcape/nc_cast-shale.jpg,17,true
Sunbrella,Complement Cilantro,B,Green,/objects/fabrics/swatches/northcape/nc_complement-cilantro.jpg,17,true
Sunbrella,Cove Pebble,A,Gray,/objects/fabrics/swatches/northcape/nc_cove-pebble.jpg,17,true
Sunbrella,Direction Linen,D,Beige,/objects/fabrics/swatches/northcape/nc_direction-linen.jpg,17,true
Sunbrella,Dream Dune,E,Beige,/objects/fabrics/swatches/northcape/nc_dream-dune.jpg,17,true
Sunbrella,Dream Mist,E,White,/objects/fabrics/swatches/northcape/nc_dream-mist.jpg,17,true
Sunbrella,Dupione Deep Sea,B,Blue,/objects/fabrics/swatches/northcape/nc_dupione-deep-sea.jpg,17,true
Sunbrella,Echo Ash,B,Beige,/objects/fabrics/swatches/northcape/nc_echo-ash.jpg,17,true
Sunbrella,Escape Denim,F,Blue,/objects/fabrics/swatches/northcape/nc_escape-denim.jpg,17,true
Sunbrella,Fretwork Flax,E,Beige,/objects/fabrics/swatches/northcape/nc_fretwork-flax.jpg,17,true
Sunbrella,Fretwork Pewter,E,Gray,/objects/fabrics/swatches/northcape/nc_fretwork-pewter.jpg,17,true
Sunbrella,Gateway Mist,A,Blue,/objects/fabrics/swatches/northcape/nc_gateway-mist.jpg,17,true
Sunbrella,Helena Mist,B,Blue,/objects/fabrics/swatches/northcape/nc_helena-mist.jpg,17,true
Sunbrella,Lido Indigo,C,Navy,/objects/fabrics/swatches/northcape/nc_lido-indigo.jpg,17,true
Sunbrella,Linen Canvas,B,Beige,/objects/fabrics/swatches/northcape/nc_linen-canvas.jpg,17,true
Sunbrella,Luxe Indigo,F,Navy,/objects/fabrics/swatches/northcape/nc_luxe-indigo.jpg,17,true
Sunbrella,Milano Char,A,Gray,/objects/fabrics/swatches/northcape/nc_milano-char.jpg,17,true
Sunbrella,Momento Dove,F,Gray,/objects/fabrics/swatches/northcape/nc_momento-dove.jpg,17,true
Sunbrella,Principle Lagoon,E,Multicolor,/objects/fabrics/swatches/northcape/nc_principle-lagoon.jpg,17,true
Sunbrella,Relate Harbor,C,Navy,/objects/fabrics/swatches/northcape/nc_relate-harbor.jpg,17,true
Sunbrella,Shore Classic,B,Gray,/objects/fabrics/swatches/northcape/nc_shore-classic.jpg,17,true
Sunbrella,Spectrum Cilantro,B,Green,/objects/fabrics/swatches/northcape/nc_spectrum-cilantro.jpg,17,true
Sunbrella,Spectrum Denim,A,Blue,/objects/fabrics/swatches/northcape/nc_spectrum-denim.jpg,17,true
Sunbrella,Spectrum Dove,A,Gray,/objects/fabrics/swatches/northcape/nc_spectrum-dove.jpg,17,true
Sunbrella,Spectrum Indigo,A,Navy,/objects/fabrics/swatches/northcape/nc_spectrum-indigo.jpg,17,true
Sunbrella,Spectrum Mushroom,A,Beige,/objects/fabrics/swatches/northcape/nc_spectrum-mushroom.jpg,17,true
Sunbrella,Spectrum Sand,A,Beige,/objects/fabrics/swatches/northcape/nc_spectrum-sand.jpg,17,true
Sunbrella,Voyage Dune,E,Beige,/objects/fabrics/swatches/northcape/nc_voyage-dune.jpg,17,true
Sunbrella,Voyage Indigo,E,Navy,/objects/fabrics/swatches/northcape/nc_voyage-indigo.jpg,17,true
