sku,item_name,msrp_frame,aa_fabrics,a_fabrics,b_fabrics,c_fabrics,d_fabrics,frame_only_available
425-C,Center Sectional,2164.00,4089.00,4320.00,4578.72,4868.49,5193.02,Yes
419-O,Ottoman,943.00,1442.00,1501.88,1568.95,1644.06,1728.19,Yes
487-O,Curved Bench/Ottoman,1269.00,2255.00,2373.32,2505.84,2654.26,2820.49,Yes
428-CH,Chaise,2046.00,3808.00,4019.44,4256.25,4521.48,4818.54,Yes
86156-CC,Lounge Chair,1263.00,2054.00,2148.92,2255.23,2374.30,2507.65,Yes
86156-SB,Spring Base Lounge Chair,1399.00,2190.00,2284.92,2391.23,2510.30,2643.65,Yes
86156-SR,Swivel Rocker Lounge Chair,1453.00,2244.00,2338.92,2445.23,2564.30,2697.65,Yes
86156-2S,Love Seat,1781.00,3363.00,3552.84,3765.46,4003.60,4270.31,Yes
86156-3S,Sofa,2260.00,4633.00,4917.76,5236.69,5593.89,5993.96,Yes
86158-L,Left Sectional,1985.00,3527.00,3712.04,3919.28,4151.40,4411.37,Yes
86158-R,Right Sectional,1985.00,3527.00,3712.04,3919.28,4151.40,4411.37,Yes
86158-C,Center Sectional,1912.00,3454.00,3639.04,3846.28,4078.40,4338.37,Yes
8690-O,Ottoman,765.00,1122.00,1164.84,1212.82,1266.56,1326.75,Yes
651-S,Dining Side Chair,884.00,1117.00,1144.96,1176.28,1211.35,1250.63,Yes
651-SCS,Armless Swivel Counter Stool,1297.00,1530.00,1557.96,1589.28,1624.35,1663.63,Yes
651-SBS,Armless Swivel Bar Stool,1297.00,1530.00,1557.96,1589.28,1624.35,1663.63,Yes
653-A,Dining Arm Chair,928.00,1182.00,1212.48,1246.62,1284.85,1327.67,Yes
653-SR,Swivel Rocker Dining Arm Chair,1313.00,1567.00,1597.48,1631.62,1669.85,1712.67,Yes
653-SCS,Swivel Counter Stool,1399.00,1653.00,1683.48,1717.62,1755.85,1798.67,Yes
653-SBS,Swivel Bar Stool,1399.00,1653.00,1683.48,1717.62,1755.85,1798.67,Yes
695-CC,Lounge Chair,1408.00,2270.00,2373.44,2489.29,2619.05,2764.37,Yes
695-SB,Spring Base Lounge Chair,1662.00,2524.00,2627.44,2743.29,2873.05,3018.37,Yes
695-SR,Swivel Rocker Lounge Chair,1768.00,2630.00,2733.44,2849.29,2979.05,3124.37,Yes
695-2S,Love Seat,2422.00,4146.00,4352.88,4584.59,4844.10,5134.75,Yes
695-3S,Sofa,2934.00,5520.00,5830.32,6177.88,6567.14,7003.12,Yes
692-L,Left Sectional,2553.00,4735.00,4996.84,5290.10,5618.55,5986.42,Yes
692-R,Right Sectional,2553.00,4735.00,4996.84,5290.10,5618.55,5986.42,Yes
692-C,Center Sectional,2484.00,4666.00,4927.84,5221.10,5549.55,5917.42,Yes
696-O,Ottoman,911.00,1363.00,1417.24,1477.99,1546.03,1622.23,Yes
699-CH,Chaise,2308.00,3523.00,3668.80,3832.10,4014.99,4219.83,Yes
77192-A,Sling Dining Chair,,,1522.00,,1598.57,,No
77192-SR,Sling Swivel Rocker Dining Chair,,,1933.00,,2009.57,,No
77192-CS,Sling Counter Stool,,,1705.00,,1781.57,,No
77192-BS,Sling Bar Stool,,,1705.00,,1781.57,,No
77192P-A,Padded Sling Dining Arm Chair,,1785.00,1852.68,1928.48,2013.38,2108.46,No
77192P-SR,Padded Sling Swivel Rocker Dining Arm Chair,,2196.00,2263.68,2339.48,2424.38,2519.46,No
77192P-CS,Padded Sling Counter Stool,,1968.00,2035.68,2111.48,2196.38,2291.46,No
77192P-BS,Padded Sling Bar Stool,,1968.00,2035.68,2111.48,2196.38,2291.46,No
77186-CC,Lounge Chair,1221.00,2146.00,2257.00,2381.32,2520.56,2676.51,Yes
77186-SR,Swivel Rocker Lounge Chair,1498.00,2423.00,2534.00,2658.32,2797.56,2953.51,Yes
77186-2S,Love Seat,1915.00,3765.00,3987.00,4235.64,4514.12,4826.01,Yes
77186-3S,Sofa,2590.00,5365.00,5698.00,6070.96,6488.68,6956.52,Yes
77186-2L,Left Double Sectional,1688.00,3538.00,3760.00,4008.64,4287.12,4599.01,Yes
77186-2R,Right Double Sectional,1688.00,3538.00,3760.00,4008.64,4287.12,4599.01,Yes
77186-C,Center Sectional,1126.00,2051.00,2162.00,2286.32,2425.56,2581.51,Yes
77186-CR,Corner Sectional,1225.00,2698.00,2874.76,3072.73,3294.46,3542.79,Yes
77187-B,Bench/Ottoman,1063.00,1873.00,1970.20,2079.06,2200.99,2337.55,Yes
77180-O,Ottoman,811.00,1300.00,1358.68,1424.40,1498.01,1580.45,Yes
77198-CH,Sling Chaise,,,2476.00,,2567.08,,No
