sku,name,category,grade,color_family,image_url,detail_url
61184,Zenith Oatmeal,Cushion Fabrics,,Beige / Sand / Tan,"https://platform.brownjordan.com/media/catalog/product/Z/e/ZenithOatmeal_61184_Swatch_12inX12in_2c34.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61184
61175,Chinchilla Granite,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/C/h/ChinchillaGranite_61175_Swatch_12inX12in_b9dd.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61175
61173,Chinchilla Navy,Cushion Fabrics,,Blue / Navy / Teal,"https://platform.brownjordan.com/media/catalog/product/C/h/ChinchillaNavy_61173_Swatch_12inX12in_b15f.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61173
61189,Big Idea Steel,Cushion Fabrics,,Black,"https://platform.brownjordan.com/media/catalog/product/B/i/BigIdeaSteel_61189_Swatch_12inX12in_9436.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61189
61183,Hayden Linen,Cushion Fabrics,,White / Ivory / Cream,"https://platform.brownjordan.com/media/catalog/product/H/a/HaydenLinen_61183_Swatch_12inX12in_9723.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61183
61188,Big Idea Indigo,Cushion Fabrics,,Blue / Navy / Teal,"https://platform.brownjordan.com/media/catalog/product/B/i/BigIdeaIndigo_61188_Swatch_12inX12in_9021.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61188
61180,Hayden Taupe,Cushion Fabrics,,White / Ivory / Cream,"https://platform.brownjordan.com/media/catalog/product/H/a/HaydenTaupe_61180_Swatch_12inX12in_dcae.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61180
61185,Muscle Beach Stone,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/M/u/MuscleBeachStone_61185_Swatch_12inX12in_352c.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61185
61178,Chinchilla Storm,Cushion Fabrics,,Beige / Sand / Tan,"https://platform.brownjordan.com/media/catalog/product/C/h/ChinchillaStorm_61178_Swatch_12inX12in_ff40.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61178
61187,Muscle Beach Navy,Cushion Fabrics,,Blue / Navy / Teal,"https://platform.brownjordan.com/media/catalog/product/M/u/MuscleBeachNavy_61187_Swatch_12inX12in_cd16.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61187
61174,Chinchilla Cream,Cushion Fabrics,,White / Ivory / Cream,"https://platform.brownjordan.com/media/catalog/product/C/h/ChinchillaCream_61174_Swatch_12inX12in_1aae.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61174
61186,Muscle Beach Grey,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/M/u/MuscleBeachGrey_61186_Swatch_12inX12in_a8c3.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61186
61177,Chinchilla Marble,Cushion Fabrics,,White / Ivory / Cream,"https://platform.brownjordan.com/media/catalog/product/C/h/ChinchillaMarble_61177_Swatch_12inX12in_afdd.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61177
61170,Chinchilla Aqua,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/C/h/ChinchillaAqua_61170_Swatch_12inX12in_0a52.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61170
61172,Chinchilla Willow,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/C/h/ChinchillaWillow_61172_Swatch_12inX12in_bd73.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61172
61190,Big Idea Tweed,Cushion Fabrics,,Multi / Pattern,"https://platform.brownjordan.com/media/catalog/product/B/i/BigIdeaTweed_61190_Swatch_12inX12in_36af.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61190
61179,Falcon Spa,Cushion Fabrics,,Beige / Sand / Tan,"https://platform.brownjordan.com/media/catalog/product/F/a/FalconSpa_61179_Swatch_12inX12in_43d7.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61179
61182,Zenith Linen,Cushion Fabrics,,White / Ivory / Cream,"https://platform.brownjordan.com/media/catalog/product/Z/e/ZenithLinen_61182_Swatch_12inX12in_5980.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61182
61171,Chinchilla Blue,Cushion Fabrics,,Blue / Navy / Teal,"https://platform.brownjordan.com/media/catalog/product/C/h/ChinchillaBlue_61171_Swatch_12inX12in_d10a.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61171
61181,Big Idea Flax,Cushion Fabrics,,Beige / Sand / Tan,"https://platform.brownjordan.com/media/catalog/product/B/i/BigIdeaFlax_61181_Swatch_12inX12in_779d.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61181
61168,Seascape,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/6/1/61168_seascape_8b69.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61168
61167,Luxe Black,Cushion Fabrics,,Black,"https://platform.brownjordan.com/media/catalog/product/6/1/61167_luxe_black_59fd.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61167
61166,Sage Blue,Cushion Fabrics,,Green,"https://platform.brownjordan.com/media/catalog/product/6/1/61166_sage_blue_4133.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61166
61165,White Hot,Cushion Fabrics,,White / Ivory / Cream,"https://platform.brownjordan.com/media/catalog/product/6/1/61165_whitehot_1839.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/61165
89066,Evergreen,Cushion Fabrics,,Green,"https://platform.brownjordan.com/media/catalog/product/8/9/89066_tropitone_large_bee0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89066
10276,Poppy Red,Cushion Fabrics,,Red / Coral / Pink,"https://platform.brownjordan.com/media/catalog/product/1/0/10276_tropitone_large_e3fc.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/10276
12334,Calistoga,Cushion Fabrics,,Multi / Pattern,"https://platform.brownjordan.com/media/catalog/product/1/2/12334_tropitone_large_1015.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/12334
