finish_type,finish_name,sku,grade,swatch_url
Sling,James,466,B,https://img.telescopecasual.com/PAT/200/466.jpg?v=2024-06-15-11.50.12.234618
Sling,Beacon,476,B,https://img.telescopecasual.com/PAT/200/476.jpg?v=2019-01-08-11.11.55.169646
Sling,Boulder,489,B,https://img.telescopecasual.com/PAT/200/489.jpg?v=2019-01-08-11.11.55.406840
Sling,Cane Navy,493,B,https://img.telescopecasual.com/PAT/200/493.jpg?v=2023-05-31-16.41.23.786497
Sling,Kipton,498,A,https://img.telescopecasual.com/PAT/200/498.jpg?v=2025-07-07-02.20.17.516028
Sling,Tan,531,A,https://img.telescopecasual.com/PAT/200/531.jpg?v=2019-01-08-11.10.46.975528
Sling,Night,538,A,https://img.telescopecasual.com/PAT/200/538.jpg?v=2019-01-08-11.10.47.390133
Sling,Deacon,558,B,https://img.telescopecasual.com/PAT/200/558.jpg?v=2021-06-30-13.32.19.057541
Sling,Harbor,559,A,https://img.telescopecasual.com/PAT/200/559.jpg?v=2021-06-30-13.32.19.469256
Sling,Burke,561,B,https://img.telescopecasual.com/PAT/200/561.jpg?v=2021-06-30-13.32.20.074854
Sling,Storm,564,B,https://img.telescopecasual.com/PAT/200/564.jpg?v=2021-06-30-13.34.58.532131
Sling,Cole,576,A,https://img.telescopecasual.com/PAT/200/576.jpg?v=2021-06-30-13.35.00.051487
Sling,Nimbus Ocean,577,A,https://img.telescopecasual.com/PAT/200/577.jpg?v=2021-06-30-13.35.00.388348
Sling,Charm,578,B,https://img.telescopecasual.com/PAT/200/578.jpg?v=2021-06-30-13.35.00.801462
Sling,Chantilly,579,B,https://img.telescopecasual.com/PAT/200/579.jpg?v=2021-06-30-13.35.01.080271
Sling,Mocha,630,A,https://img.telescopecasual.com/PAT/200/630.jpg?v=2019-01-08-11.10.49.694971
Sling,Breeze,749,A,https://img.telescopecasual.com/PAT/200/749.jpg?v=2019-01-08-11.10.55.686757
Sling,Tweed,753,A,https://img.telescopecasual.com/PAT/200/753.jpg?v=2019-01-08-11.10.55.935321
Sling,Skip,865,B,https://img.telescopecasual.com/PAT/200/865.jpg?v=2019-01-08-11.12.27.797571
Sling,Brooks,868,B,https://img.telescopecasual.com/PAT/200/868.jpg?v=2019-01-08-11.12.27.293545
Sling,Elevation Stone,870,A,https://img.telescopecasual.com/PAT/200/870.jpg?v=2019-01-08-11.12.26.817150
Sling,Augustine Pewter,872,A,https://img.telescopecasual.com/PAT/200/872.jpg?v=2019-01-08-11.12.26.966039
Sling,Augustine Oyster,874,A,https://img.telescopecasual.com/PAT/200/874.jpg?v=2019-01-08-11.12.28.555808
Sling,Ella,877,A,https://img.telescopecasual.com/PAT/200/877.jpg?v=2019-01-08-11.12.29.232998
Sling,Smoke,878,B,https://img.telescopecasual.com/PAT/200/878.jpg?v=2019-01-08-11.12.29.171398
Sling,Vineyard,889,A,https://img.telescopecasual.com/PAT/200/889.jpg?v=2019-01-08-11.12.34.624840
Sling,Mavi,950,A,https://img.telescopecasual.com/PAT/200/950.jpg?v=2019-01-08-11.12.09.283519
Sling,Alloy,957,A,https://img.telescopecasual.com/PAT/200/957.jpg?v=2019-01-08-11.12.10.569762
Sling,Putty,998,B,https://img.telescopecasual.com/PAT/200/998.jpg?v=2025-07-07-02.20.17.699120
Powdercoat,White Txt PC,,,https://img.telescopecasual.com/FN/200/38.jpg?v=2019-08-25-22.26.19.298097
Powdercoat,Snow PC,,,https://img.telescopecasual.com/FN/200/6.jpg?v=2019-01-08-11.12.45.458410
Powdercoat,Warm Grey PC,,,https://img.telescopecasual.com/FN/200/36.jpg?v=2019-01-08-11.12.36.914605
Powdercoat,Desert Sand PC,,,https://img.telescopecasual.com/FN/200/41.jpg?v=2025-07-07-00.52.01.851236
Powdercoat,Beachwood PC,,,https://img.telescopecasual.com/FN/200/34.jpg?v=2019-01-08-11.12.48.750768
Powdercoat,Kona PC,,,https://img.telescopecasual.com/FN/200/32.jpg?v=2019-01-08-11.12.44.783482
Powdercoat,Storm PC,,,https://img.telescopecasual.com/FN/200/39.jpg?v=2021-07-13-13.40.31.190619
Powdercoat,Graphite Txt PC,,,https://img.telescopecasual.com/FN/200/31.jpg?v=2019-01-08-11.12.44.686080
Powdercoat,Black PC,,,https://img.telescopecasual.com/FN/200/8.jpg?v=2019-01-08-11.12.45.914782
MGP,Snow MGP,,,https://img.telescopecasual.com/FN/200/PW.jpg?v=2019-01-08-11.12.47.647757
MGP,Warm Grey MGP,,,https://img.telescopecasual.com/FN/200/PY.jpg?v=2019-01-08-11.12.37.139689
MGP,Desert Sand MGP,,,https://img.telescopecasual.com/FN/200/DS.jpg?v=2025-07-07-00.52.01.673061
MGP,Beachwood MGP,,,https://img.telescopecasual.com/FN/200/PJ.jpg?v=2019-01-08-11.12.48.470041
MGP,Kona MGP,,,https://img.telescopecasual.com/FN/200/PK.jpg?v=2019-01-08-11.12.47.225150
