SKU,Name,Brand,Grade,Primary Color,All Colors,Design,Swatch Image URL
2696,Sydney Birch,Sattler / Outdura,F,White,White,Stripes,https://frankford.b-cdn.net/fabric_swatches/outdura_sydney_sydney-birch_2696.jpg
2731,Wyndham Silver,Sattler / Outdura,F,Grey,Grey,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_wyndham_wyndham-silver_2731.jpg
324001,Firemaster Carmine,Sattler / Outdura,F,Red,Red,Solids,https://frankford.b-cdn.net/fabric_swatches/outdura_firemaster_firemaster-carmine_324001.jpg
324010,Firemaster Frost,Sattler / Outdura,F,White,White,Solids,https://frankford.b-cdn.net/fabric_swatches/outdura_firemaster_firemaster-frost_324010.jpg
324022,Firemaster Storm,Sattler / Outdura,F,Grey,Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/outdura_firemaster_firemaster-storm_324022.jpg
324023,Firemaster Tawny,Sattler / Outdura,F,Beige,Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/outdura_firemaster_firemaster-tawny_324023.jpg
324024,Firemaster Sangria,Sattler / Outdura,F,Red,Red,Solids,https://frankford.b-cdn.net/fabric_swatches/outdura_firemaster_firemaster-sangria_324024.jpg
324025,Firemaster Mist,Sattler / Outdura,F,Grey,Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/outdura_firemaster_firemaster-mist_324025.jpg
324028,Firemaster Raven,Sattler / Outdura,F,Black,Black,Solids,https://frankford.b-cdn.net/fabric_swatches/outdura_firemaster_firemaster-raven_324028.jpg
324029,Firemaster Pebble,Sattler / Outdura,F,Beige,Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/outdura_firemaster_firemaster-pebble_324029.jpg
3376,Whisper Earth,Sattler / Outdura,F,Orange,Orange,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_whisper_whisper-earth_3376.jpg
3381,Whisper Antique,Sattler / Outdura,F,Brown,Brown,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_whisper_whisper-antique_3381.jpg
3710,Bedrock Sky,Sattler / Outdura,F,Blue,Blue,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_bedrock_bedrock-sky_3710.jpg
3711,Bedrock Ice,Sattler / Outdura,F,Blue,Blue,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_bedrock_bedrock-ice_3711.jpg
3714,Bedrock Almond,Sattler / Outdura,F,Brown,Brown,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_bedrock_bedrock-almond_3714.jpg
3715,Bedrock Tamale,Sattler / Outdura,F,Red,Red,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_bedrock_bedrock-tamale_3715.jpg
3717,Bedrock Smoke,Sattler / Outdura,F,Grey,Grey,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_bedrock_bedrock-smoke_3717.jpg
475W,Whitney Palm,Sattler / Outdura,F,Green,Green,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_whitney_whitney-palm_475W.jpg
50963/1,Donatello Cherry,Tempotest®,F,Red,Red,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_donatello-cherry_50963-1.jpg
50963/10,Donatello Nickel,Tempotest®,F,Grey,Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_donatello-nickel_50963-10.jpg
50963/14,Donatello Dark Navy,Tempotest®,F,Blue,Blue,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_donatello-dark-navy_50963-14.jpg
50963/15,Donatello Cobalt,Tempotest®,F,Blue,Blue,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_donatello-cobalt_50963-15.jpg
50963/16,Donatello Toffee,Tempotest®,F,Beige,Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_donatello-toffee_50963-16.jpg
50964/13,Michelangelo Mocha,Tempotest®,F,Beige,Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_michelangelo-mocha_50964-13.jpg
50964/14,Michelangelo Silver,Tempotest®,F,Grey,Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_michelangelo-silver_50964-14.jpg
50964/16,Michelangelo Bark,Tempotest®,F,Brown,Brown | Black,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_michelangelo-bark_50964-16.jpg
50964/17,Michelangelo Carbon,Tempotest®,F,Grey,Grey | Black,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_michelangelo-carbon_50964-17.jpg
50964/18,Michelangelo Nickel,Tempotest®,F,Grey,Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_michelangelo-nickel_50964-18.jpg
50964/19,Michelangelo Midnight,Tempotest®,F,Black,Black | Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_michelangelo-midnight_50964-19.jpg
50964/2,Michelangelo Fire Orange,Tempotest®,F,Orange,Orange,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_michelangelo-fire-orange_50964-2.jpg
50964/20,Michelangelo Deep Blue,Tempotest®,F,Blue,Blue,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_michelangelo-deep-blue_50964-20.jpg
50964/21,Michelangelo Deep Sea,Tempotest®,F,Blue,Blue | Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_michelangelo-deep-sea_50964-21.jpg
50964/22,Michelangelo Toast,Tempotest®,F,Beige,Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_michelangelo-toast_50964-22.jpg
50964/23,Michelangelo Silver Beige,Tempotest®,F,Grey,Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_michelangelo-silver-beige_50964-23.jpg
50964/3,Michelangelo Buttercup,Tempotest®,F,Yellow,Yellow,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_michelangelo-buttercup_50964-3.jpg
50964/4,Michelangelo Lime,Tempotest®,F,Green,Green,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_michelangelo-lime_50964-4.jpg
50964/5,Michelangelo Olive,Tempotest®,F,Green,Green,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_michelangelo-olive_50964-5.jpg
50964/6,Michelangelo Shore Blue,Tempotest®,F,Blue,Blue,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_michelangelo-shore-blue_50964-6.jpg
50964/7,Michelangelo Sky Blue,Tempotest®,F,Blue,Blue,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_michelangelo-sky-blue_50964-7.jpg
50964/8,Michelangelo Lilac,Tempotest®,F,Purple,Purple | Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_michelangelo-lilac_50964-8.jpg
50964/9,Michelangelo Plum,Tempotest®,F,Purple,Purple,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_michelangelo-plum_50964-9.jpg
50965/1,Raffaello Parchment,Tempotest®,F,Beige,Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_raffaello-parchment_50965-1.jpg
50965/10,Raffaello Pebble,Tempotest®,F,Grey,Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_raffaello-pebble_50965-10.jpg
50965/18,Raffaello Navy,Tempotest®,F,Blue,Blue,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_raffaello-navy_50965-18.jpg
50965/2,Raffaello Latte,Tempotest®,F,Beige,Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_raffaello-latte_50965-2.jpg
50965/3,Raffaello Smoke,Tempotest®,F,Grey,Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_raffaello-smoke_50965-3.jpg
50965/36,Raffaello White,Tempotest®,F,White,White,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_raffaello-white_50965-36.jpg
50965/4,Raffaello Nickel,Tempotest®,F,Grey,Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_raffaello-nickel_50965-4.jpg
50965/5,Raffaello Taupe,Tempotest®,F,Grey,Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_raffaello-taupe_50965-5.jpg
50965/51,Raffaello Graphite,Tempotest®,F,Grey,Grey | Black,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_raffaello-graphite_50965-51.jpg
50965/54,Raffaello Shore Blue,Tempotest®,F,Blue,Blue,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_raffaello-shore-blue_50965-54.jpg
50965/6,Raffaello Dark Pewter,Tempotest®,F,Grey,Grey | Black,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_raffaello-dark-pewter_50965-6.jpg
50965/8,Raffaello Charcoal,Tempotest®,F,Grey,Grey | Black,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_raffaello-charcoal_50965-8.jpg
50965/9,Raffaello Mocha,Tempotest®,F,Beige,Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_raffaello-mocha_50965-9.jpg
51377/700,Striato White,Tempotest®,F,White,White,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_striato-white_51377-700.jpg
51377/709,Striato Marlin,Tempotest®,F,Blue,Blue,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_striato-marlin_51377-709.jpg
51377/710,Striato Pebble,Tempotest®,F,Grey,Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_striato-pebble_51377-710.jpg
51377/770,Striato Beach,Tempotest®,F,Beige,Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_striato-beach_51377-770.jpg
51608/16,Caravaggio Pool,Tempotest®,F,Blue,Blue,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_caravaggio-pool_51608-16.jpg
51608/31,Caravaggio Silver,Tempotest®,F,Grey,Grey | White,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_caravaggio-silver_51608-31.jpg
51608/32,Caravaggio Storm,Tempotest®,F,Black,Black | White,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_caravaggio-storm_51608-32.jpg
51608/34,Caravaggio Parchment,Tempotest®,F,White,White,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_caravaggio-parchment_51608-34.jpg
51608/41,Caravaggio Toast,Tempotest®,F,Beige,Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_caravaggio-toast_51608-41.jpg
51608/7,Caravaggio White,Tempotest®,F,White,White,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_caravaggio-white_51608-7.jpg
6550,Lavalier Palm,Sattler / Outdura,F,Green,Green,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_lavalier_lavalier-palm_6550.jpg
6555,Lavalier Apricot,Sattler / Outdura,F,Orange,Orange,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_lavalier_lavalier-apricot_6555.jpg
6651,Rumor Natural,Sattler / Outdura,F,Beige,Beige,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-natural_6651.jpg
6652,Rumor Bamboo,Sattler / Outdura,F,Beige,Beige,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-bamboo_6652.jpg
6655,Rumor Stone,Sattler / Outdura,F,Beige,Beige,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-stone_6655.jpg
6661,Rumor Brick,Sattler / Outdura,F,Red,Red,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-brick_6661.jpg
6662,Rumor Buttercup,Sattler / Outdura,F,Yellow,Yellow,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-buttercup_6662.jpg
6663,Rumor Aquatic,Sattler / Outdura,F,Blue,Blue,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-aquatic_6663.jpg
6665,Rumor Nautical,Sattler / Outdura,F,Blue,Blue,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-nautical_6665.jpg
6667,Rumor Vanilla,Sattler / Outdura,F,Beige,Beige,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-vanilla_6667.jpg
6668,Rumor Slate,Sattler / Outdura,F,Grey,Grey,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-slate_6668.jpg
6669,Rumor Mushroom,Sattler / Outdura,F,Brown,Brown,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-mushroom_6669.jpg
6672,Rumor Midnight,Sattler / Outdura,F,Blue,Blue,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-midnight_6672.jpg
6674,Rumor Peacock,Sattler / Outdura,F,Blue,Blue,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-peacock_6674.jpg
6675,Rumor Snow,Sattler / Outdura,F,White,White,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-snow_6675.jpg
6676,Rumor Waterfall,Sattler / Outdura,F,Blue,Blue,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-waterfall_6676.jpg
6677,Rumor Dove,Sattler / Outdura,F,Grey,Grey,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-dove_6677.jpg
6679,Rumor Coal,Sattler / Outdura,F,Grey,Grey,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-coal_6679.jpg
6680,Rumor Platinum,Sattler / Outdura,F,Grey,Grey,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-platinum_6680.jpg
6683,Rumor Turquoise,Sattler / Outdura,F,Blue,Blue,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-turquoise_6683.jpg
6685,Rumor Burlap,Sattler / Outdura,F,Brown,Brown,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-burlap_6685.jpg
6686,Rumor Limestone,Sattler / Outdura,F,Brown,Brown,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-limestone_6686.jpg
6687,Rumor Chablis,Sattler / Outdura,F,Beige,Beige,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-chablis_6687.jpg
6691,Rumor Clover,Sattler / Outdura,F,Green,Green,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-clover_6691.jpg
6693,Rumor Flamingo,Sattler / Outdura,F,Pink,Pink,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_rumor_rumor-flamingo_6693.jpg
6925,Flurry Whiskey,Sattler / Outdura,F,Brown,Brown,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_flurry_flurry-whiskey_6925.jpg
6927,Flurry Spring,Sattler / Outdura,F,Green,Green,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_flurry_flurry-spring_6927.jpg
6928,Flurry Cherry,Sattler / Outdura,F,Red,Red,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_flurry_flurry-cherry_6928.jpg
6930,Flurry Granite,Sattler / Outdura,F,Grey,Grey,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_flurry_flurry-granite_6930.jpg
6932,Flurry Neptune,Sattler / Outdura,F,Blue,Blue,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_flurry_flurry-neptune_6932.jpg
7430,Loft Charcoal,Sattler / Outdura,F,Grey,Grey,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_loft_loft-charcoal_7430.jpg
7431,Loft Snow,Sattler / Outdura,F,White,White,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_loft_loft-snow_7431.jpg
7432,Loft Slate,Sattler / Outdura,F,Grey,Grey,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_loft_loft-slate_7432.jpg
7433,Loft Buff,Sattler / Outdura,F,White,White,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_loft_loft-buff_7433.jpg
7434,Loft Basil,Sattler / Outdura,F,Green,Green,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_loft_loft-basil_7434.jpg
7435,Loft Pool,Sattler / Outdura,F,Blue,Blue,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_loft_loft-pool_7435.jpg
7436,Loft Midnight,Sattler / Outdura,F,Blue,Blue,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_loft_loft-midnight_7436.jpg
7437,Loft Crimson,Sattler / Outdura,F,Red,Red,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_loft_loft-crimson_7437.jpg
7500,Poppy Midnight,Sattler / Outdura,F,Grey,Grey | Blue,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_poppy_poppy-midnight_7500.jpg
7503,Poppy Capri,Sattler / Outdura,F,Blue,Blue,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_poppy_poppy-capri_7503.jpg
7504,Poppy Steel,Sattler / Outdura,F,Grey,Grey | Brown,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_poppy_poppy-steel_7504.jpg
8376,Avila Buff,Sattler / Outdura,F,Beige,Beige,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_avila_avila-buff_8376.jpg
8378,Avila Cocoa,Sattler / Outdura,F,Brown,Brown,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_avila_avila-cocoa_8378.jpg
8381,Avila Almond,Sattler / Outdura,F,Beige,Beige,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_avila_avila-almond_8381.jpg
8385,Avila Chablis,Sattler / Outdura,F,Beige,Beige,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_avila_avila-chablis_8385.jpg
8387,Avila Granite,Sattler / Outdura,F,Brown,Brown,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_avila_avila-granite_8387.jpg
8389,Avila Cascade,Sattler / Outdura,F,Blue,Blue,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_avila_avila-cascade_8389.jpg
8390,Avila Dove,Sattler / Outdura,F,Grey,Grey,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_avila_avila-dove_8390.jpg
8392,Avila Moon,Sattler / Outdura,F,White,White,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_avila_avila-moon_8392.jpg
8393,Avila Basalt,Sattler / Outdura,F,Beige,Beige,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_avila_avila-basalt_8393.jpg
8394,Avila Aqua,Sattler / Outdura,F,Blue,Blue,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_avila_avila-aqua_8394.jpg
8395,Avila Dusk,Sattler / Outdura,F,Blue,Blue,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_avila_avila-dusk_8395.jpg
8396,Avila Breeze,Sattler / Outdura,F,Green,Green,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_avila_avila-breeze_8396.jpg
8397,Avila Spring,Sattler / Outdura,F,Green,Green,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_avila_avila-spring_8397.jpg
8398,Avila Salsa,Sattler / Outdura,F,Red,Red,Textures,https://frankford.b-cdn.net/fabric_swatches/outdura_avila_avila-salsa_8398.jpg
8526,Spiro Capri,Sattler / Outdura,F,Blue,Blue,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_spiro_spiro-capri_8526.jpg
8530,Spiro Graphite,Sattler / Outdura,F,Grey,Grey,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_spiro_spiro-graphite_8530.jpg
8710,Melody Sapphire,Sattler / Outdura,F,Blue,Blue,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_melody_melody-sapphire_8710.jpg
8711,Melody Lichen,Sattler / Outdura,F,Green,Green,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_melody_melody-lichen_8711.jpg
8712,Melody Lead,Sattler / Outdura,F,Brown,Brown,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_melody_melody-lead_8712.jpg
8713,Melody Chrome,Sattler / Outdura,F,Grey,Grey,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_melody_melody-chrome_8713.jpg
8714,Melody Ruby,Sattler / Outdura,F,Red,Red,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_melody_melody-ruby_8714.jpg
8803,Geo Carbon,Sattler / Outdura,F,Brown,Brown | Grey,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_geo_geo-carbon_8803.jpg
8804,Geo Nautical,Sattler / Outdura,F,Blue,Blue | White,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_geo_geo-nautical_8804.jpg
51791/1,Finestra Aleutian,Tempotest®,F+,Blue,Blue | White,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_finestra-aleutian_51791-1.jpg
51791/3,Finestra Timber,Tempotest®,F+,Black,Black | White,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_finestra-timber_51791-3.jpg
51791/4,Finestra Putty,Tempotest®,F+,Beige,Beige | White,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_finestra-putty_51791-4.jpg
51792/1,Grano Maritime,Tempotest®,F+,Blue,Blue,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_grano-maritime_51792-1.jpg
51792/3,Grano Burnish,Tempotest®,F+,Black,Black | White,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_grano-burnish_51792-3.jpg
51792/4,Grano Desert Taupe,Tempotest®,F+,Beige,Beige | White,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_grano-desert-taupe_51792-4.jpg
52005/1,Palma Fawn,Tempotest®,F+,Beige,Beige,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_palma-fawn_52005-1.jpg
52005/11,Palma Fossil,Tempotest®,F+,Black,Black | Grey,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_palma-fossil_52005-11.jpg
52005/3,Palma Celeste,Tempotest®,F+,Blue,Blue | White,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_palma-celeste_52005-3.jpg
52005/7,Palma Cypress,Tempotest®,F+,Green,Green | Beige,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_palma-cypress_52005-7.jpg
52005/8,Palma Terracotta,Tempotest®,F+,Red,Red | Beige,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_palma-terracotta_52005-8.jpg
52005/9,Palma Cadet,Tempotest®,F+,Blue,Blue,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_palma-cadet_52005-9.jpg
52006/1,Mazzo Fawn,Tempotest®,F+,Beige,Beige,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_mazzo-fawn_52006-1.jpg
52006/11,Mazzo Fossil,Tempotest®,F+,Black,Black | Grey,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_mazzo-fossil_52006-11.jpg
52006/3,Mazzo Celeste,Tempotest®,F+,Blue,Blue | Grey,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_mazzo-celeste_52006-3.jpg
52006/7,Mazzo Cypress,Tempotest®,F+,Green,Green | Beige,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_mazzo-cypress_52006-7.jpg
52006/8,Mazzo Terracotta,Tempotest®,F+,Red,Red | Beige,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_mazzo-terracotta_52006-8.jpg
52006/9,Mazzo Cadet,Tempotest®,F+,Blue,Blue,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_mazzo-cadet_52006-9.jpg
52007/1,Metro Fawn,Tempotest®,F+,Beige,Beige | White,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_metro-fawn_52007-1.jpg
52007/11,Metro Fossil,Tempotest®,F+,Black,Black | Grey,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_metro-fossil_52007-11.jpg
52007/3,Metro Celeste,Tempotest®,F+,Blue,Blue,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_metro-celeste_52007-3.jpg
52007/7,Metro Cypress,Tempotest®,F+,Green,Green | Beige,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_metro-cypress_52007-7.jpg
52007/8,Metro Terracotta,Tempotest®,F+,Red,Red | Beige,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_metro-terracotta_52007-8.jpg
52007/9,Metro Cadet,Tempotest®,F+,Blue,Blue,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_metro-cadet_52007-9.jpg
52008/1,Vimini Fawn,Tempotest®,F+,Beige,Beige,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_vimini-fawn_52008-1.jpg
52008/11,Vimini Fossil,Tempotest®,F+,Black,Black | White,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_vimini-fossil_52008-11.jpg
52008/3,Vimini Celeste,Tempotest®,F+,Blue,Blue | White,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_vimini-celeste_52008-3.jpg
52008/8,Vimini Terracotta,Tempotest®,F+,Red,Red | Beige,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_vimini-terracotta_52008-8.jpg
52008/9,Vimini Cadet,Tempotest®,F+,Blue,Blue,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_vimini-cadet_52008-9.jpg
52009/1,Cortile Fawn,Tempotest®,F+,Beige,Beige,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_cortile-fawn_52009-1.jpg
52009/11,Cortile Fossil,Tempotest®,F+,Black,Black | Grey,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_cortile-fossil_52009-11.jpg
52009/3,Cortile Celeste,Tempotest®,F+,Blue,Blue | Grey,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_cortile-celeste_52009-3.jpg
52009/7,Cortile Cypress,Tempotest®,F+,Green,Green | Beige,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_cortile-cypress_52009-7.jpg
52009/8,Cortile Terracotta,Tempotest®,F+,Red,Red | Beige,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_cortile-terracotta_52009-8.jpg
52009/9,Cortile Cadet,Tempotest®,F+,Blue,Blue,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_cortile-cadet_52009-9.jpg
52011/1,Astratta Fawn,Tempotest®,F+,Beige,Beige,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_astratta-fawn_52011-1.jpg
52011/11,Astratta Fossil,Tempotest®,F+,Black,Black | Grey,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_astratta-fossil_52011-11.jpg
52011/3,Astratta Celeste,Tempotest®,F+,Blue,Blue | Grey,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_astratta-celeste_52011-3.jpg
52011/7,Astratta Cypress,Tempotest®,F+,Green,Green | Beige,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_astratta-cypress_52011-7.jpg
52011/8,Astratta Terracotta,Tempotest®,F+,Red,Red | Beige,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_astratta-terracotta_52011-8.jpg
52011/9,Astratta Cadet,Tempotest®,F+,Blue,Blue,,https://frankford.b-cdn.net/fabric_swatches/tempotest_pillars_astratta-cadet_52011-9.jpg
