SKU,Name,Brand,Grade,Primary Color,All Colors,Design,Swatch Image URL
T5396/930,Rebel Hazelnut,Tempotest®,D,Brown,Brown | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_rebel-hazelnut_T5396-930.jpg
T5396/97,Rebel Charcoal,Tempotest®,D,Grey,Grey | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_rebel-charcoal_T5396-97.jpg
T5398/107,Carbon Blue Blend,Tempotest®,D,Blue,Blue,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_carbon-blue-blend_T5398-107.jpg
T5398/17,Cloudy Sky Blend,Tempotest®,D,Blue,Blue,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_cloudy-sky-blend_T5398-17.jpg
T5398/78,Fresh Meadow Blend,Tempotest®,D,Green,Green | Grey,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_fresh-meadow-blend_T5398-78.jpg
T5398/930,Desert Dune Blend,Tempotest®,D,Brown,Brown | Beige,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_desert-dune-blend_T5398-930.jpg
T5399/107,Winter Grey Harmony,Tempotest®,D,Grey,Grey | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_winter-grey-harmony_T5399-107.jpg
T5399/15,Lunar Rock Harmony,Tempotest®,D,Grey,Grey,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_lunar-rock-harmony_T5399-15.jpg
T5399/17,Blue Ice Harmony,Tempotest®,D,Blue,Blue,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_blue-ice-harmony_T5399-17.jpg
T5399/52,Mocha Harmony,Tempotest®,D,Brown,Brown | Beige,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_mocha-harmony_T5399-52.jpg
T5406/107,Carbon Fiber,Tempotest®,D,Grey,Grey,Textures,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_carbon-fiber_T5406-107.jpg
T5406/15,Ice Grey,Tempotest®,D,Grey,Grey,Textures,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_ice-grey_T5406-15.jpg
