product_category,item_number,finish_code,finish_name,size,vent_type,msrp_C_Suncrylic,sale_C_Suncrylic,msrp_B_Sunbrella,sale_B_Sunbrella,msrp_A_Sunbrella,sale_A_Sunbrella,msrp_BB_Sunbrella,sale_BB_Sunbrella,msrp_AA_Sunbrella,sale_AA_Sunbrella
Aluminum Market Umbrella - Deluxe Autotilt,799BK,BK,Black,10x10',Single Vent,n/a,n/a,1440,1080,1505,1129,1470,1103,1555,1167
Aluminum Market Umbrella - Deluxe Autotilt,799BK,BK,Black,10x10',Double Vent,n/a,n/a,1580,1185,1645,1234,1610,1208,1695,1272
Aluminum Market Umbrella - Standard Autotilt,636MB,MB,Bronze,9',Single Vent,480,360,635,477,690,518,675,507,730,548
Aluminum Market Umbrella - Standard Autotilt,636MB,MB,Bronze,9',Double Vent,n/a,n/a,755,567,810,608,795,597,850,638
Aluminum Market Umbrella - Standard Autotilt,736BK,BK,Black,9',Single Vent,620,465,710,533,765,574,750,563,805,604
Aluminum Market Umbrella - Standard Autotilt,736BK,BK,Black,9',Double Vent,n/a,n/a,830,623,885,664,870,653,925,694
Aluminum Market Umbrella - Standard Autotilt,736CH,CH,Charcoal,9',Single Vent,620,465,710,533,765,574,750,563,805,604
Aluminum Market Umbrella - Standard Autotilt,736CH,CH,Charcoal,9',Double Vent,n/a,n/a,830,623,885,664,870,653,925,694
Aluminum Market Umbrella - Standard Autotilt,736MB,MB,Bronze,9',Single Vent,620,465,710,533,765,574,750,563,805,604
Aluminum Market Umbrella - Standard Autotilt,736MB,MB,Bronze,9',Double Vent,n/a,n/a,830,623,885,664,870,653,925,694
Aluminum Market Umbrella - Standard Autotilt,736W,W,White,9',Single Vent,620,465,710,533,765,574,750,563,805,604
Aluminum Market Umbrella - Standard Autotilt,736W,W,White,9',Double Vent,n/a,n/a,830,623,885,664,870,653,925,694
Aluminum Market Umbrella - LED Lighted,936AB,AB,Antique Bronze,9',Single Vent,785,589,850,638,905,679,890,668,945,709
Aluminum Market Umbrella - LED Lighted,936AB,AB,Antique Bronze,9',Double Vent,n/a,n/a,970,728,1025,769,1010,758,1065,799
Aluminum Market Umbrella - LED Lighted,936BK,BK,Black,9',Single Vent,785,589,850,638,905,679,890,668,945,709
Aluminum Market Umbrella - LED Lighted,936BK,BK,Black,9',Double Vent,n/a,n/a,970,728,1025,769,1010,758,1065,799
Aluminum Market Umbrella - LED Lighted,986AB,AB,Antique Bronze,11',Single Vent,1130,848,1360,1020,1445,1084,1410,1058,1495,1122
Aluminum Market Umbrella - LED Lighted,986AB,AB,Antique Bronze,11',Double Vent,n/a,n/a,1500,1125,1585,1189,1550,1163,1635,1227
Aluminum Market Umbrella - LED Lighted,986BK,BK,Black,11',Single Vent,1130,848,1360,1020,1445,1084,1410,1058,1495,1122
Aluminum Market Umbrella - LED Lighted,986BK,BK,Black,11',Double Vent,n/a,n/a,1500,1125,1585,1189,1550,1163,1635,1227
Aluminum Market Umbrella - Commercial,762AB,AB,Antique Bronze,6x6',Single Vent,n/a,n/a,900,675,955,717,940,705,995,747
Aluminum Market Umbrella - Commercial,762AB,AB,Antique Bronze,6x6',Double Vent,n/a,n/a,1020,765,1075,807,1060,795,1115,837
Aluminum Market Umbrella - Commercial,762SR,SR,Silver,6x6',Single Vent,n/a,n/a,900,675,955,717,940,705,995,747
Aluminum Market Umbrella - Commercial,762SR,SR,Silver,6x6',Double Vent,n/a,n/a,1020,765,1075,807,1060,795,1115,837
Aluminum Market Umbrella - Commercial,722AB,AB,Antique Bronze,7.5',Single Vent,830,623,915,687,970,728,955,717,1010,758
Aluminum Market Umbrella - Commercial,722AB,AB,Antique Bronze,7.5',Double Vent,n/a,n/a,1035,777,1090,818,1075,807,1130,848
Aluminum Market Umbrella - Commercial,722BK,BK,Black,7.5',Single Vent,830,623,915,687,970,728,955,717,1010,758
Aluminum Market Umbrella - Commercial,722BK,BK,Black,7.5',Double Vent,n/a,n/a,1035,777,1090,818,1075,807,1130,848
Aluminum Market Umbrella - Commercial,722SR,SR,Silver,7.5',Single Vent,830,623,915,687,970,728,955,717,1010,758
Aluminum Market Umbrella - Commercial,722SR,SR,Silver,7.5',Double Vent,n/a,n/a,1035,777,1090,818,1075,807,1130,848
Aluminum Market Umbrella - Commercial,732AB,AB,Antique Bronze,9',Single Vent,975,732,1040,780,1095,822,1080,810,1135,852
Aluminum Market Umbrella - Commercial,732AB,AB,Antique Bronze,9',Double Vent,n/a,n/a,1160,870,1215,912,1200,900,1255,942
Aluminum Market Umbrella - Commercial,732BK,BK,Black,9',Single Vent,975,732,1040,780,1095,822,1080,810,1135,852
Aluminum Market Umbrella - Commercial,732BK,BK,Black,9',Double Vent,n/a,n/a,1160,870,1215,912,1200,900,1255,942
Aluminum Market Umbrella - Commercial,732SR,SR,Silver,9',Single Vent,975,732,1040,780,1095,822,1080,810,1135,852
Aluminum Market Umbrella - Commercial,732SR,SR,Silver,9',Double Vent,n/a,n/a,1160,870,1215,912,1200,900,1255,942
Aluminum Market Umbrella - Commercial,781SR,SR,Silver,11',Single Vent,1305,979,1535,1152,1620,1215,1585,1189,1670,1253
Aluminum Market Umbrella - Commercial,781SR,SR,Silver,11',Double Vent,n/a,n/a,1675,1257,1760,1320,1725,1294,1810,1358
Aluminum Market Umbrella - Commercial,791SR,SR,Silver,13',Double Vent,n/a,n/a,1935,1452,2035,1527,1985,1489,2085,1564
Aluminum Market Umbrella - Commercial,782SR,SR,Silver,8x8',Single Vent,n/a,n/a,1125,844,1180,885,1175,882,1230,923
Aluminum Market Umbrella - Commercial,782SR,SR,Silver,8x8',Double Vent,n/a,n/a,1265,949,1320,990,1315,987,1370,1028
Aluminum Market Umbrella - Commercial,792SR,SR,Silver,10x10',Single Vent,n/a,n/a,1380,1035,1445,1084,1430,1073,1495,1122
Aluminum Market Umbrella - Commercial,792SR,SR,Silver,10x10',Double Vent,n/a,n/a,1520,1140,1585,1189,1570,1178,1635,1227
Aluminum Market Umbrella - Commercial,715AB,AB,Antique Bronze,6',Single Vent,n/a,n/a,635,477,690,518,675,507,730,548
Aluminum Market Umbrella - Commercial,715AB,AB,Antique Bronze,6',Double Vent,n/a,n/a,755,567,810,608,795,597,850,638
Aluminum Market Umbrella - Commercial,725AB,AB,Antique Bronze,7.5',Single Vent,595,447,680,510,735,552,720,540,775,582
Aluminum Market Umbrella - Commercial,725AB,AB,Antique Bronze,7.5',Double Vent,n/a,n/a,800,600,855,642,840,630,895,672
Aluminum Market Umbrella - Commercial,725BK,BK,Black,7.5',Single Vent,595,447,680,510,735,552,720,540,775,582
