Collection,Product Name,SKU,Height (in),Width/Diam (in),Depth/Length (in),Arm Height (in),Seat Height (in),Weight (lbs),Spec Sheet PDF URL,Source URL,SKU Flag
"Tables, Tops & Bases","42"" Square Micro Mesh Top with Umbrella Hole",,,42,42,,,,,https://www.owlee.com/collections/micro-mesh-table-tops/42-square-mesh-top-with-umbrella/,REVIEW - No SKU found
"Tables, Tops & Bases","42"" Square Porcelain Table Top",,,42,42,,,70,,https://www.owlee.com/collections/porcelain/42-square-porcelain-table-top/,REVIEW - No SKU found
"Tables, Tops & Bases","42"" x 120"" Porcelain Table Top",,1.5,42,120,,,390,,https://www.owlee.com/collections/porcelain/42-inch-x-120-inch-porcelain-table-tops/,REVIEW - No SKU found
"Tables, Tops & Bases","42"" x 72"" Porcelain Table Top",,,42,72,,,150,,https://www.owlee.com/collections/porcelain/42-x-72-porcelain-table-top/,REVIEW - No SKU found
"Tables, Tops & Bases","42"" x 84"" Micro Mesh Top with Umbrella Hole",,,42,84,,,,,https://www.owlee.com/collections/micro-mesh-table-tops/42-x-84-square-mesh-top-with-umbrella/,REVIEW - No SKU found
"Tables, Tops & Bases","42"" x 84"" Porcelain Table Top",,,42,84,,,170,,https://www.owlee.com/collections/porcelain/42-x-84-porcelain-table-top/,REVIEW - No SKU found
"Tables, Tops & Bases","42x84"" Dekton Table Top",,,84,42,,,292,,https://www.owlee.com/collections/table-tops/42x84-dekton-table-top/,REVIEW - No SKU found
"Tables, Tops & Bases","45"" x 87"" Quadra Iron Dining Table",QD-4587DT,29,86.5,44.5,,,285,,https://www.owlee.com/collections/quadra-iron-tables/45-x-87-dining-table-fully-welded-tables-quadra-iron-tables/,
"Tables, Tops & Bases","54"" Round Dekton Table Top",,,54,54,,,,,https://www.owlee.com/collections/dekton-tops/54-round-dekton-table-top/,REVIEW - No SKU found
"Tables, Tops & Bases","54"" Round Micro Mesh Top with Umbrella Hole",,,54,54,,,34,,https://www.owlee.com/collections/micro-mesh-table-tops/54-round-micro-mesh-top/,REVIEW - No SKU found
"Tables, Tops & Bases","54"" Round Porcelain Table Top",,,54,54,,,112,,https://www.owlee.com/collections/porcelain/54-round-porcelain-table-top/,REVIEW - No SKU found
"Tables, Tops & Bases",Classico 01 Side Table Base,9-ST01,19.75,16.25,16.25,,,22,,https://www.owlee.com/collections/classico-iron-table-bases/classico-side-table-base/,
"Tables, Tops & Bases",Classico 03 Dining Table Base,9-DT03,28.25,26.5,26.5,,,35,,https://www.owlee.com/collections/classico-iron-table-bases/dining-table-base-wrought-iron-steel-classico-w-2/,
"Tables, Tops & Bases",Classico 05 Occasional Table Base,9-OT05,17.75,44.5,21.25,,,44,,https://www.owlee.com/collections/classico-iron-table-bases/classico-occasional-table-base/,
"Tables, Tops & Bases",Classico Dining 07 Table Base,9-DT07,28.25,55,27.75,,,73,,https://www.owlee.com/collections/classico-iron-table-bases/classico-dining-table-base/,
"Tables, Tops & Bases",Kensington Console Table,91-WT1650RT,32,50,16,35.5,29,110,,https://www.owlee.com/collections/fully-welded-tables/console-table-aluminum-wrought-aluminum-kensington/,
"Tables, Tops & Bases",Kensington Occasional Table with Lower Shelf,91-OTS285ORT,18,50,28,,,144,,https://www.owlee.com/collections/fully-welded-tables/occasional-table-with-lower-shelf-aluminum-wrought-aluminum-kensington/,
"Tables, Tops & Bases",Kensington Square Side Table,91-ST18SQ,21,18,18,,,37,,https://www.owlee.com/collections/fully-welded-tables/square-side-table-aluminum-wrought-aluminum-kensington/,
"Tables, Tops & Bases",Marin 01 Side Table Base,37-ST01,19,17.75,17.75,,,10,,https://www.owlee.com/collections/marin-aluminum-bases/marin-side-table-base/,
"Tables, Tops & Bases",Marin 03 Dining Table Base,37-DT03,28.25,30,30,,,21,,https://www.owlee.com/collections/marin-aluminum-bases/marin-dining-table-base-dt03/,
"Tables, Tops & Bases",Marin 05 Occasional Table Base,37-OT05,17,43,24,,,,,https://www.owlee.com/collections/marin-aluminum-bases/marin-occasional-table-base/,
"Tables, Tops & Bases",Marin 07 Dining Table Base,37-DT07,28.25,53.5,33.75,,,33,,https://www.owlee.com/collections/marin-aluminum-bases/marin-dining-table-base-dt07/,
"Tables, Tops & Bases",Marin Side Table,37-ST20RD,24.5,20,20,,,25,,https://www.owlee.com/collections/marin/marin-side-table-table/,
"Tables, Tops & Bases",Modern Aluminum 01 Side Table Base,MA-ST01,20,15,15,,,11,,https://www.owlee.com/collections/table-bases/side-table-base-table-bases-modern-aluminum/,
"Tables, Tops & Bases",Modern Aluminum 03 Bar Table Base,MA-BT03,,25,25,,,30,,https://www.owlee.com/collections/table-bases/bar-table-base-table-bases-modern-aluminum/,
