sku,fabric_name,material,grade,is_stripe,swatch_image_url
7947,Striato Marlin,Acrylic,A,yes,https://treasuregarden.com/wp-content/uploads/7947-min.jpg
7960,Newport Mercury Stripe,Acrylic,A,yes,https://treasuregarden.com/wp-content/uploads/7960-min.jpg
7961,Novella Nero Stripe,Acrylic,A,yes,https://treasuregarden.com/wp-content/uploads/7961-min.jpg
8318,Sesame Linen,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/8318-min.jpg
14087,Gateway Coast Stripe,Acrylic,A,yes,https://treasuregarden.com/wp-content/uploads/14087-min.jpg
40428,Cast Ash,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/40428-min.jpg
40433,Cast Silver,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/40433-min.jpg
40434,Cast Slate,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/40434-min.jpg
48011,Ridge Beach,Polyester,C,,https://treasuregarden.com/wp-content/uploads/48011-min.jpg
48066,Ridge Canyon,Polyester,C,,https://treasuregarden.com/wp-content/uploads/48066-min.jpg
48080,Spectrum Indigo,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/48080-min.jpg
48091,Cast Horizon,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/48091-min.jpg
48094,Cast Breeze,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/48094-min.jpg
48108S,Cast Coral,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/48108S-min.jpg
48911,Providence Navy Stripe,Polyester,C,yes,https://treasuregarden.com/wp-content/uploads/48911-min.jpg
48919,Richmond Stone Stripe,Polyester,C,yes,https://treasuregarden.com/wp-content/uploads/48919-min.jpg
54011,Ginkgo,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/54011-min.jpg
54048,Charcoal,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/54048-min.jpg
56079,Milano Char Stripe,Acrylic,A,yes,https://treasuregarden.com/wp-content/uploads/56079-min.jpg
56080,Milano Cobalt Stripe,Acrylic,A,yes,https://treasuregarden.com/wp-content/uploads/56080-min.jpg
56095,Astoria Sunset Stripe,Acrylic,A,yes,https://treasuregarden.com/wp-content/uploads/56095-min.jpg
57012,Cloud,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/57012-min.jpg
58039,Gateway Mist Stripe,Acrylic,A,yes,https://treasuregarden.com/wp-content/uploads/58039-min.jpg
40599-01,Direction Linen Stripe,Acrylic,A,yes,https://treasuregarden.com/wp-content/uploads/40599-01-min.jpg
