item_number,product_name,collection_name,image_count,overall_width,overall_depth,overall_height,diameter,product_weight,seat_height,arm_height,reclined_length,retail_warranty,contract_warranty,image_1_path,image_1_url,image_2_path,image_2_url,image_3_path,image_3_url,image_4_path,image_4_url
8R60,Balcony Height Stacking Chair,Avant Polymer / Aluminum,3,"21""","25.75""","34.5""",,9 lbs,,,,15 years,5 years,images/avant_mgp_aluminum/balcony_height_stacking_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/1828_1.jpg,images/avant_mgp_aluminum/balcony_height_stacking_chair/product_2.jpg,https://img.telescopecasual.com/PR/233/1828_2.jpg,images/avant_mgp_aluminum/balcony_height_stacking_chair/product_3.jpg,https://img.telescopecasual.com/PR/233/1828_3.jpg,,
,Bar Height  Swivel Chair,Avant Polymer / Aluminum,3,,,,,,,,,,,images/avant_mgp_aluminum/bar_height_swivel_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/2024_1.jpg,images/avant_mgp_aluminum/bar_height_swivel_chair/product_2.jpg,https://img.telescopecasual.com/PR/233/2024_2.jpg,images/avant_mgp_aluminum/bar_height_swivel_chair/product_3.jpg,https://img.telescopecasual.com/PR/233/2024_3.jpg,,
8R60,Bar Height Stacking  Chair,Avant Polymer / Aluminum,3,"21""","25.75""","34.5""",,9 lbs,,,,15 years,5 years,images/avant_mgp_aluminum/bar_height_stacking_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/1830_1.jpg,images/avant_mgp_aluminum/bar_height_stacking_chair/product_2.jpg,https://img.telescopecasual.com/PR/233/1830_2.jpg,images/avant_mgp_aluminum/bar_height_stacking_chair/product_3.jpg,https://img.telescopecasual.com/PR/233/1830_3.jpg,,
8R60,Stacking Bistro Chair,Avant Polymer / Aluminum,3,"21""","25.75""","34.5""",,9 lbs,,,,15 years,5 years,images/avant_mgp_aluminum/stacking_bistro_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/1829_1.jpg,images/avant_mgp_aluminum/stacking_bistro_chair/product_2.jpg,https://img.telescopecasual.com/PR/233/1829_2.jpg,images/avant_mgp_aluminum/stacking_bistro_chair/product_3.jpg,https://img.telescopecasual.com/PR/233/1829_3.jpg,,
8R60,Stacking Dining Chair,Avant Polymer / Aluminum,2,"21""","25.75""","34.5""",,9 lbs,,,,15 years,5 years,images/avant_mgp_aluminum/stacking_dining_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/2409_1.jpg,images/avant_mgp_aluminum/stacking_dining_chair/product_2.jpg,https://img.telescopecasual.com/PR/233/2409_2.jpg,,,,
,"54"" Flat Bench",Bazza Bench,2,,,,,,,,,,,images/bazza_bench/54_flat_bench/product_1.jpg,https://img.telescopecasual.com/PR/233/2702_1.jpg,images/bazza_bench/54_flat_bench/product_2.jpg,https://img.telescopecasual.com/PR/233/2702_2.jpg,,,,
8930,"56"" Stacking Armless Bench",Bazza Bench,2,"15.75""","20.25""","40.5""",,12 lbs,,,,15 years,5 years,images/bazza_bench/56_stacking_armless_bench/product_1.jpg,https://img.telescopecasual.com/PR/233/1837_1.jpg,images/bazza_bench/56_stacking_armless_bench/product_2.jpg,https://img.telescopecasual.com/PR/233/1837_2.jpg,,,,
,"64"" Flat Bench",Bazza Bench,2,,,,,,,,,,,images/bazza_bench/64_flat_bench/product_1.jpg,https://img.telescopecasual.com/PR/233/2660_1.jpg,images/bazza_bench/64_flat_bench/product_2.jpg,https://img.telescopecasual.com/PR/233/2660_2.jpg,,,,
,Bench Anchor Kit,Bazza Bench,1,,,,,,,,,,,images/bazza_bench/bench_anchor_kit/product_1.jpg,https://img.telescopecasual.com/PR/233/795_1.jpg,,,,,,
8900,Stacking Bistro Chair,Bazza Bench,1,"15.5""","20.25""","32.75""",,8 lbs,,,,15 years,5 years,images/bazza_bench/stacking_bistro_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/2408_1.jpg,,,,,,
,"26.5"" x 10.25"" Add-On Chaise Table Connector Kit",Bazza Sling,1,,,,,,,,,,,images/bazza_sling/26_5_x_10_25_add_on_chaise_table_connector_kit/product_1.jpg,https://img.telescopecasual.com/PR/233/2438_1.jpg,,,,,,
,Add-On Chaise Connector Kit,Bazza Sling,2,,,,,,,,,,,images/bazza_sling/add_on_chaise_connector_kit/product_1.jpg,https://img.telescopecasual.com/PR/233/2434_1.jpg,images/bazza_sling/add_on_chaise_connector_kit/product_2.jpg,https://img.telescopecasual.com/PR/233/2434_2.jpg,,,,
8R60,Balcony Height Stacking Armless Cafe Chair,Bazza Sling,1,"21""","25.75""","34.5""",,9 lbs,,,,15 years,5 years,images/bazza_sling/balcony_height_stacking_armless_cafe_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/3332_1.jpg,,,,,,
8R60,Bar Height Stacking Armless Cafe Chair,Bazza Sling,1,"21""","25.75""","34.5""",,9 lbs,,,,15 years,5 years,images/bazza_sling/bar_height_stacking_armless_cafe_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/3333_1.jpg,,,,,,
8R60,Bistro Stacking Chair w/ Polymer Accents,Bazza Sling,2,"21""","25.75""","34.5""",,9 lbs,,,,15 years,5 years,images/bazza_sling/bistro_stacking_chair_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/2222_1.jpg,images/bazza_sling/bistro_stacking_chair_w_polymer_accents/product_2.jpg,https://img.telescopecasual.com/PR/233/2222_2.jpg,,,,
7R30,Four-Position Contour Armless Chaise w/ Polymer Overlay,Bazza Sling,3,"27""","69""","43""",,21.25 lbs,,,"78""",15 years,5 years,images/bazza_sling/four_position_contour_armless_chaise_w_polymer_ove/product_1.jpg,https://img.telescopecasual.com/PR/233/2474_1.jpg,images/bazza_sling/four_position_contour_armless_chaise_w_polymer_ove/product_2.jpg,https://img.telescopecasual.com/PR/233/2474_2.jpg,images/bazza_sling/four_position_contour_armless_chaise_w_polymer_ove/product_3.jpg,https://img.telescopecasual.com/PR/233/2474_3.jpg,,
8R60,Stacking Armless Cafe Chair,Bazza Sling,2,"21""","25.75""","34.5""",,9 lbs,,,,15 years,5 years,images/bazza_sling/stacking_armless_cafe_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/2896_1.jpg,images/bazza_sling/stacking_armless_cafe_chair/product_2.jpg,https://img.telescopecasual.com/PR/233/2896_2.jpg,,,,
8R60,Stacking Balcony Height Cafe Chair w/ Polymer Accents,Bazza Sling,2,"21""","25.75""","34.5""",,9 lbs,,,,15 years,5 years,images/bazza_sling/stacking_balcony_height_cafe_chair_w_polymer_accen/product_1.jpg,https://img.telescopecasual.com/PR/233/1332_1.jpg,images/bazza_sling/stacking_balcony_height_cafe_chair_w_polymer_accen/product_2.jpg,https://img.telescopecasual.com/PR/233/1332_2.jpg,,,,
8R60,Stacking Bar Height Cafe Chair w/ Polymer Accents,Bazza Sling,2,"21""","25.75""","34.5""",,9 lbs,,,,15 years,5 years,images/bazza_sling/stacking_bar_height_cafe_chair_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/1335_1.jpg,images/bazza_sling/stacking_bar_height_cafe_chair_w_polymer_accents/product_2.jpg,https://img.telescopecasual.com/PR/233/1335_2.jpg,,,,
