Product Name,Category,SKU / Model,Weight,Dimensions,Description,MSRP,Sale Price,Image Note
Vinyl Cover 9-11ft,Accessories,1174,,"9'-11""",Vinyl protective cover for 9 to 11 foot umbrellas.,78,86,Shared image. Reuse image from: Protective Cover (Eclipse/Aurora)
Sleeve Carry Bag (Greenwich/Monterey),Accessories,MCB01,,,Black polyester sleeve carry bag for Greenwich/Monterey umbrellas.,75,83,Shared image. Reuse image from: Protective Cover (Eclipse/Aurora)
LED Light Clips,Accessories,LED01,,,LED light and charging kit. Ultra-thin clip-on under-canopy lighting. Lithium battery with up to 28 hours of warm ambient light. Built-in motion sensor.,99,109,"Primary image. Also used by: LED-C4 (Eclipse v4 Clip), LED-C3 (Monterey Clip), LED-C2 (Aurora-F/G-Series Clip), LED-C1 (Eclipse/Aurora/G-Series/Marella Clip)"
LED-C4 (Eclipse v4 Clip),Accessories,LED-C4,,,LED clip for Eclipse v4 Cantilever Umbrella.,9,10,Shared image. Reuse image from: LED Light Clips
LED-C3 (Monterey Clip),Accessories,LED-C3,,,Monterey rib attachment clip for LED lighting.,9,10,Shared image. Reuse image from: LED Light Clips
LED-C2 (Aurora-F/G-Series Clip),Accessories,LED-C2,,,Aurora-F and G-Series Monterey rib attachment clip for LED lighting.,9,10,Shared image. Reuse image from: LED Light Clips
LED-C1 (Eclipse/Aurora/G-Series/Marella Clip),Accessories,LED-C1,,,LED clip for Eclipse/Aurora/G-Series Greenwich/Greenwich/Marella umbrellas.,9,10,Shared image. Reuse image from: LED Light Clips
Pagoda Shade Accent,Accessories,Pagoda Kit,,,Canopy shape enhancement system. Transforms umbrella into a pagoda silhouette. Compatible with Monterey Greenwich Giant Monterey Giant Greenwich Avalon and Catalina (octagon shape only).,,,
"Bar Height Bottom Pole (37"")",Accessories,37-BP,,"37""/94cm",Standard height flat bottom pole for Greenwich/Monterey/Catalina umbrellas.,35,39,"Primary image. Also used by: Bar Height Bottom Pole (47"")"
"Bar Height Bottom Pole (47"")",Accessories,47-BP,,"47""/119cm","Bar height flat bottom pole for Greenwich/Monterey/Catalina. Adds 10"" to overall clearance.",41,46,"Shared image. Reuse image from: Bar Height Bottom Pole (37"")"
