name,sku,collection,category,width,depth,height,seat_height,arm_height,fabrics,finishes,frame_materials,additional_colors,description,tags,image_url,url
Lounge Round Coffee Table,LG06-OAK00STOCK-0000,LOUNGE,Coffee Side Tables,,91cm/35.8,38cm/15,,,,,"welded, aluminum, powder coating",,Contract-grade welded aluminum frame | Tiger brand powder coating | HPL Table Top,Lounge,https://america.couturejardin.com/wp-content/uploads/2024/06/lounge-round-coffee-table-sku-lg06.jpg,https://america.couturejardin.com/product/lounge-round-coffee-table/
Yes Round Bistro Table,YE43-ANTHRSTOCK-0HPL,YES,Coffee Side Tables,,,72cm/28,,,,"Cover Greige, Cover Light grey, Cushion Cast Silver, Frame Light grey","welded, aluminum, powder coating",,Contract-grade welded aluminum frame | Tiger brand powder coating | HPL tabletops,yes,https://america.couturejardin.com/wp-content/uploads/2023/06/yes-categories-banner-01-1.jpg,https://america.couturejardin.com/product/yes-round-bistro-table/
Enjoy Oval Coffee Table,EN04-BRONZESTOC-0000,ENJOY,Coffee Side Tables,76cm/30,114cm/45,35cm/14,,,,"Frame Greige, Weaving Greige","welded, aluminum, powder coating",,Contract-grade welded aluminum frame; | Tiger brand powder coating; | HPL Table Top,enjoy,https://america.couturejardin.com/wp-content/uploads/2025/06/en04-873x675px-1.jpg,https://america.couturejardin.com/product/enjoy-oval-coffee-table/
Enjoy Side Table,EN02-BRONZESTOC-0000,ENJOY,Coffee Side Tables,50cm/19.7,50cm/19.7,45cm/17.7,,,,"Frame Greige, Weaving Greige","welded, aluminum, powder coating",,Contract-grade welded aluminum frame; | Tiger brand powder coating; | HPL Table Top,enjoy,https://america.couturejardin.com/wp-content/uploads/2025/06/en02-873x675px.jpg,https://america.couturejardin.com/product/enjoy-side-table/
Enjoy Round Adjustable Height Table Anthracite,EN86-ANTRSTCK00-0000,ENJOY,Coffee Side Tables,,,,,,,"Frame Greige, Weaving Greige","welded, aluminum, powder coating",,Contract-grade welded aluminum frame; | Tiger brand powder coating; | HPL Table Top,enjoy,https://america.couturejardin.com/wp-content/uploads/2025/06/en86-ant-873x675px.jpg,https://america.couturejardin.com/product/enjoy-round-adjustable-height-table-anthracite/
Yes Round Bistro Table White,YE43-WHITESTOCK-0HPL,YES,Coffee Side Tables,,,72cm/28,,,,"Cover Greige, Cover Light grey, Cushion Cast Silver, Frame Light grey","welded, aluminum, powder coating",,Contract-grade welded aluminum frame | Tiger brand powder coating | HPL tabletops,yes,https://america.couturejardin.com/wp-content/uploads/2024/06/ye43w-2.jpg,https://america.couturejardin.com/product/yes-round-bistro-table-white/
Enjoy Round Adjustable Height Table Bronze,EN86-BRONZESTOC-0000,ENJOY,Coffee Side Tables,,,,,,,"Frame Greige, Weaving Greige","welded, aluminum, powder coating",,Contract-grade welded aluminum frame; | Tiger brand powder coating; | HPL Table Top,enjoy,https://america.couturejardin.com/wp-content/uploads/2025/07/en86-br-2-873x675px.jpg,https://america.couturejardin.com/product/enjoy-round-adjustable-height-table-bronze/
Noble Side Table,NO01-ANTHRSTOCK-0000,NOBLE,Coffee Side Tables,42cm/16.5,30cm/11.8,12cm/4.7,,,,"Frame Greige, Weaving Greige","welded, aluminum, powder coating",,Contract-grade welded aluminum frame; | Tiger brand powder coating; | HPL table top,Noble,https://america.couturejardin.com/wp-content/uploads/2025/06/no01-anth-873x675px.jpg,https://america.couturejardin.com/product/noble-side-table/
Noble Side Table 2,NO01-GREIGSTOCK-0000,NOBLE,Coffee Side Tables,42cm/16.5,30cm/11.8,12cm/4.7,,,,"Frame Greige, Weaving Greige","welded, aluminum, powder coating",,Contract-grade welded aluminum frame; | Tiger brand powder coating; | HPL table top,Noble,https://america.couturejardin.com/wp-content/uploads/2025/06/no01-greige-873x675px.jpg,https://america.couturejardin.com/product/noble-side-table-2/
Club Coffee Table,CL02-GREYCERAM0-0000,CLUB,Coffee Side Tables,77cm/30,101cm/40,24cm/9.4,,,,"Cushion Light grey, Frame Light grey, Top Ceramic-coated glass, Weaving Light grey","welded, aluminum, powder coating",,Contract-grade welded aluminum frame | Tiger brand powder coating frame | The tables have a tempered Ceramic-coated glass top,,https://america.couturejardin.com/wp-content/uploads/2021/05/thumbnail-cl02.jpg,https://america.couturejardin.com/product/club-coffee-table/
