Product Name,SKU,Collection,Material Type,Category,Dimensions,Seat Size,Deck Height,Cushion Info,Description,Features,Tags,Brand,Product URL,Image URL,Additional Images
Hixon Loveseat,NC6300LS-TAN,Hixon,Mixed Media,Deep Seating & Lounge,55.1” x 33” x 28.7” ht,50” x 25” Cush270/271-LS: 4 pc. cushion,,Cush270/271-LS: 4 pc,Modern Style with Unmatched Versatility. A mixture of Tangent PolyTuf™ Lumber and a powered coated aluminum frame makes this the perfect combination for a modern look with an elegant style. Take home this outdoor patio loveseat today!,"Tangent PolyTuf™ Arms | 100% Post Consumer Recycled HDPE Resin | Impenetrable surface: no water absorption so mold, mildew and bugs cannot penetrate the surface. | Resistant to UV and harsh weather climates. | Easy to clean, using soap and warm to hot water. | No splintering, cracking or warping as one would find with wood. | Greater impact resistance than wood. | Resistant to most chemical exposures. | Frame Material: Metal | Cushions Included: Yes | Adult Assembly Required: Yes | Natural Wood Grain Color Variation (No item has the same grain color, finish, or wood knots due to natural factors.) | Cush270/271 | Seat Size: 50″ x 25″ | Seat height without cushion: 10.6″ | Cushion Thickness: 6″ | Seat Back Height: 18.5″ | Cushion Attachment Type: None | Zipper Cushion Closure",Loveseats,NorthCape,https://www.northcape.com/product/hixon-loveseat-polytuf/,https://www.northcape.com/wp-content/uploads/2022/01/loveseat-dark-gray-2.jpg,
Hixon Patio Sofa,NC63003S-TAN,Hixon,Mixed Media,Deep Seating & Lounge,80.3” x 33” x 28.7”ht,75” x 25” Cush270/271-3S: 6 pc. cushion,,Cush270/271-3S: 6 pc,Modern Style with Unmatched Versatility. A mixture of Tangent PolyTuf™ Lumber and a powered coated aluminum frame makes this the perfect combination for a modern look with an elegant style. Take home this outdoor patio sofa today!,"Tangent PolyTuf™ Arms | 100% Post Consumer Recycled HDPE Resin | Impenetrable surface: no water absorption so mold, mildew and bugs cannot penetrate the surface. | Resistant to UV and harsh weather climates. | Easy to clean, using soap and warm to hot water. | No splintering, cracking or warping as one would find with wood. | Greater impact resistance than wood. | Resistant to most chemical exposures. | Frame Material: Metal | Cushions Included: Yes | Adult Assembly Required: Yes | Natural Wood Grain Color Variation (No item has the same grain color, finish, or wood knots due to natural factors.) | Cush270/271 | Seat Size: 75″ x 25″ | Seat height without cushion: 10.6″ | Cushion Thickness: 6″ | Seat Back Height: 18.5″ | Cushion Attachment Type: None | Zipper Cushion Closure",Sofas,NorthCape,https://www.northcape.com/product/hixon-patio-sofa-polytuf/,https://www.northcape.com/wp-content/uploads/2022/01/Couch-Dark-Gray-2.jpg,
Hixon Sectional 90 Degree Corner,NC6300SCC-90,Hixon,Mixed Media,Deep Seating & Lounge,"32.8"" x 32.8” x 28.7” ht",25” x 50” Cush270/271-SCC: 3 pc. cushion,,Cush270/271-SCC: 3 pc,Modern Style with Unmatched Versatility. A powered coated aluminum frame makes this the perfect combination for a modern look with an elegant style.,"Impenetrable surface: no water absorption so mold, mildew and bugs cannot penetrate the surface. | Resistant to UV and harsh weather climates. | Easy to clean, using soap and warm to hot water. | Frame Material: Metal | Cushions Included: Yes | Adult Assembly Required: Yes","Sectionals, Middle Chairs",NorthCape,https://www.northcape.com/product/hixon-sectional-90-degree-corner-polytuf/,https://www.northcape.com/wp-content/uploads/2023/06/Hixon-Sectional-Corner-chair-2.jpg,
Hixon Sectional Corner End Table,NC6300CET-TAN,Hixon,Mixed Media,Deep Seating & Lounge,"32.9"" x 32.9” x 20” ht",,,,Modern Style with Unmatched Versatility. A mixture of Tangent PolyTuf™ Lumber and a powered coated aluminum frame makes this the perfect combination for a modern look with an elegant style.,"100% Post Consumer Recycled HDPE Resin | Impenetrable surface: no water absorption so mold, mildew and bugs cannot penetrate the surface. | Resistant to UV and harsh weather climates. | Easy to clean, using soap and warm to hot water. | No splintering, cracking or warping as one would find with wood. | Greater impact resistance than wood. | Resistant to most chemical exposures. | Frame Material: Metal | Adult Assembly Required: Yes | Natural Wood Grain Color Variation (No item has the same grain color, finish, or wood knots due to natural factors.)",End Tables,NorthCape,https://www.northcape.com/product/hixon-sectional-corner-end-table-polytuf/,https://www.northcape.com/wp-content/uploads/2022/01/DarkGray-3-3.jpg,
Hixon Sectional Left Arm Loveseat,NC6300LL-TAN,Hixon,Mixed Media,Deep Seating & Lounge,"52.6"" x 32.8” x 28.7” ht",50” x 25” Cush270/271-LS: 4 pc. cushion,,Cush270/271-LS: 4 pc,Modern Style with Unmatched Versatility. A mixture of Tangent PolyTuf™ Lumber and a powered coated aluminum frame makes this the perfect combination for a modern look with an elegant style.,"Tangent PolyTuf™ Arms | 100% Post Consumer Recycled HDPE Resin | Impenetrable surface: no water absorption so mold, mildew and bugs cannot penetrate the surface. | Resistant to UV and harsh weather climates. | Easy to clean, using soap and warm to hot water. | No splintering, cracking or warping as one would find with wood. | Greater impact resistance than wood. | Resistant to most chemical exposures. | Frame Material: Metal | Cushions Included: Yes | Adult Assembly Required: Yes | Natural Wood Grain Color Variation (No item has the same grain color, finish, or wood knots due to natural factors.)","Loveseats, Sectionals",NorthCape,https://www.northcape.com/product/hixon-sectional-left-arm-loveseat-polytuf/,https://www.northcape.com/wp-content/uploads/2022/01/Darkgray-2-1.jpg,
Hixon Sectional Middle Armless,NC6300SCM,Hixon,Mixed Media,Deep Seating & Lounge,"32.8"" x 25.2” x 28.7” ht",25” x 25” Cush270/271-C: 2 pc. cushion,,Cush270/271-C: 2 pc,Modern Style with Unmatched Versatility. A powered coated aluminum frame makes this the perfect combination for a modern look with an elegant style.,"Impenetrable surface: no water absorption so mold, mildew and bugs cannot penetrate the surface. | Resistant to UV and harsh weather climates. | Easy to clean, using soap and warm to hot water. | Frame Material: Metal | Cushions Included: Yes | Adult Assembly Required: Yes","Sectionals, Middle Chairs",NorthCape,https://www.northcape.com/product/hixon-sectional-middle-armless-polytuf/,https://www.northcape.com/wp-content/uploads/2022/01/DarkGray-2.jpg,
Hixon Sectional Right Arm Loveseat,NC6300RL-TAN,Hixon,Mixed Media,Deep Seating & Lounge,"52.6"" x 32.8” x 28.7” ht",50” x 25” Cush270/271-LS: 4 pc. cushion,,Cush270/271-LS: 4 pc,Modern Style with Unmatched Versatility. A mixture of Tangent PolyTuf™ Lumber and a powered coated aluminum frame makes this the perfect combination for a modern look with an elegant style.,"Tangent PolyTuf™ Arms | 100% Post Consumer Recycled HDPE Resin | Impenetrable surface: no water absorption so mold, mildew and bugs cannot penetrate the surface. | Resistant to UV and harsh weather climates. | Easy to clean, using soap and warm to hot water. | No splintering, cracking or warping as one would find with wood. | Greater impact resistance than wood. | Resistant to most chemical exposures. | Frame Material: Metal | Cushions Included: Yes | Adult Assembly Required: Yes | Natural Wood Grain Color Variation (No item has the same grain color, finish, or wood knots due to natural factors.)",Sectionals,NorthCape,https://www.northcape.com/product/hixon-sectional-right-arm-loveseat-polytuf/,https://www.northcape.com/wp-content/uploads/2022/01/DarkGray-2-2.jpg,
Hixon Swivel Rocker Chair,NC6300SR-TAN,Hixon,Mixed Media,Deep Seating & Lounge,30” x 33” x 28.7” ht,25” x 25” Cush270/271-C: 2 pc. cushion,,Cush270/271-C: 2 pc,Modern Style with Unmatched Versatility. A mixture of Tangent PolyTuf™ Lumber and a powered coated aluminum frame makes this the perfect combination for a modern look with an elegant style. Take home this outdoor patio rocking chair today!,"Tangent PolyTuf™ Arms | 100% Post Consumer Recycled HDPE Resin | Impenetrable surface: no water absorption so mold, mildew and bugs cannot penetrate the surface. | Resistant to UV and harsh weather climates. | Easy to clean, using soap and warm to hot water. | No splintering, cracking or warping as one would find with wood. | Greater impact resistance than wood. | Resistant to most chemical exposures. | Frame Material: Metal | Cushions Included: Yes | Adult Assembly Required: Yes | Natural Wood Grain Color Variation (No item has the same grain color, finish, or wood knots due to natural factors.) | Cush270/271 | Seat Size: 25″ x 25″ | Seat height without cushion: 12″ | Cushion Thickness: 6″ | Cushion Attachment Type: None | Zipper Cushion Closure",Swivel Gliders/Rockers,NorthCape,https://www.northcape.com/product/hixon-swivel-rocker-chair-polytuf/,https://www.northcape.com/wp-content/uploads/2022/01/swivel-rocker-dark-gray-2.jpg,
Laguna Teak Lounge Chair,NC2015C,Laguna,Teak,Deep Seating & Lounge,30.37” x 32.87” x 33.12”ht,,,Cushion: Cush2015C,"The Laguna Chair is 100% solid, plantation grown teak and partners with a cushion covered in fade- and mildew-resistant Sunbrella® fabric, creating comfortable seating for 1.","Sunbrella® cushion covers provide unmatched fade, moisture and mildew resistance, and can be easily unzipped for cleaning. | Because the wood is reclaimed, it has already been aged and dried so there is no need for an additional step to control moisture. | Plush, overstuffed cushions are made from quick-drying polyurethane foam wrapped in moisture and mildew-eliminating Dacron fibers. | Our Plantation Teak products ae plantation-grown and harvested from mature trees that are 50-60 years old. | Hardware is zinc-coated steel that has been plated in brass. The zinc helps minimize corrosion, steel was chosen for strength and brass for its luster. | This line of teak is part of a replenished forestry program, where a new tree is planted for each one that is harvested | Our Plantation Teak is oven- or air-dried for moisture control. | Grade B Teak. | You may choose to allow your natural wood/teak to weather to a beautiful silver-gray patina or treat it with an oil or sealer specifically made for natural teak twice a year to preserve the natural wood/teak’s golden finish. | Natural teak may be cleaned using a wood cleaner, or lightly sanded with 600 (or higher) grit sandpaper.",Club Chairs,NorthCape,https://www.northcape.com/product/laguna-lounge-chair/,https://www.northcape.com/wp-content/uploads/2022/01/laguna-armchair-2.jpg,https://www.northcape.com/wp-content/uploads/2022/01/laguna-armchair-1.jpg | https://www.northcape.com/wp-content/uploads/2022/01/laguna-armchair-3.jpg | https://www.northcape.com/wp-content/uploads/2022/01/laguna-armchair-4.jpg | https://www.northcape.com/wp-content/uploads/2022/01/laguna-armchair-5.jpg | https://www.northcape.com/wp-content/uploads/2022/01/laguna-armchair-6.jpg | https://www.northcape.com/wp-content/uploads/2022/01/laguna-armchair-7.jpg | https://www.northcape.com/wp-content/uploads/2022/01/laguna-armchair-8.jpg | https://www.northcape.com/wp-content/uploads/2022/01/laguna-armchair-6-dim.jpg
Laguna Teak Sofa,NC20153S,Laguna,Teak,Deep Seating & Lounge,65.75” x 32.87” x 33.12”ht,,,Cushion: Cush20153S,"The Laguna Sofa is 100% solid, plantation grown teak and partners with a cushion covered in fade- and mildew-resistant Sunbrella® fabric, creating comfortable seating for 3. It is designed to match the entire Laguna collection.","Sunbrella® cushion covers provide unmatched fade, moisture and mildew resistance, and can be easily unzipped for cleaning. | Because the wood is reclaimed, it has already been aged and dried so there is no need for an additional step to control moisture. | Plush, overstuffed cushions are made from quick-drying polyurethane foam wrapped in moisture and mildew-eliminating Dacron fibers. | Hardware is zinc-coated steel that has been plated in brass. The zinc helps minimize corrosion, steel was chosen for strength and brass for its luster. | Our Plantation Teak products ae plantation-grown and harvested from mature trees that are 50-60 years old. | This line of teak is part of a replenished forestry program, where a new tree is planted for each one that is harvested. | Grade B Teak. | You may choose to allow your natural teak to weather to a beautiful silver-gray patina or treat it with an oil or sealer specifically made for natural teak twice a year to preserve the natural wood/teak’s golden finish. | Natural teak may be cleaned using a wood cleaner, or lightly sanded with 600 (or higher) grit sandpaper.",Sofas,NorthCape,https://www.northcape.com/product/laguna-sofa/,https://www.northcape.com/wp-content/uploads/2022/01/laguna-sofa-2.jpg,https://www.northcape.com/wp-content/uploads/2022/01/laguna-sofa-3.jpg | https://www.northcape.com/wp-content/uploads/2022/01/laguna-sofa-1.jpg | https://www.northcape.com/wp-content/uploads/2022/01/laguna-sofa-4.jpg | https://www.northcape.com/wp-content/uploads/2022/01/laguna-sofa-5.jpg | https://www.northcape.com/wp-content/uploads/2022/01/laguna-sofa-6.jpg | https://www.northcape.com/wp-content/uploads/2022/01/laguna-sofa-7.jpg | https://www.northcape.com/wp-content/uploads/2022/01/laguna-sofa-8.jpg | https://www.northcape.com/wp-content/uploads/2022/01/laguna-sofa-silo-2-dim.jpg
