model_number,product_name,category,subcategory,size,available_finishes,finish_skus,vent_type,sunbrella_a_msrp,sunbrella_a_sale,sunbrella_b_msrp,sunbrella_b_sale,sunbrella_c_msrp,sunbrella_c_sale,sunbrella_d_msrp,sunbrella_d_sale,single_item_msrp,single_item_sale,notes
782-DV,782 8'x8' Deluxe Commercial Use Square,Commercial,Commercial Aluminum,8x8',Silver (SR),782SR,Double Vent,1265,949,1320,990,1315,986,1370,1028,,,
791,791 13' Deluxe Commercial Use,Commercial,Commercial Aluminum,13',Silver (SR),791SR,Double Vent,1935,1451,2035,1526,1985,1489,2085,1564,,,
792,792 10'x10' Deluxe Commercial Use,Commercial,Commercial Aluminum,10x10',Silver (SR),792SR,Single Vent,1380,1035,1445,1084,1430,1072,1495,1121,,,
792-DV,792 10'x10' Deluxe Commercial Use,Commercial,Commercial Aluminum,10x10',Silver (SR),792SR,Double Vent,1520,1140,1585,1189,1570,1178,1635,1226,,,
715,715 6' Commercial Use,Commercial,Commercial Aluminum,6',Antique Bronze (AB),715AB,Single Vent,635,476,690,518,675,506,730,548,,,
715-DV,715 6' Commercial Use,Commercial,Commercial Aluminum,6',Antique Bronze (AB),715AB,Double Vent,755,566,810,608,795,596,850,638,,,
725,725 7.5' Commercial Use,Commercial,Commercial Aluminum,7.5',"Antique Bronze (AB), Black (BK), White (W)","725AB, 725BK, 725W",Single Vent,680,510,735,551,720,540,775,581,,,
725-DV,725 7.5' Commercial Use,Commercial,Commercial Aluminum,7.5',"Antique Bronze (AB), Black (BK), White (W)","725AB, 725BK, 725W",Double Vent,800,600,855,641,840,630,895,671,,,
735,735 9' Commercial Use,Commercial,Commercial Aluminum,9',"Antique Bronze (AB), Black (BK), White (W)","735AB, 735BK, 735W",Single Vent,780,585,835,626,820,615,875,656,,,
735-DV,735 9' Commercial Use,Commercial,Commercial Aluminum,9',"Antique Bronze (AB), Black (BK), White (W)","735AB, 735BK, 735W",Double Vent,900,675,955,716,940,705,995,746,,,
772,772 3.5'x7' Half Wall,Commercial,Commercial Aluminum,3.5x7',Antique Bronze (AB),772AB,Single Vent,725,544,780,585,765,574,820,615,,,
772-DV,772 3.5'x7' Half Wall,Commercial,Commercial Aluminum,3.5x7',Antique Bronze (AB),772AB,Double Vent,845,634,900,675,885,664,940,705,,,
887,887 11' Cantilever,Cantilever,Cantilever,11',"Antique Bronze (AB), Black (BK)","887AB, 887BK",Single Vent,3180,2385,3265,2449,3230,2422,3315,2486,,,ships LTL freight only; requires 2 persons
887-DV,887 11' Cantilever,Cantilever,Cantilever,11',"Antique Bronze (AB), Black (BK)","887AB, 887BK",Double Vent,3320,2490,3405,2554,3370,2528,3455,2591,,,ships LTL freight only; requires 2 persons
899,899 13' Cantilever,Cantilever,Cantilever,13',"Antique Bronze (AB), Black (BK)","899AB, 899BK",Double Vent,4310,3232,4410,3308,4360,3270,4460,3345,,,all canopies made to order - non-quick ship; ships LTL freight only; requires 2 persons
897,897 10'x10' Cantilever,Cantilever,Cantilever,10x10',"Antique Bronze (AB), Black (BK)","897AB, 897BK",Single Vent,3390,2542,3455,2591,3440,2580,3505,2629,,,ships LTL freight only; requires 2 persons
897-DV,897 10'x10' Cantilever,Cantilever,Cantilever,10x10',"Antique Bronze (AB), Black (BK)","897AB, 897BK",Double Vent,3530,2648,3595,2696,3580,2685,3645,2734,,,ships LTL freight only; requires 2 persons
121-221,121/221 7.5' Cafe Wood,Wood,Wood Cafe,7.5',"Light Wood (121), Dark Wood (221)","121, 221",Single Vent,635,476,690,518,675,506,730,548,,,
121-221-DV,121/221 7.5' Cafe Wood,Wood,Wood Cafe,7.5',"Light Wood (121), Dark Wood (221)","121, 221",Double Vent,755,566,810,608,795,596,850,638,,,
131,131 9' All Purpose Wood,Wood,Wood Market,9',Light Wood (131),131,Single Vent,735,551,790,592,775,581,830,622,,,
131-DV,131 9' All Purpose Wood,Wood,Wood Market,9',Light Wood (131),131,Double Vent,855,641,910,682,895,671,950,712,,,
132-232,132/232 9' Double Pulley Wood,Wood,Wood Market,9',"Light Wood (132), Dark Wood (232)","132, 232",Single Vent,775,581,830,622,815,611,870,652,,,
132-232-DV,132/232 9' Double Pulley Wood,Wood,Wood Market,9',"Light Wood (132), Dark Wood (232)","132, 232",Double Vent,895,671,950,712,935,701,990,742,,,
136,136 9' Commercial Wood,Wood,Wood Market,9',Light Wood (136),136,Single Vent,830,622,885,664,870,652,925,694,,,
136-DV,136 9' Commercial Wood,Wood,Wood Market,9',Light Wood (136),136,Double Vent,950,712,1005,754,990,742,1045,784,,,
183,183 11' Quad Pulley Wood,Wood,Wood Market,11',Light Wood (183),183,Single Vent,1280,960,1365,1024,1330,998,1415,1061,,,
183-DV,183 11' Quad Pulley Wood,Wood,Wood Market,11',Light Wood (183),183,Double Vent,1420,1065,1505,1129,1470,1102,1555,1166,,,
532TK,532TK 9' Designer Teak,Teak,Teak,9',Teak (532TK),532TK,Single Vent,1305,979,1360,1020,1345,1009,1400,1050,,,
532TK-DV,532TK 9' Designer Teak,Teak,Teak,9',Teak (532TK),532TK,Double Vent,1425,1069,1480,1110,1465,1099,1520,1140,,,
537TK,537TK 9' Rotational Tilt Teak,Teak,Teak,9',Teak (537TK),537TK,Single Vent,1335,1001,1390,1042,1375,1031,1430,1072,,,
537TK-DV,537TK 9' Rotational Tilt Teak,Teak,Teak,9',Teak (537TK),537TK,Double Vent,1455,1091,1510,1132,1495,1121,1550,1162,,,
587TK,587TK 11' Crank Lift Teak,Teak,Teak,11',Teak (587TK),587TK,Single Vent,1790,1342,1875,1406,1840,1380,1925,1444,,,
587TK-DV,587TK 11' Crank Lift Teak,Teak,Teak,11',Teak (587TK),587TK,Double Vent,1930,1448,2015,1511,1980,1485,2065,1549,,,
040ED,European Cast Iron Base - 40 lb,Bases,European Cast Iron,,"Antique Bronze (040EDAB), Black (040EDB)","040EDAB, 040EDB",,,,,,,,,,400,300,
075ED,European Cast Iron Base - 75 lb,Bases,European Cast Iron,,"Antique Bronze (075EDAB), Black (075EDB)","075EDAB, 075EDB",,,,,,,,,,600,450,
BSTUBE15,"Base Tube 1.5"" dia, 12"" height",Bases,Base Tubes,,All finishes,BSTUBE15x,,,,,,,,,,80,60,
040SQBK,Steel Plate Base - 40 lb (772 only),Bases,Steel Plate Bases,,Black (040SQBK),040SQBK,,,,,,,,,,400,300,
060SQ,Steel Plate Base - 60 lb,Bases,Steel Plate Bases,,"Black (060SQBK), Silver (060SQSR)","060SQBK, 060SQSR",,,,,,,,,,600,450,
085SQ,Steel Plate Base - 85 lb,Bases,Steel Plate Bases,,"Black (085SQBK), Silver (085SQSR)","085SQBK, 085SQSR",,,,,,,,,,800,600,
095SQ,Wheels Base - 95 lb,Bases,Wheels Bases,,"Black (095SQBK), Silver (095SQSR)","095SQBK, 095SQSR",,,,,,,,,,1000,750,
120SQ,Heavy Weight Base - 120 lb,Bases,Heavy Weight Bases,,"Black (120SQBK), Silver (120SQSR)","120SQBK, 120SQSR",,,,,,,,,,1100,825,Must ship via LTL truck
170SQ,Heavy Weight Base - 170 lb,Bases,Heavy Weight Bases,,"Black (170SQBK), Silver (170SQSR)","170SQBK, 170SQSR",,,,,,,,,,1500,1125,Must ship via LTL truck
BSTUBE-SQ-12,"Premium Base Tube 12.5""",Bases,Base Tubes,,"Black (BSTUBEBK12), Silver (BSTUBESR12)","BSTUBEBK12, BSTUBESR12",,,,,,,,,,80,60,
BSTUBE-SQ-24,"Premium Base Tube 24""",Bases,Base Tubes,,"Black (BSTUBEBK24), Silver (BSTUBESR24)","BSTUBEBK24, BSTUBESR24",,,,,,,,,,90,68,
60-xx,Replacement Cover 6',Replacement Parts,Replacement Covers,6',,,,420,315,460,345,455,341,500,375,,,
66-xx,Replacement Cover 6x6',Replacement Parts,Replacement Covers,6x6',,,,495,371,535,401,530,398,575,431,,,
75-xx,Replacement Cover 7.5',Replacement Parts,Replacement Covers,7.5',,,,505,379,540,405,545,409,580,435,,,
77-xx,Replacement Cover 3.5x7',Replacement Parts,Replacement Covers,3.5x7',,,,505,379,540,405,545,409,580,435,,,
90-xx,Replacement Cover 9',Replacement Parts,Replacement Covers,9',,,,590,442,630,472,630,472,670,502,,,
80-xx,Replacement Cover 8x11',Replacement Parts,Replacement Covers,8x11',,,,900,675,985,739,950,712,1035,776,,,
88-xx,Replacement Cover 8x8',Replacement Parts,Replacement Covers,8x8',,,,915,686,1000,750,965,724,1050,788,,,
11-xx,Replacement Cover 11',Replacement Parts,Replacement Covers,11',,,,940,705,1025,769,990,742,1075,806,,,
10-xx,Replacement Cover 10x10',Replacement Parts,Replacement Covers,10x10',,,,1005,754,1090,818,1055,791,1140,855,,,
13-xx,Replacement Cover 13',Replacement Parts,Replacement Covers,13',,,,1320,990,1405,1054,1370,1028,1455,1091,,,
P-RIB,Rib Assembly,Replacement Parts,Hardware,,,,,,,,,,,,,60,45,
BP,Bottom Pole,Replacement Parts,Hardware,,,,,,,,,,,,,60,45,
BH,Bar Height Pole,Replacement Parts,Hardware,,,,,,,,,,,,,70,52,
P-HUB,Runner Hub / Top Hub,Replacement Parts,Hardware,,,,,,,,,,,,,55,41,
P-FINIAL,Finial,Replacement Parts,Hardware,,,,,,,,,,,,,40,30,
P-PULLEYS,2-Pulley Kit,Replacement Parts,Hardware,,,,,,,,,,,,,45,34,
P-PIN,Pin & Chain Assembly,Replacement Parts,Hardware,,,,,,,,,,,,,30,22,
TFORMER,Transformer for Series 936/986,Replacement Parts,Hardware,,,,,,,,,,,,,70,52,
FRAME-ALU-727,Replacement Frame Aluminum - 727 7.5',Replacement Parts,Replacement Frames - Aluminum,7.5',"AB, AP, BK, DC, LT, RC, S, W, SR",,,,,,,,,,,450,338,
FRAME-ALU-737,Replacement Frame Aluminum - 737 9',Replacement Parts,Replacement Frames - Aluminum,9',"AB, AP, BK, DC, LT, RC, S, W, SR",,,,,,,,,,,500,375,
FRAME-ALU-738,Replacement Frame Aluminum - 738 9',Replacement Parts,Replacement Frames - Aluminum,9',BM,,,,,,,,,,,560,420,
FRAME-ALU-779,Replacement Frame Aluminum - 779 8x11',Replacement Parts,Replacement Frames - Aluminum,8x11',"AB, BK",,,,,,,,,,,700,525,
FRAME-ALU-789,Replacement Frame Aluminum - 789 11',Replacement Parts,Replacement Frames - Aluminum,11',"AB, BK",,,,,,,,,,,730,548,
FRAME-ALU-799,Replacement Frame Aluminum - 799 10x10',Replacement Parts,Replacement Frames - Aluminum,10x10',"AB, BK",,,,,,,,,,,730,548,
FRAME-ALU-636,Replacement Frame Aluminum - 636 9',Replacement Parts,Replacement Frames - Aluminum,9',MB,,,,,,,,,,,360,270,
FRAME-ALU-736,Replacement Frame Aluminum - 736 9',Replacement Parts,Replacement Frames - Aluminum,9',"BK, CH, MB, W",,,,,,,,,,,400,300,
FRAME-ALU-936,Replacement Frame Aluminum - 936 9',Replacement Parts,Replacement Frames - Aluminum,9',"AB, BK",,,,,,,,,,,640,480,
FRAME-ALU-986,Replacement Frame Aluminum - 986 11',Replacement Parts,Replacement Frames - Aluminum,11',"AB, BK",,,,,,,,,,,790,592,
