Replacement Parts
01-B (4) | Bolt Set 01 (4)
02-B (4) | Bolt Set 02 (4)
03-B (4) | Bolt Set 03 (4)
04-B (4) | Bolt Set 04 (4)
1170 | Vinyl Cover 6-8ft
1174 | Vinyl Cover 9-11ft
37-BP | Standard Height Bottom Pole (37")
38F-SR-BP | Fiberglass Steel Rib Bottom Pole 38"
42AP | Aluminum Bottom Pole 42"
42F-SR-BP | Fiberglass Steel Rib Bottom Pole 42"
47-BP | Bar Height Bottom Pole (47")
480F | Base Frame 480
480W | Weight Plate 480
50S/23-ST4 | Steel Plate Stack 50S/23 4-Plate
50S/23-ST8 | Steel Plate Stack 50S/23 8-Plate
52F-SR-BP | Fiberglass Steel Rib Bottom Pole 52"
75S/100S-ST8 | Steel Plate Stack 75S/100S 8-Plate
A-WHEEL | Aluminum Wheel
ARU-RIB | Aurora Rib
ARU-SP | Aurora Spare Parts Kit
ARU-WS | Aurora Wind Strap
ARUF-RIB | Aurora Fiberglass Rib
BZ-IG | Bazooka In-Ground Anchor
BZ-ST-SM | Bazooka Steel Stem (Small)
BZ-ST2-SM | Bazooka Steel Stem 2" (Small)
C-SS-VERTEX FINIAL | Chrome Stainless Steel Vertex Finial
C-TPU VERTEX | C-TPU Vertex Finial
CAM-RIB | Camlock Rib
CAM-RIB-G | Camlock Rib - G-Series
CANOPY-SS | Canopy Support Strap
CB01 | Navy Blue Cotton Beach Umbrella Carry Bag
CB01-FC | Back Strap and Shoulder Strap Carry Bag for FC101
CB87-B-SS (2) | Stainless Steel Surface Mount L-Brackets
CHROME FINIALS | Chrome Finials
CMLK-DP | Camlock Double Pole Adapter
CMLK-ST-SM | Camlock Steel Stem (Small)
D-WHEEL (1) | D-Wheel (1)
ECU-RIB | Eclipse Rib
ECU-SP | Eclipse Spare Parts Kit
ECU-WS | Eclipse Wind Strap
ECU/ARU-PC | Protective Cover (Eclipse/Aurora)
FM-RIB | Fiberglass Monterey Rib
FM-RIB-G | Fiberglass Monterey Rib - G-Series
GS/876-PC | Protective Cover (G-Series/876)
HBF | Half Ball Finial for Catalina / Avalon / Lifeguard (Fiberglass)
LED-C1 | Eclipse / Aurora / G-Series Greenwich / Greenwich / Marella LED Clip
LED-C2 | Aurora-F / G-Series Monterey Rib Attachment Clip
LED-C3 | Monterey Rib Attachment Clip
LED-C4 | Eclipse v4 Cantilever Umbrella LED Clip
LED01 | Led Light + Charging Kit
MCB01 | Sleeve Carry Bag (Greenwich/Monterey)
NGU-PC | Protective Cover (NOVA)
PC-LG | Protective Cover - Large (74" rib)
PC-SM | Protective Cover - Small (60" rib)
PIN & CHAIN | Pin & Chain
ROPE | Replacement Rope
SA-WHEEL (1) | Sand Anchor Wheel (1)
SBC | Steel Bell Cap for Laurel / Emerald Coast / Lifeguard (Steel)
SS-DB (1) | Stainless Steel Drop-In Bolt (1)
SS-VERTEX FINIAL | Stainless Steel Vertex Finial
ST-B (3) | Steel Bolt Set (3)
ST-TS | Steel Toe Saver
TPU/FINIALS | TPU Finials
W-SPRING | Ash Wood Pole Replacement Retention Pole Spring
WL-B | Wind Lock Bottom
Umbrella Bases
36G-SQx4 | Square Galvanized Steel Base and Base Stacks 800 lbs
38-SAP | Sand and Soil Anchor (1.5")
38-SAP-2 | Sand and Soil Anchor (2")
BZ-SM | Bazooka In-Ground Anchored Stem (1.5")
IG | In-Ground Mount
Umbrellas
639SS | Shade Star Beach Umbrella
BH-CHAIR | Beach Haven Folding Beach Chair
BH-UMBRELLA | Beach Haven Folding Beach Umbrella
FC-TBL | Oak Wood Folding Table
FC101-NF | Oakwood Beach Lounger (No Foot Rest)
