SKU,Product_Name,MSRP,Sale_Price
RP-008-350-35,"Trellis Stone Grey Platinum Rug 3'5""x5'",358.0,268.5
RG-334-369-80,Reflections Ocean Blue Gold Rug 8'x10',623.0,467.25
RG-334-369-35,"Reflections Ocean Blue Gold Rug 3'5""x5'",314.0,235.5
RG-097-365-80,North Shore Sky Blue Gold Rug 8'x10',623.0,467.25
RG-097-365-35,"North Shore Sky Blue Gold Rug 3'5""x5'",314.0,235.5
RG-253-099-80,Seaside Harbor Blue Gold Rug 8'x10',623.0,467.25
RG-253-099-35,"Seaside Harbor Blue Gold Rug 3'5""x5'",314.0,235.5
RG-533-050-80,South Beach Spectrum Gold Rug 8'x10',623.0,467.25
RG-533-050-35,"South Beach Spectrum Gold Rug 3'5""x5'",314.0,235.5
RG-252-560-80,Prism Taupe Gold Rug 8'x10',623.0,467.25
RG-252-560-35,"Prism Taupe Gold Rug 3'5""x5'",314.0,235.5
RG-203-651-80,Canyon Taupe Gold Rug 8'x10',623.0,467.25
RG-203-651-35,"Canyon Taupe Gold Rug 3'5""x5'",314.0,235.5
RG-204-651-80,Sand Dune Beige Gold Rug 8'x10',623.0,467.25
RG-204-651-35,"Sand Dune Beige Gold Rug 3'5""x5'",314.0,235.5
RG-097-965-80,North Shore Pebble Gold Rug 8'x10',623.0,467.25
RG-097-965-35,"North Shore Pebble Gold Rug 3'5""x5'",314.0,235.5
RS-511-061-80,Serenity Stripe Linen Silver Rug 8'x10',468.0,351.0
RS-511-061-35,"Serenity Stripe Linen Silver Rug 3'5""x5'",242.0,181.5
RS-607-637-80,Athens Silver Rug 8'x10',468.0,351.0
RS-607-637-35,"Athens Silver Rug 3'5""x5'",242.0,181.5
RS-721-690-80,Urban Hex Black Silver Rug 8'x10',468.0,351.0
RS-721-690-35,"Urban Hex Black Silver Rug 3'5""x5'",242.0,181.5
PFC530,"Protective Cover 30"" Bistro Table & Chairs",104.0,78.0
PFC536,"Protective Cover 36"" Round/Square Bistro Table & Chairs",129.0,96.75
PFC551,"Protective Cover 48"" Round/Square Table & Chairs",179.0,134.25
PFC571,"Protective Cover 54"" Round/Square Table & Chairs",197.0,147.75
PFC590,"Protective Cover 60"" Round/Square Table & Chairs",268.0,201.0
PFC592,Protective Cover Small Oval/Rectangle Table & Chairs,162.0,121.5
PFC594,Protective Cover Medium Oval/Rectangle Table & Chairs,202.0,151.5
PFC596,Protective Cover Large Oval/Rectangle Table & Chairs,252.0,189.0
PFC598,Protective Cover X-Large Oval/Rectangle Table & Chairs,335.0,251.25
PFC115,Protective Cover Dining Chair,68.0,51.0
PFC116,Protective Cover Counter Height Chair,77.0,57.75
PFC117,Protective Cover Bar Height Chair,78.0,58.5
PFC119S,Protective Cover Small Chaise,114.0,85.5
PFC119L,Protective Cover Large Chaise,141.0,105.75
PFC401,Protective Cover Modular Right End,104.0,78.0
PFC402,Protective Cover Modular Armless,132.0,99.0
PFC403,Protective Cover Modular Left End,104.0,78.0
PFC404,Protective Cover Modular Corner,149.0,111.75
PFC405,Protective Cover Modular Extension,77.0,57.75
PFC406-R,Protective Cover Modular Wedge Right End,132.0,99.0
PFC406-C,Protective Cover Modular Wedge,149.0,111.75
PFC406-L,Protective Cover Modular Wedge Left End,132.0,99.0
PFC805,"Protective Cover Fits 36"" to 42"" Round",75.0,56.25
PFC810,"Protective Cover Fits 48"" to 54"" Round",84.0,63.0
PFC815,"Protective Cover Fits 19"" to 26"" Square",55.0,41.25
PFC820,"Protective Cover Fits 42"" to 48"" Square",93.0,69.75
PFC825,Protective Cover Small Rectangle,57.0,42.75
PFC830,Protective Cover Medium Rectangle,74.0,55.5
PFC835,Protective Cover Large Rectangle,75.0,56.25
PFC840,Protective Cover X-Large Rectangle,93.0,69.75
PFC711,Protective Cover Lounge Chair,92.0,69.0
PFC712,Protective Cover Large Lounge Chair,109.0,81.75
