type,category,item_number,name,grade,restriction,current_db_status
fabric,Sling,878,Smoke,B,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,889,Vineyard,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,950,Mavi,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,957,Alloy,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,998,Putty,B,,in finishes (misfiled) - migrate to fabrics
fabric,Cushion,01A,Red,A,,absent - NEW create
fabric,Cushion,02A,Canvas Seasalt,A,,absent - NEW create
fabric,Cushion,04A,Canvas Macaw,A,,absent - NEW create
fabric,Cushion,05A,Black,A,,absent - NEW create
fabric,Cushion,06A,White,A,not on Acrylic Padded Sling,absent - NEW create
fabric,Cushion,09A,Play Oat,A,,absent - NEW create
fabric,Cushion,10L,Spontaneous Teak,B,,absent - NEW create
fabric,Cushion,11L,Mira Chai,C,,absent - NEW create
fabric,Cushion,12A,Bliss Aloe,A,,absent - NEW create
fabric,Cushion,12L,Veena Wildwood,D,,absent - NEW create
fabric,Cushion,13A,Navy,A,,absent - NEW create
fabric,Cushion,13L,Frondly Cobalt,C,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,14A,Play Mocha,A,,absent - NEW create
fabric,Cushion,14L,Tilden Spring,D,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,15L,Hastings Toast,C,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,16L,Dapple Linen,C,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,16T,Poros Sky,C,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,17L,Tap Pear,A,,absent - NEW create
fabric,Cushion,18L,Mira Seasalt,C,,absent - NEW create
fabric,Cushion,19L,Allister Oyster,B,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,20L,Arboretum Blush,D,,absent - NEW create
fabric,Cushion,21L,Etna Dune,C,,absent - NEW create
fabric,Cushion,22A,Forest Green,A,,absent - NEW create
fabric,Cushion,22L,Beyond Slate,C,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,23L,Spontaneous Spring,B,,absent - NEW create
fabric,Cushion,24A,Cast Breeze,A,,absent - NEW create
fabric,Cushion,24L,Martinique Tropic,D,,absent - NEW create
fabric,Cushion,25L,Hastings Slate,C,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,26L,Unwind Rainwashed,B,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,27L,Frondly Stem,C,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,28A,Pacific Blue,A,,absent - NEW create
fabric,Cushion,28L,Tap Clay,A,,absent - NEW create
fabric,Cushion,29L,Martinique Mango,D,,absent - NEW create
fabric,Cushion,30L,Toro Indigo,B,,absent - NEW create
fabric,Cushion,31L,Etna Heron,C,,absent - NEW create
fabric,Cushion,32L,Tap Chambray,A,,absent - NEW create
fabric,Cushion,33L,Review Denim,C,,absent - NEW create
fabric,Cushion,34L,Frond Sky,B,,absent - NEW create
fabric,Cushion,35A,Cobalt,A,,absent - NEW create
fabric,Cushion,35L,Frond Classic,B,,absent - NEW create
fabric,Cushion,36A,Stone Linen,B,,absent - NEW create
fabric,Cushion,40A,Cast Silver,A,,absent - NEW create
fabric,Cushion,41A,Tangerine,A,,absent - NEW create
fabric,Cushion,42A,Sky,A,,absent - NEW create
fabric,Cushion,43A,Yellow,A,,absent - NEW create
fabric,Cushion,44A,Canvas Flax,A,,absent - NEW create
fabric,Cushion,46T,Exhale Sky,A,,absent - NEW create
fabric,Cushion,47T,Exhale Cloud,A,,absent - NEW create
fabric,Cushion,48T,Nuance Cloud,B,,absent - NEW create
fabric,Cushion,54A,Stucco,A,,absent - NEW create
fabric,Cushion,57A,Aruba,A,,absent - NEW create
fabric,Cushion,66A,Azure,A,,absent - NEW create
fabric,Cushion,78A,Mineral Blue,A,,absent - NEW create
fabric,Cushion,79A,Peacock,A,,absent - NEW create
fabric,Cushion,81A,Greystone,A,,absent - NEW create
fabric,Cushion,86A,Indigo,A,,absent - NEW create
fabric,Cushion,89A,Cast,A,,absent - NEW create
fabric,Cushion,90A,Slate,A,,absent - NEW create
fabric,Cushion,91A,Canvas Henna,A,,absent - NEW create
fabric,Cushion,92A,Cast Ivy,A,,absent - NEW create
fabric,Cushion,93A,Canvas Persimmon,A,,absent - NEW create
fabric,Cushion,95A,Canvas Haze,A,,absent - NEW create
fabric,Cushion,154,Dream Mist,C,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,164,Conte River,D,not on ADSC Chateau Double Seat Cushion,absent - NEW create
