id,sku,current_name,final_name,final_slug,method
3967,1310020,"35.5 "" x 23"" End Table/Corner Unit","Blair Air 35.5 "" x 23"" End Table/Corner Unit",blair-air-35-5-x-23-end-table-corner-unit,COLLECTION_ONLY
3954,51AR352,Armless Chat Chair,Blair Air Armless Chat Chair,blair-air-armless-chat-chair,COLLECTION_ONLY
3959,51AR422N,Armless Loveseat,Blair Air Armless Loveseat,blair-air-armless-loveseat,COLLECTION_ONLY
3963,51AR432N,Armless Sofa,Blair Air Armless Sofa,blair-air-armless-sofa,COLLECTION_ONLY
3955,10AR392,Chat Chair,Blair Air Chat Chair,blair-air-chat-chair,COLLECTION_ONLY
3957,10AR392L,Left Arm Chat Chair,Blair Air Left Arm Chat Chair,blair-air-left-arm-chat-chair,COLLECTION_ONLY
3961,10AR422L,Left Arm Loveseat,Blair Air Left Arm Loveseat,blair-air-left-arm-loveseat,COLLECTION_ONLY
3965,10AR432L,Left Arm Sofa,Blair Air Left Arm Sofa,blair-air-left-arm-sofa,COLLECTION_ONLY
3960,10AR422,Loveseat,Blair Air Loveseat,blair-air-loveseat,COLLECTION_ONLY
3958,10AR392R,Right Arm Chat Chair,Blair Air Right Arm Chat Chair,blair-air-right-arm-chat-chair,COLLECTION_ONLY
3962,10AR422R,Right Arm Loveseat,Blair Air Right Arm Loveseat,blair-air-right-arm-loveseat,COLLECTION_ONLY
3966,10AR432R,Right Arm Sofa,Blair Air Right Arm Sofa,blair-air-right-arm-sofa,COLLECTION_ONLY
3964,10AR432,Sofa,Blair Air Sofa,blair-air-sofa,COLLECTION_ONLY
3956,10AR902,Swivel Chat Chair,Blair Air Swivel Chat Chair,blair-air-swivel-chat-chair,COLLECTION_ONLY
3968,8439N-DC,Armless Center Chat Chair,Blair Cushion Armless Center Chat Chair,blair-cushion-armless-center-chat-chair,COLLECTION_ONLY
3969,8439A-DC,Chat Chair,Blair Cushion Chat Chair,blair-cushion-chat-chair,COLLECTION_ONLY
3979,8410A-DC,Corner,Blair Cushion Corner,blair-cushion-corner,COLLECTION_ONLY
3971,8439L-DC,Left Arm Chat Chair,Blair Cushion Left Arm Chat Chair,blair-cushion-left-arm-chat-chair,COLLECTION_ONLY
3974,8442L-DC,Left Arm Loveseat,Blair Cushion Left Arm Loveseat,blair-cushion-left-arm-loveseat,COLLECTION_ONLY
3977,8443L-DC,Left Arm Sofa,Blair Cushion Left Arm Sofa,blair-cushion-left-arm-sofa,COLLECTION_ONLY
3973,8442A-DC,Loveseat,Blair Cushion Loveseat,blair-cushion-loveseat,COLLECTION_ONLY
3980,9914A-DC,Ottoman,Blair Cushion Ottoman,blair-cushion-ottoman,COLLECTION_ONLY
3972,8439R-DC,Right Arm Chat Chair,Blair Cushion Right Arm Chat Chair,blair-cushion-right-arm-chat-chair,COLLECTION_ONLY
3975,8442R-DC,Right Arm Loveseat,Blair Cushion Right Arm Loveseat,blair-cushion-right-arm-loveseat,COLLECTION_ONLY
3978,8443R-DC,Right Arm Sofa,Blair Cushion Right Arm Sofa,blair-cushion-right-arm-sofa,COLLECTION_ONLY
3976,8443A-DC,Sofa,Blair Cushion Sofa,blair-cushion-sofa,COLLECTION_ONLY
3970,8490A-DC,Swivel Rocker Chat Chair,Blair Cushion Swivel Rocker Chat Chair,blair-cushion-swivel-rocker-chat-chair,COLLECTION_ONLY
3998,952972X,Dining (with Hole),"Bridger 29"" x 72"" Dining (with Hole)",bridger-29-x-72-dining-with-hole,COLLECTION_PLUS_MEASUREMENT
