page,collection,category,name,sku,sku_2pack,material,width,depth,height,length,seat_height,arm_height,weight,notes,table_height_type
17,Blair,Cushion,Corner,8410A,,Aluminum,33,33,35,,18,,,-DC or -UC; *Units are not standalone pieces,
19,Blair,Cushion,Corner,8510A,,,33,33,35,,18,,,-DC or -UC; *Units are not standalone pieces,
17,Blair,Cushion,Left Arm Chat Chair,8439L,,Aluminum,28,33,35,,18,24,,-DC or -UC; *Units are not standalone pieces,
19,Blair,Cushion,Left Arm Chat Chair,8539L,,,28,33,35,,18,24,,-DC or -UC; *Units are not standalone pieces,
17,Blair,Cushion,Left Arm Loveseat,8442L,,Aluminum,52,33,35,,18,24,,-DC or -UC; *Units are not standalone pieces,
19,Blair,Cushion,Left Arm Loveseat,8542L,,,52,33,35,,18,24,,-DC or -UC; *Units are not standalone pieces,
17,Blair,Cushion,Left Arm Sofa,8443L,,Aluminum,75,33,35,,18,24,,-DC or -UC; *Units are not standalone pieces,
19,Blair,Cushion,Left Arm Sofa,8543L,,,75,33,35,,18,24,,-DC or -UC; *Units are not standalone pieces,
17,Blair,Cushion,Loveseat,8442A,,Aluminum,56,33,35,,18,24,,-DC or -UC,
19,Blair,Cushion,Loveseat,8542A,,,56,33,35,,18,24,,-DC or -UC,
17,Blair,Cushion,Ottoman,9914A,,Aluminum,24,27,16.5,,16.5,,,-DC or -UC,
19,Blair,Cushion,Ottoman,9914A,,,24,27,16.5,,16.5,,,-DC or -UC,
17,Blair,Cushion,Right Arm Chat Chair,8439R,,Aluminum,28,33,35,,18,24,,-DC or -UC; *Units are not standalone pieces,
19,Blair,Cushion,Right Arm Chat Chair,8539R,,,28,33,35,,18,24,,-DC or -UC; *Units are not standalone pieces,
17,Blair,Cushion,Right Arm Loveseat,8442R,,Aluminum,52,33,35,,18,24,,-DC or -UC; *Units are not standalone pieces,
19,Blair,Cushion,Right Arm Loveseat,8542R,,,52,33,35,,18,24,,-DC or -UC; *Units are not standalone pieces,
17,Blair,Cushion,Right Arm Sofa,8443R,,Aluminum,75,33,35,,18,24,,-DC or -UC; *Units are not standalone pieces,
19,Blair,Cushion,Right Arm Sofa,8543R,,,75,33,35,,18,24,,-DC or -UC; *Units are not standalone pieces,
17,Blair,Cushion,Sofa,8443A,,Aluminum,80,33,35,,18,24,,-DC or -UC,
19,Blair,Cushion,Sofa,8543A,,,80,33,35,,18,24,,-DC or -UC,
17,Blair,Cushion,Swivel Rocker Chat Chair,8490A,,Aluminum,32,33,35,,18,24,,-DC or -UC,
19,Blair,Cushion,Swivel Rocker Chat Chair,8590A,,,32,33,35,,18,24,,-DC or -UC,
22,Blair,Sling,Adjustable Chaise,10302,,Sling | Aluminum,27,,43.5,82.5,16,23.25,,Sling variant,
22,Blair,Sling,Adjustable Chaise,10202,,Padded Sling | Aluminum,27,,43.5,82.5,16,23.25,,Padded Sling variant,
22,Blair,Sling,Armless Adjustable Chaise,10301,,Sling | Aluminum,24,,43.5,82.5,16,,,Sling variant; Arm Ht: N/A,
22,Blair,Sling,Armless Adjustable Chaise,10201,,Padded Sling | Aluminum,24,,43.5,82.5,16,,,Padded Sling variant; Arm Ht: N/A,
22,Blair,Sling,High Back Dining Chair,10180,,Sling | Aluminum,26.75,28,45.5,,19.5,25,,Sling variant,
22,Blair,Sling,High Back Dining Chair,10190,,Padded Sling | Aluminum,26.75,28,45.5,,19.5,25,,Padded Sling variant,
22,Blair,Sling,High Back Swivel Rocker,10980,,Sling | Aluminum,26.75,28,45.5,,19.5,25,,Sling variant,
22,Blair,Sling,High Back Swivel Rocker,10990,,Padded Sling | Aluminum,26.75,28,45.5,,19.5,25,,Padded Sling variant,
22,Blair,Sling,Low Back Dining Chair,10680,,Sling | Aluminum,26.75,28,37,,19.5,25,,Sling variant,
22,Blair,Sling,Low Back Dining Chair,10690,,Padded Sling | Aluminum,26.75,28,37,,19.5,25,,Padded Sling variant,
22,Blair,Sling,Low Back Swivel Rocker,10880,,Sling | Aluminum,26.75,28,37,,19.5,25,,Sling variant,
22,Blair,Sling,Low Back Swivel Rocker,10890,,Padded Sling | Aluminum,26.75,28,37,,19.5,25,,Padded Sling variant,
22,Blair,Sling,Ottoman,99120,,Sling | Aluminum,20.5,20,16.5,,16.5,,,Sling variant; Arm Ht: N/A,
22,Blair,Sling,Ottoman,99130,,Padded Sling | Aluminum,20.5,20,16.5,,16.5,,,Padded Sling variant; Arm Ht: N/A,
28,Capri,Mixed Materials,Armless Dining Chair,97350,,Woven | Aluminum,22,23.2,30.3,,18.1,,,Arm Ht: N/A,
28,Capri,Mixed Materials,Chat Chair,97380,,Cushion | Aluminum,25.8,28.9,28.9,,17,22,,"Available in: Cushion, Woven",
28,Capri,Mixed Materials,Dining Chair,97370,,Woven | Aluminum,22,23.8,30.3,,18.1,25.2,,,
30,Casper,Woven,Armless Balcony Stool,95250,,Woven | Steel,20.3,22.3,38,,25.6,,,,
30,Casper,Woven,Armless Bar Stool,95480,,Woven | Steel,20.3,22.3,41.9,,29.5,,,,
30,Casper,Woven,Armless Chat Chair,95380,,Woven | Steel,23.6,32.1,32.5,,16.3,,,,
30,Casper,Woven,Armless Dining Chair,95350,,Woven | Steel,21.5,23,33.7,,17.7,,,,
15,Concrete,Cushion,Chat Chair,2H37A,,,28.25,34,35,,18,23.5,,-DC or -UC,
15,Concrete,Cushion,Loveseat,2H42A,,,52.25,34,35,,18,23.5,,-DC or -UC,
15,Concrete,Cushion,Sofa,2H43A,,,76.25,34,35,,18,23.5,,-DC or -UC,
121,Concrete,Fire Tables,"32"" x 52"" Lounge Concrete Fire Table",Top: 893252XTMTT Base: 89XNC,,Aluminum,,,21.5,,,,,Use fire table cover 006139; LP or NG,lounge
87,Concrete,Fire Tables,"32"" x 52"" Lounge Fire Table",893252XCTTT,,,,,21.5,,,,,Top: 893252XCTTT; Base: 89XNC (-JLP or -JNG); Use fire table cover 006139,lounge
117,Concrete,Fire Tables,"32"" x 52"" Lounge Fire Table",893252XSGTT,,,32,52,21.5,,,,,"Top: 893252XSGTT, Base: 89XNC (-JLP or -JNG), Use fire table cover 006139",lounge
109,Concrete,Fire Tables,"32"" x 52"" Rectangular Lounge Fire Table",893252XSHTT,,,,,21.5,,,,,"Top: 893252XSHTT, Base: 89XNC (-JLP or -JNG), Use fire table cover 006139",lounge
121,Concrete,Fire Tables,"36"" x 60"" Lounge Concrete Fire Table",Top: 893660XTMTT Base: 89XNC,,Aluminum,,,21.5,,,,,Use fire table cover 006138; LP or NG,lounge
87,Concrete,Fire Tables,"36"" x 60"" Lounge Fire Table",893660XCTTT,,,,,21.5,,,,,Top: 893660XCTTT; Base: 89XNC (-JLP or -JNG); Use fire table cover 006138,lounge
117,Concrete,Fire Tables,"36"" x 60"" Lounge Fire Table",893660XSGTT,,,36,60,21.5,,,,,"Top: 893660XSGTT, Base: 89XNC (-JLP or -JNG), Use fire table cover 006138",lounge
109,Concrete,Fire Tables,"36"" x 60"" Rectangular Lounge Fire Table",893660XSHTT,,,,,21.5,,,,,"Top: 893660XSHTT, Base: 89XNC (-JLP or -JNG), Use fire table cover 006138",lounge
121,Concrete,Fire Tables,"42"" Balcony Concrete Fire Table (Round)",Top: 42RTMFPTT Base: 89RBC,,Aluminum,,,34.5,,,,,Use fire table cover 005369; LP or NG,balcony
117,Concrete,Fire Tables,"42"" Balcony Fire Table",42RSGFPTT,,,,,34.5,,,,,"Top: 42RSGFPTT, Base: 89RBC (-JLP or -JNG), Use fire table cover 005369",balcony
121,Concrete,Fire Tables,"42"" Lounge Concrete Fire Table",Top: 42SQTMTT Base: 89SNC,,Aluminum,,,21.5,,,,,Use fire table cover 005106; LP or NG,lounge
121,Concrete,Fire Tables,"42"" Lounge Concrete Fire Table (Round)",Top: 42RTMFPTT Base: 89RNC,,Aluminum,,,21.5,,,,,Use fire table cover 005369; LP or NG,lounge
117,Concrete,Fire Tables,"42"" Lounge Fire Table",42SQSGTT,,,,,21.5,,,,,"Top: 42SQSGTT, Base: 89SNC (-JLP or -JNG), Use fire table cover 005106",lounge
117,Concrete,Fire Tables,"42"" Lounge Fire Table",42RSGFPTT,,,,,21.5,,,,,"Top: 42RSGFPTT, Base: 89RNC (-JLP or -JNG), Use fire table cover 005369",lounge
87,Concrete,Fire Tables,"42"" Round Balcony Fire Table",42RCTFPTT,,,,,34.5,,,,,Top: 42RCTFPTT; Base: 89RBC (-JLP or -JNG); Use fire table cover 005369,balcony
109,Concrete,Fire Tables,"42"" Round Balcony Fire Table",42RSHFPTT,,,,,34.5,,,,,"Top: 42RSHFPTT, Base: 89RBC (-JLP or -JNG), Use fire table cover 005369",balcony
87,Concrete,Fire Tables,"42"" Round Lounge Fire Table",42RCTFPTT,,,,,21.5,,,,,Top: 42RCTFPTT; Base: 89RNC (-JLP or -JNG); Use fire table cover 005369,lounge
109,Concrete,Fire Tables,"42"" Round Lounge Fire Table",42RSHFPTT,,,,,21.5,,,,,"Top: 42RSHFPTT, Base: 89RNC (-JLP or -JNG), Use fire table cover 005369",lounge
87,Concrete,Fire Tables,"42"" Square Lounge Fire Table",42SQCTTT,,,,,21.5,,,,,Top: 42SQCTTT; Base: 89SNC (-JLP or -JNG); Use fire table cover 005106,lounge
109,Concrete,Fire Tables,"42"" Square Lounge Fire Table",42SQSHTT,,,,,21.5,,,,,"Top: 42SQSHTT, Base: 89SNC (-JLP or -JNG), Use fire table cover 005106",lounge
109,Concrete,Fire Tables,"48"" Round Balcony Fire Table",48RSHFPTT,,,,,34.5,,,,,"Top: 48RSHFPTT, Base: 89RBC (-JLP or -JNG), Use fire table cover 005108",balcony
109,Concrete,Fire Tables,"48"" Round Lounge Fire Table",48RSHFPTT,,,,,21.5,,,,,"Top: 48RSHFPTT, Base: 89RNC (-JLP or -JNG), Use fire table cover 005108",lounge
121,Concrete,Fire Tables,"54"" Balcony Concrete Fire Table (Round)",Top: 54RTMFPTT Base: 89RBC,,Aluminum,,,34.5,,,,,Use fire table cover 005108; LP or NG,balcony
117,Concrete,Fire Tables,"54"" Balcony Fire Table",54RSGFPTT,,,,,34.5,,,,,"Top: 54RSGFPTT, Base: 89RBC (-JLP or -JNG), Use fire table cover 005108",balcony
121,Concrete,Fire Tables,"54"" Lounge Concrete Fire Table (Round)",Top: 54RTMFPTT Base: 89RNC,,Aluminum,,,21.5,,,,,Use fire table cover 005108; LP or NG,lounge
117,Concrete,Fire Tables,"54"" Lounge Fire Table",54RSGFPTT,,,,,21.5,,,,,"Top: 54RSGFPTT, Base: 89RNC (-JLP or -JNG), Use fire table cover 005108",lounge
87,Concrete,Fire Tables,"54"" Round Balcony Fire Table",54RCTFPTT,,,,,34.5,,,,,Top: 54RCTFPTT; Base: 89RBC (-JLP or -JNG); Use fire table cover 005108,balcony
87,Concrete,Fire Tables,"54"" Round Lounge Fire Table",54RCTFPTT,,,,,21.5,,,,,Top: 54RCTFPTT; Base: 89RNC (-JLP or -JNG); Use fire table cover 005108,lounge
121,Concrete,Outdoor Essentials,"14"" x 26.25"" Rectangular Burner Cover",91006,,Smooth aluminum,,,,,,,,Use with rectangular burners,
121,Concrete,Outdoor Essentials,"15.5"" x 28.5"" Glass Guard",006086,,,,,5.8,,,,,Use in windy conditions; for rectangular burners,
121,Concrete,Outdoor Essentials,"22"" Round Burner Cover",91004,,Smooth aluminum,,,,,,,,Use with round burners,
121,Concrete,Outdoor Essentials,"22.5"" Glass Guard",005561,,,,,6.75,,,,,Use in windy conditions; for round burners,
121,Concrete,Outdoor Essentials,Aqua Fire Jewelry (18),006122,,,,,Reflective,,,,,,
121,Concrete,Outdoor Essentials,Clear Beads Fire Jewelry (01),005003,,,,,,,,,,,
121,Concrete,Outdoor Essentials,Crystal Ice Fire Jewelry (13),006117,,,,,,,,,,,
121,Concrete,Outdoor Essentials,Midnight Black Fire Jewelry (19),006123,,,,,Reflective,,,,,,
121,Concrete,Outdoor Essentials,Platinum Fire Jewelry (20),006124,,,,,Reflective,,,,,,
88,Concrete,Tables + Bases,"24"" Round End Table (no Hole, 3-legged base)",3723RCT,,Aluminum,,,19.5,,,,,3-legged base,end
88,Concrete,Tables + Bases,"24"" Round End Table (no Hole, 4-legged base)",3722RCT,,Aluminum,,,19.5,,,,,4-legged base,end
88,Concrete,Tables + Bases,"24"" Round Side Table (no Hole)",3724RCT,,Aluminum,,,15.5,,,,,,side
88,Concrete,Tables + Bases,"24"" Round Side Table (no Hole)",3725RCT,,Aluminum,,,15.5,,,,,,side
88,Concrete,Tables + Bases,"24"" Square End Table (no Hole)",3722SCT,,Aluminum,,,19.5,,,,,4-legged base,end
88,Concrete,Tables + Bases,"24"" Square Side Table (no Hole)",3721SCT,,Aluminum,,,15.5,,,,,4-legged base,side
89,Concrete,Tables + Bases,"24"" Square Trestle End Table (no Hole)",2722SCT,,Aluminum,,,21,,,,,Trestle base,end
89,Concrete,Tables + Bases,"24"" Square Trestle Side Table (no Hole)",2721SCT,,Aluminum,,,16,,,,,Trestle base,side
89,Concrete,Tables + Bases,"26"" x 44"" Rectangle Post End Table (no Hole)",C2644XCT + 5744B,,Aluminum,,,21,,,,,Post base,end
89,Concrete,Tables + Bases,"26"" x 44"" Rectangle Trestle Coffee Table (no Hole)",C2644XCT + 272644B,,Aluminum,,,15.1,,,,,Trestle base,coffee
88,Concrete,Tables + Bases,"30"" Round Adjustable Table (no Hole)",1330RCT,,Aluminum,,,18.25-30.75,,,,,,adjustable
89,Concrete,Tables + Bases,"30"" Round Pedestal Balcony Table (with Hole)",C0030RCTWH + 2334B,,Aluminum,,,33.25,,,,,Pedestal base,balcony
89,Concrete,Tables + Bases,"30"" Round Pedestal Bar Table (with Hole)",C0030RCTWH + 2340B,,Aluminum,,,39.25,,,,,Pedestal base,bar
89,Concrete,Tables + Bases,"30"" Round Pedestal Dining Table (no Hole)",C0030RCT + 2330B,,Aluminum,,,29.25,,,,,Pedestal base,dining
89,Concrete,Tables + Bases,"30"" Round Pedestal Dining Table (with Hole)",C0030RCTWH + 2330B,,Aluminum,,,29.25,,,,,Pedestal base,dining
89,Concrete,Tables + Bases,"30"" Round Trestle Dining Table (no Hole)",C3030SCT + 5723B,,Aluminum,,,30,,,,,Post base,dining
89,Concrete,Tables + Bases,"30"" Square Pedestal Dining Table (with Hole)",C3030SCTWH + 2330B,,Aluminum,,,29.25,,,,,Pedestal base,dining
89,Concrete,Tables + Bases,"30"" Square Trestle Dining Table (no Hole)",C3030SCT + 5723B,,Aluminum,,,30,,,,,Post base,dining
93,Concrete,Tables + Bases,"32"" Square Balcony Complete",C3232SWZNU + 2334B,,,32,32,33.25,,,,,no Hole; Pedestal Base,balcony
93,Concrete,Tables + Bases,"32"" Square Bar Complete",C3232SWZNU + 2340B,,,32,32,39.25,,,,,no Hole; Pedestal Base,bar
93,Concrete,Tables + Bases,"32"" Square Dining Complete",C3232SWZNU + 2330B,,,32,32,29.25,,,,,no Hole; Pedestal Base,dining
93,Concrete,Tables + Bases,"32"" x 48"" Rectangle Balcony Complete",C3248XWZNU + 2334B (x2),,,32,,33.25,48,,,,no Hole; Pedestal Base; requires 2 bases,balcony
93,Concrete,Tables + Bases,"32"" x 48"" Rectangle Bar Complete",C3248XWZNU + 2340B (x2),,,32,,39.25,48,,,,no Hole; Pedestal Base; requires 2 bases,bar
93,Concrete,Tables + Bases,"32"" x 48"" Rectangle Dining Complete",C3248XWZNU + 2330B (x2),,,32,,29.25,48,,,,no Hole; Pedestal Base; requires 2 bases,dining
89,Concrete,Tables + Bases,"32"" x 52"" Rectangle Trestle Coffee Table (no Hole)",C3252XCT + 273252B,,Aluminum,,,15.1,,,,,Trestle base,coffee
93,Concrete,Tables + Bases,"36"" Round Balcony Complete",C0036RWZNU + 2334B,,,36,36,33.25,,,,,no Hole; Pedestal Base,balcony
93,Concrete,Tables + Bases,"36"" Round Bar Complete",C0036RWZNU + 2340B,,,36,36,39.25,,,,,no Hole; Pedestal Base,bar
93,Concrete,Tables + Bases,"36"" Round Dining Complete",C0036RWZNU + 2330B,,,36,36,29.25,,,,,no Hole; Pedestal Base,dining
93,Concrete,Tables + Bases,"36"" Square Balcony Complete",C3636SWZNU + 2334B,,,36,36,33.25,,,,,no Hole; Pedestal Base,balcony
93,Concrete,Tables + Bases,"36"" Square Bar Complete",C3636SWZNU + 2340B,,,36,36,39.25,,,,,no Hole; Pedestal Base,bar
93,Concrete,Tables + Bases,"36"" Square Dining Complete",C3636SWZNU + 2330B,,,36,36,29.25,,,,,no Hole; Pedestal Base,dining
89,Concrete,Tables + Bases,"36"" x 60"" Rectangle Trestle Coffee Table (no Hole)",C3660XCT + 273660B,,Aluminum,,,15.1,,,,,Trestle base,coffee
93,Concrete,Tables + Bases,"42"" Round Balcony Complete",C0042RWZNU + 3334B,,,42,42,33.25,,,,,no Hole; Pedestal Base,balcony
88,Concrete,Tables + Bases,"42"" Round Balcony Table (no Hole)",3742RBCTNU,,Aluminum,,,34.25,,,,,,balcony
88,Concrete,Tables + Bases,"42"" Round Balcony Table (with Hole)",3742RBCT,,Aluminum,,,34.25,,,,,,balcony
93,Concrete,Tables + Bases,"42"" Round Bar Complete",C0042RWZNU + 3340B,,,42,42,39.25,,,,,no Hole; Pedestal Base,bar
88,Concrete,Tables + Bases,"42"" Round Chat Table (no Hole)",3742RCCTNU,,Aluminum,,,21.5,,,,,,chat
93,Concrete,Tables + Bases,"42"" Round Dining Complete",C0042RWZNU + 3330B,,,42,42,29.25,,,,,no Hole; Pedestal Base,dining
88,Concrete,Tables + Bases,"42"" Round Dining Table (no Hole)",3742RFCTNU,,Aluminum,,,29.25,,,,,,dining
89,Concrete,Tables + Bases,"42"" Round Dining Table (no Hole)",C0042RCTNU + 2742RB,,Aluminum,,,29.25,,,,,Trestle base,dining
88,Concrete,Tables + Bases,"42"" Round Dining Table (with Hole)",3742RFCT,,Aluminum,,,29.25,,,,,,dining
89,Concrete,Tables + Bases,"42"" Round Pedestal Balcony Table (with Hole)",C0042RCT + 3334B,,Aluminum,,,33.25,,,,,Pedestal base,balcony
89,Concrete,Tables + Bases,"42"" Round Pedestal Bar Table (with Hole)",C0042RCT + 3340B,,Aluminum,,,39.25,,,,,Pedestal base,bar
89,Concrete,Tables + Bases,"42"" Round Pedestal Dining Table (with Hole)",C0042RCT + 3330B,,Aluminum,,,29.25,,,,,Pedestal base,dining
88,Concrete,Tables + Bases,"42"" Square Balcony Table (no Hole)",3742SBCTNU,,Aluminum,,,34.25,,,,,,balcony
88,Concrete,Tables + Bases,"42"" Square Balcony Table (with Hole)",3742SBCT,,Aluminum,,,34.25,,,,,,balcony
88,Concrete,Tables + Bases,"42"" Square Dining Table (no Hole)",3742SFCTNU,,Aluminum,,,29.25,,,,,,dining
89,Concrete,Tables + Bases,"42"" Square Dining Table (no Hole)",2742SFCTNU,,Aluminum,,,30,,,,,Trestle base,dining
88,Concrete,Tables + Bases,"42"" Square Dining Table (with Hole)",3742SFCT,,Aluminum,,,29.25,,,,,,dining
89,Concrete,Tables + Bases,"42"" Square Dining Table (with Hole)",2742SFCT,,Aluminum,,,30,,,,,Trestle base,dining
89,Concrete,Tables + Bases,"42"" Square Pedestal Dining Table (with Hole)",C4242SCT + 3330B,,Aluminum,,,29.25,,,,,Pedestal base,dining
88,Concrete,Tables + Bases,"42"" x 62"" Rectangle Balcony Table (with Hole)",374262BCT,,Aluminum,,,34.25,,,,,,balcony
88,Concrete,Tables + Bases,"42"" x 62"" Rectangle Dining Table (with Hole)",374262FCT,,Aluminum,,,29.25,,,,,,dining
88,Concrete,Tables + Bases,"42"" x 84"" Rectangle Balcony Table (with Hole)",374284BCT,,Aluminum,,,34.25,,,,,,balcony
88,Concrete,Tables + Bases,"42"" x 84"" Rectangle Dining Table (with Hole)",374284FCT,,Aluminum,,,29.25,,,,,,dining
89,Concrete,Tables + Bases,"42"" x 84"" Rectangle Dining Table (with Hole)",274284FCT,,Aluminum,,,30,,,,,Trestle base,dining
88,Concrete,Tables + Bases,"48"" Round Balcony Table (no Hole)",3748RBCTNU,,Aluminum,,,34.25,,,,,,balcony
88,Concrete,Tables + Bases,"48"" Round Balcony Table (with Hole)",3748RBCT,,Aluminum,,,34.25,,,,,,balcony
88,Concrete,Tables + Bases,"48"" Round Dining Table (no Hole)",3748RFCTNU,,Aluminum,,,29.25,,,,,,dining
88,Concrete,Tables + Bases,"48"" Round Dining Table (with Hole)",3748RFCT,,Aluminum,,,29.25,,,,,,dining
89,Concrete,Tables + Bases,"48"" Round Pedestal Dining Table (with Hole)",C0048RCT + 3330B,,Aluminum,,,29.25,,,,,Pedestal base,dining
88,Concrete,Tables + Bases,"54"" Round Balcony Table (no Hole)",3754RBCTNU,,Aluminum,,,34.25,,,,,,balcony
88,Concrete,Tables + Bases,"54"" Round Balcony Table (with Hole)",3754RBCT,,Aluminum,,,34.25,,,,,,balcony
88,Concrete,Tables + Bases,"54"" Round Chat Table (no Hole)",3754RCCTNU,,Aluminum,,,21.5,,,,,,chat
88,Concrete,Tables + Bases,"54"" Round Dining Table (no Hole)",3754RFCTNU,,Aluminum,,,29.25,,,,,,dining
88,Concrete,Tables + Bases,"54"" Round Dining Table (with Hole)",3754RFCT,,Aluminum,,,29.25,,,,,,dining
32,Echo,Metal,Armless Balcony Stool,94580,,Steel,18.5,21,40.5,,24,,,Metal Seat,
32,Echo,Metal,Armless Balcony Stool,9458P,,Steel,18.5,21,40.5,,24,,,Padded Seat,
32,Echo,Metal,Armless Bar Stool,94480,,Steel,18.5,21,45.5,,29,,,Metal Seat,
32,Echo,Metal,Armless Bar Stool,9448P,,Steel,18.5,21,45.5,,29,,,Padded Seat,
32,Echo,Metal,Armless Dining Chair,94350,94350-2,Steel,18.5,21,35,,19,,,Stackable: 2-6; Metal Seat,
32,Echo,Metal,Armless Dining Chair,9435P,9435P-2,Steel,18.5,21,35,,19,,,Stackable: 2-6; Padded Seat,
32,Echo,Metal,Dining Chair,94370,94370-2,Steel,20,21,35,,19,25.75,,Stackable: 2-6; Metal Seat,
32,Echo,Metal,Dining Chair,9437P,9437P-2,Steel,20,21,35,,19,25.75,,Stackable: 2-6; Padded Seat,
32,Echo,Outdoor Essentials,Removable Seat Pad (with Ties),CH-PAD,,,16,17,1,,,,,With Ties,
32,Echo,Outdoor Essentials,Removable Seat Pad (without Ties),CH-PADNT,,,16,17,1,,,,,Without Ties,
90,Eden,Tables + Bases,"15.5"" x 48"" Rectangle Balcony Bench Complete",262348,,All-Weather Poly | Aluminum,15.5,,23,48,,,,no hole,balcony
90,Eden,Tables + Bases,"15.5"" x 48"" Rectangle Bar Bench/Sofa Table Complete",262948,,All-Weather Poly | Aluminum,15.5,,29,48,,,,no hole,bar
90,Eden,Tables + Bases,"15.5"" x 48"" Rectangle Dining Bench Complete",261948,,All-Weather Poly | Aluminum,15.5,,19,48,,,,no hole,dining
97,Eden,Tables + Bases,"16"" x 48"" Rectangle Dining Bench (no Hole)",501948,,Aluminum,,,19,,,,,Post base,dining
90,Eden,Tables + Bases,"23.5"" Square End Complete",2624S,,All-Weather Poly | Aluminum,23.5,23.5,22,,,,,no hole,end
90,Eden,Tables + Bases,"23.5"" Square Side Complete",2621S,,All-Weather Poly | Aluminum,23.5,23.5,16.75,,,,,no hole,side
97,Eden,Tables + Bases,"24"" Square End Table (no Hole)",6224S,,Aluminum,,,21,,,,,Post base,end
97,Eden,Tables + Bases,"26"" x 43.5"" Rectangle Coffee Table (no Hole)",622644,,Aluminum,,,18,,,,,Post base,coffee
97,Eden,Tables + Bases,"30"" Round Pedestal Balcony Table (with Hole)",5030R + 2334B,,Aluminum,,,33.25,,,,,Pedestal base,balcony
97,Eden,Tables + Bases,"30"" Round Pedestal Dining Table (no Hole)",5030RNU + 2330B,,Aluminum,,,29.25,,,,,Pedestal base,dining
97,Eden,Tables + Bases,"30"" Round Pedestal Dining Table (with Hole)",5030R + 2330B,,Aluminum,,,29.25,,,,,Pedestal base,dining
97,Eden,Tables + Bases,"30"" Square Pedestal Dining Table (with Hole)",5030S + 2330B,,Aluminum,,,29.25,,,,,Pedestal base,dining
90,Eden,Tables + Bases,"30.5"" x 60"" Rectangle Coffee Complete",261660,,All-Weather Poly | Aluminum,30.5,,16,60,,,,no hole,coffee
91,Eden,Tables + Bases,"35.5"" x 110"" Rectangle Balcony Complete Table (no Hole)",2634110,,HDPE Polymer Lumber,35.5,,34,110,,,,"No Hole; 3.5"" edge profile; complete table unit",balcony
91,Eden,Tables + Bases,"35.5"" x 110"" Rectangle Bar Complete Table (no Hole)",2640110,,HDPE Polymer Lumber,35.5,,40,110,,,,"No Hole; 3.5"" edge profile; complete table unit",bar
91,Eden,Tables + Bases,"35.5"" x 110"" Rectangle Dining Complete Table (no Hole)",2630110,,HDPE Polymer Lumber,35.5,,30,110,,,,"No Hole; 3.5"" edge profile; complete table unit",dining
91,Eden,Tables + Bases,"35.5"" x 60"" Rectangle Balcony Complete Table (no Hole)",263460,,HDPE Polymer Lumber,35.5,,34,60,,,,"No Hole; 3.5"" edge profile; complete table unit",balcony
91,Eden,Tables + Bases,"35.5"" x 60"" Rectangle Bar Complete Table (no Hole)",264060,,HDPE Polymer Lumber,35.5,,40,60,,,,"No Hole; 3.5"" edge profile; complete table unit",bar
91,Eden,Tables + Bases,"35.5"" x 60"" Rectangle Dining Complete Table (no Hole)",263060,,HDPE Polymer Lumber,35.5,,30,60,,,,"No Hole; 3.5"" edge profile; complete table unit",dining
97,Eden,Tables + Bases,"36"" Round Pedestal Dining Table (no Hole)",5036RNU + 2330B,,Aluminum,,,29.25,,,,,Pedestal base,dining
97,Eden,Tables + Bases,"36"" Round Pedestal Dining Table (with Hole)",5036R + 2330B,,Aluminum,,,29.25,,,,,Pedestal base,dining
97,Eden,Tables + Bases,"36"" Square Pedestal Dining Table (with Hole)",5036S + 2330B,,Aluminum,,,29.25,,,,,Pedestal base,dining
97,Eden,Tables + Bases,"42"" Round Pedestal Dining Table (no Hole)",5042RNU + 3330B,,Aluminum,,,29.25,,,,,Pedestal base,dining
97,Eden,Tables + Bases,"42"" Round Pedestal Dining Table (with Hole)",5042R + 3330B,,Aluminum,,,29.25,,,,,Pedestal base,dining
97,Eden,Tables + Bases,"42"" Square Pedestal Dining Table (no Hole)",5042SNU + 3330B,,Aluminum,,,29.25,,,,,Pedestal base,dining
97,Eden,Tables + Bases,"42"" Square Pedestal Dining Table (with Hole)",5042S + 3330B,,Aluminum,,,29.25,,,,,Pedestal base,dining
97,Eden,Tables + Bases,"42"" x 74"" Rectangle Pedestal Balcony Table (with Hole)",624274XBLT,,Aluminum,,,34,,,,,Post base,balcony
97,Eden,Tables + Bases,"42"" x 74"" Rectangle Pedestal Dining Table (with Hole)",624274XFLT,,Aluminum,,,30,,,,,Post base,dining
97,Eden,Tables + Bases,"48"" Round Pedestal Dining Table (no Hole)",5048RNU + 3330B,,Aluminum,,,29.25,,,,,Pedestal base,dining
97,Eden,Tables + Bases,"48"" Round Pedestal Dining Table (with Hole)",5048R + 3330B,,Aluminum,,,29.25,,,,,Pedestal base,dining
97,Eden,Tables + Bases,"54"" Round Post Balcony Table (with Hole)",6254RBLT,,Aluminum,,,34,,,,,Post base,balcony
97,Eden,Tables + Bases,"54"" Round Post Dining Table (with Hole)",6254RFLT,,Aluminum,,,30,,,,,Post base,dining
34,Edge,Air,Armless Chat Chair,51AR352,,Sensation Sling | Aluminum,26.5,33,36,,18,,,Arm Ht: N/A,
34,Edge,Air,Armless Loveseat,51AR422N,,Sensation Sling | Aluminum,52.5,33,36,,18,,,Arm Ht: N/A,
34,Edge,Air,Armless Sofa,51AR432N,,Sensation Sling | Aluminum,79,33,36,,18,,,Arm Ht: N/A,
