page,collection,category,name,sku,sku_2pack,material,width,depth,height,length,seat_height,arm_height,weight,notes,table_height_type
113,,Fire Tables,"42"" Lounge Fire Table",42SQSLTT,,,,,21.5,,,,,"Top: 42SQSLTT, Base: 89SNC (-JLP or -JNG), Use fire table cover 005106",lounge
121,,Fire Tables,"42"" Lounge Fire Table",42SQTMTT,,,42,42,21.5,,,,,"Top: 42SQTMTT, Base: 89SNC (-JLP or -JNG), Use fire table cover 005106",lounge
113,,Fire Tables,"42"" Lounge Round Fire Table",42RSLFPTT,,,,,21.5,,,,,"Top: 42RSLFPTT, Base: 89RNC (-JLP or -JNG), Use fire table cover 005369",lounge
121,,Fire Tables,"42"" Lounge Round Fire Table",42RTMFPTT,,,42,42,21.5,,,,,"Top: 42RTMFPTT, Base: 89RNC (-JLP or -JNG), Use fire table cover 005369",lounge
113,,Fire Tables,"48"" Balcony Round Fire Table",48RSLFPTT,,,,,34.5,,,,,"Top: 48RSLFPTT, Base: 89RBC (-JLP or -JNG), Use fire table cover 005108",balcony
113,,Fire Tables,"48"" Lounge Round Fire Table",48RSLFPTT,,,,,21.5,,,,,"Top: 48RSLFPTT, Base: 89RNC (-JLP or -JNG), Use fire table cover 005108",lounge
121,,Fire Tables,"54"" Balcony Round Fire Table",54RTMFPTT,,,54,54,34.5,,,,,"Top: 54RTMFPTT, Base: 89RBC (-JLP or -JNG), Use fire table cover 005108",balcony
121,,Fire Tables,"54"" Lounge Round Fire Table",54RTMFPTT,,,54,54,21.5,,,,,"Top: 54RTMFPTT, Base: 89RNC (-JLP or -JNG), Use fire table cover 005108",lounge
136,,Outdoor Essentials,"12"" x 16"" Kidney Throw Pillow",01216,,,16,,12,,,,,with Welt,
136,,Outdoor Essentials,"12"" x 22"" Kidney Throw Pillow",01222,,,22,,12,,,,,with Welt,
136,,Outdoor Essentials,"12"" x 30"" Kidney Throw Pillow",01230,,,30,,12,,,,,no Welt,
136,,Outdoor Essentials,"16"" Square Throw Pillow",00016,,,16,,16,,,,,with Welt,
136,,Outdoor Essentials,"18"" Square Throw Pillow",00018,,,18,,18,,,,,with Welt,
132,,Outdoor Essentials,"2' 6"" x 12' Rectangle Outdoor Rug",98212X,,Luxury Woven Vinyl,30,,,144,,,,,
132,,Outdoor Essentials,"2' 6"" x 8' Rectangle Outdoor Rug",9828X,,Luxury Woven Vinyl,30,,,96,,,,,
132,,Outdoor Essentials,2' x 3' Rectangle Outdoor Rug,9823X,,Luxury Woven Vinyl,24,,,36,,,,,
136,,Outdoor Essentials,"20"" Square Throw Pillow",00020,,,20,,20,,,,,with Welt,
130,,Outdoor Essentials,"32"" x 52"" Cover",006139,,Ripstop polyester,32,,22.4,52,,,,"Use ripstop polyester cover with 32"" x 52"" rectangle",
130,,Outdoor Essentials,"36"" x 60"" Cover",006138,,Ripstop polyester,36,,25,60,,,,"Use ripstop polyester cover with 36"" x 60"" rectangle",
132,,Outdoor Essentials,4' x 6' Rectangle Outdoor Rug,9846X,,Luxury Woven Vinyl,48,,,72,,,,,
