db_id,sku,name
5429,611803,Tuscany Rectangular Console Table
5462,671548,Tuscany Alumiron Umbrella Base
5436,248141,Westfield Dining Chair
5438,248211,Westfield Bench
5441,248331,Westfield Chaise Lounge
5437,248341,Westfield Swivel Rocker
5440,248351,Westfield Swivel Bar Stool
5439,248353,Westfield Swivel Counter Stool
5442,248411,Westfield Club Chair
5443,248417,Westfield Club Swivel Rocker
5445,248421,Westfield Loveseat
5446,248431,Westfield Sofa
5444,248451,Westfield Ottoman
