id,sku,final_collection
4070,2A180,Holly Hill
4074,2A449,Holly Hill
4071,2A980,Holly Hill
4068,2A680,Holly Hill
4069,2A880,Holly Hill
4073,2A480,Holly Hill
4072,2A780,Holly Hill
4079,21320,Infiniti
4078,21300,Infiniti
4077,21350,Infiniti
4083,362844,Infiniti
4082,361235,Infiniti
4081,3610021,Infiniti
4080,21120,Infiniti
4260,3722SWZ,Integrity
4263,C3248XWZNU,Integrity
4264,C0036RWZNU,Integrity
4266,C0042RWZNU,Integrity
4262,C3232SWZNU,Integrity
4265,C3636SWZNU,Integrity
4261,C2424SWZNU,Integrity
4114,1K300,Kashton
4111,1K180,Kashton
4112,1K980,Kashton
4109,1K680,Kashton
4110,1K880,Kashton
4113,1K781,Kashton
4270,1330RLT,Latitude
4280,3754RBLT,Latitude
4275,374274XBLT,Latitude
4278,3748RBLT,Latitude
4273,3742RBLT,Latitude
4271,3742RCLTNU,Latitude
4276,3748RCLTNU,Latitude
4269,622644,Latitude
4267,501948,Latitude
4274,374274XFLT,Latitude
4277,3748RFLT,Latitude
4279,3754RFLT,Latitude
4272,3742RFLT,Latitude
4268,6224R,Latitude
4288,5048R,Latitude
4286,5042R,Latitude
4282,5030R,Latitude
4284,5036R,Latitude
4285,5036S,Latitude
4283,5030S,Latitude
4287,5042S,Latitude
4122,CH250-CH,Manhattan
4123,CH240-CH,Manhattan
4120,CH590-CH,Manhattan
4121,CH320-CH,Manhattan
4294,254284BHD,Medley
4292,2542SBHD,Medley
4291,2742SFHD,Medley
4293,274284FHD,Medley
4290,2722SHD,Medley
4289,2721SHD,Medley
4298,C4242SHD,Medley
4296,C3252XHD,Medley
4295,C2644XHD,Medley
4297,C3660XHD,Medley
4193,1936R,Mesh
4192,1930R,Mesh
3937,1131M,Allure Metal
3936,1130M,Allure Metal
3932,1155M,Allure Metal
4055,5655M,Elevate Metal
4057,5645M,Elevate Metal
3934,1145M,Allure Metal
3928,1135M,Allure Metal
3929,1235M,Allure Metal
4053,5635M,Elevate Metal
4056,5657M,Elevate Metal
3933,1158M,Allure Metal
4058,5647M,Elevate Metal
4060,2F240,Florida Metal
3935,1148M,Allure Metal
3930,1137M,Allure Metal
3931,1237M,Allure Metal
4054,5637M,Elevate Metal
4059,2F320,Florida Metal
4062,2F120,Florida Metal
4061,2F480,Florida Metal
4206,134488BWH,Mode
4209,1344110BWH,Mode
4203,134466BWH,Mode
4200,134444BWH,Mode
4207,134488BRWH,Mode
4201,134444BRWH,Mode
4204,134466BRWH,Mode
4210,1344110BRWH,Mode
4198,134444C,Mode
4197,134444L,Mode
4195,132244,Mode
4208,1344110FWH,Mode
4205,134488FWH,Mode
4202,134466FWH,Mode
4199,134444FWH,Mode
4196,13300,Mode
4194,13220,Mode
4145,6139N-DC,Revive Modular
4037,5139N-DC,Elements Modular
4040,5142N-DC,Elements Modular
4148,6142N-DC,Revive Modular
4151,6143N-DC,Revive Modular
4043,5143N-DC,Elements Modular
4154,6110A-DC,Revive Modular
4046,5110A-DC,Elements Modular
4146,6139L-DC,Revive Modular
4038,5139L-DC,Elements Modular
4149,6142L-DC,Revive Modular
4041,5142L-DC,Elements Modular
4044,5143L-DC,Elements Modular
4152,6143L-DC,Revive Modular
4039,5139R-DC,Elements Modular
4147,6139R-DC,Revive Modular
4042,5142R-DC,Elements Modular
4150,6142R-DC,Revive Modular
4153,6143R-DC,Revive Modular
4045,5143R-DC,Elements Modular
4126,1G250,Olive
4127,1G240,Olive
4124,1G350,Olive
4125,1G320,Olive
4408,133660TT,Mode Fire Pits
4407,133252TT,Mode Fire Pits
4084,SPL22104,In-Pool Series
4088,SPL44100NR,In-Pool Series
4089,SPL44100W4R,In-Pool Series
4086,SPL22103,In-Pool Series
4099,SPL11601UM,In-Pool Series
4101,SPLWIDETABLE,In-Pool Series
4095,SPL41007MX,In-Pool Series
4094,SPL41007AX,In-Pool Series
4096,SPL41007BX,In-Pool Series
4087,SPLWOOSAH,In-Pool Series
4085,SPL22102,In-Pool Series
4090,SPL33100,In-Pool Series
4106,SPL3300PLW,In-Pool Series
4108,SPL3300SCMP,In-Pool Series
4093,SPL33100W12R,In-Pool Series
4091,SPL33100W4R,In-Pool Series
4092,SPL33100W8R,In-Pool Series
4102,SPLRP1UNIT,In-Pool Series
4107,SPLRPCADDY,In-Pool Series
4104,SPL33108,In-Pool Series
4103,SPL33104,In-Pool Series
4105,SPL33112,In-Pool Series
4100,SPLSIDETABLE,In-Pool Series
4098,SPL22101T1,In-Pool Series
4097,SPL11501,In-Pool Series
4307,374262BSH,Shadow Rock
4305,374262FSH,Shadow Rock
4301,1330RSH,Shadow Rock
4310,374282BSH,Shadow Rock
4317,3748RBSH,Shadow Rock
4314,374484BSH,Shadow Rock
4304,3742RBSH,Shadow Rock
4306,374272BSH,Shadow Rock
4302,3742RCSHNU,Shadow Rock
4315,3748RCSHNU,Shadow Rock
4303,3742RFSH,Shadow Rock
4313,374484FSH,Shadow Rock
4316,3748RFSH,Shadow Rock
4309,374282FSH,Shadow Rock
4308,374272FSH,Shadow Rock
4300,3723RSH,Shadow Rock
4299,3724RSH,Shadow Rock
4326,C0048RSH,Shadow Rock
4324,C3660XSH,Shadow Rock
4323,C0036RSH,Shadow Rock
4318,C2424SSH,Shadow Rock
4322,C3252XSH,Shadow Rock
4321,C3048XSH,Shadow Rock
4320,C0030RSHWH,Shadow Rock
4319,C2644XSH,Shadow Rock
4325,C0042RSH,Shadow Rock
4334,374262BSL,Slate
4333,374262FSL,Slate
4329,1330RSL,Slate
4339,374282BSL,Slate
4342,374484BSL,Slate
4345,3748RBSL,Slate
4336,374272BSL,Slate
4332,3742RBSL,Slate
4343,3748RCSLNU,Slate
4330,3742RCSLNU,Slate
4337,374282FSL,Slate
4344,3748RFSL,Slate
4335,374272FSL,Slate
4341,374484FSL,Slate
4331,3742RFSL,Slate
4328,3723RSL,Slate
4327,3724RSL,Slate
4348,C0030RSLWH,Slate
