id,sku,is_active,available_online,show_price_online,quote_only,in_store_only
5847,C0048RSH+3340B,True,False,False,True,False
5848,C0048RSHNU+3330B,True,False,False,True,False
5849,C0048RSHNU+3334B,True,False,False,True,False
5850,C0048RSHNU+3340B,True,False,False,True,False
5797,C2424SSH+5723B,True,False,False,True,False
5801,C2644XSH+272644B,True,False,False,True,False
5798,C2644XSH+5744B,True,False,False,True,False
5815,C3030SSH+2330B,True,False,False,True,False
5816,C3030SSH+2334B,True,False,False,True,False
5817,C3030SSH+2340B,True,False,False,True,False
5799,C3030SSH+5723B,True,False,False,True,False
5812,C3030SSHWH+2330B,True,False,False,True,False
5813,C3030SSHWH+2334B,True,False,False,True,False
5814,C3030SSHWH+2340B,True,False,False,True,False
5818,C3048XSH+2330B,True,False,False,True,False
5819,C3048XSH+2334B,True,False,False,True,False
5820,C3048XSH+2340B,True,False,False,True,False
5800,C3048XSH+5744B,True,False,False,True,False
5802,C3252XSH+273252B,True,False,False,True,False
5827,C3636SSH+2330B,True,False,False,True,False
5828,C3636SSH+2334B,True,False,False,True,False
5829,C3636SSH+2340B,True,False,False,True,False
5830,C3636SSHNU+2330B,True,False,False,True,False
5831,C3636SSHNU+2334B,True,False,False,True,False
5832,C3636SSHNU+2340B,True,False,False,True,False
5803,C3660XSH+273660B,True,False,False,True,False
5839,C4242SSH+3330B,True,False,False,True,False
5840,C4242SSH+3334B,True,False,False,True,False
5841,C4242SSH+3340B,True,False,False,True,False
5805,C4242SSHNU+2742SB,True,False,False,True,False
5842,C4242SSHNU+3330B,True,False,False,True,False
5843,C4242SSHNU+3334B,True,False,False,True,False
5844,C4242SSHNU+3340B,True,False,False,True,False
4329,1330RSL,True,False,False,True,False
4340,254282BSL,True,False,False,True,False
4338,254282FSL,True,False,False,True,False
5915,2542SBSL,True,False,False,True,False
5917,2542SBSLNU,True,False,False,True,False
5914,2542SFSL,True,False,False,True,False
5916,2542SFSLNU,True,False,False,True,False
5861,2721SSL,True,False,False,True,False
5862,2722SSL,True,False,False,True,False
5874,274282FSL,True,False,False,True,False
5872,2742SFSL,True,False,False,True,False
5873,2742SFSLNU,True,False,False,True,False
5853,3721SSL,True,False,False,True,False
5852,3722RSL,True,False,False,True,False
5854,3722SSL,True,False,False,True,False
4328,3723RSL,True,False,False,True,False
4327,3724RSL,True,False,False,True,False
5851,3725RSL,True,False,False,True,False
4334,374262BSL,True,False,False,True,False
4333,374262FSL,True,False,False,True,False
4336,374272BSL,True,False,False,True,False
4335,374272FSL,True,False,False,True,False
4339,374282BSL,True,False,False,True,False
4337,374282FSL,True,False,False,True,False
4332,3742RBSL,True,False,False,True,False
5856,3742RBSLNU,True,False,False,True,False
4330,3742RCSLNU,True,False,False,True,False
4331,3742RFSL,True,False,False,True,False
5855,3742RFSLNU,True,False,False,True,False
5858,3742SBSL,True,False,False,True,False
5860,3742SBSLNU,True,False,False,True,False
5857,3742SFSL,True,False,False,True,False
5859,3742SFSLNU,True,False,False,True,False
4342,374484BSL,True,False,False,True,False
4341,374484FSL,True,False,False,True,False
4345,3748RBSL,True,False,False,True,False
4343,3748RCSLNU,True,False,False,True,False
4344,3748RFSL,True,False,False,True,False
5878,C0030RSL+2330B,True,False,False,True,False
5879,C0030RSL+2334B,True,False,False,True,False
5880,C0030RSL+2340B,True,False,False,True,False
5875,C0030RSLWH+2330B,True,False,False,True,False
5876,C0030RSLWH+2334B,True,False,False,True,False
5877,C0030RSLWH+2340B,True,False,False,True,False
5890,C0036RSL+2330B,True,False,False,True,False
5891,C0036RSL+2334B,True,False,False,True,False
5892,C0036RSL+2340B,True,False,False,True,False
5893,C0036RSLNU+2330B,True,False,False,True,False
5894,C0036RSLNU+2334B,True,False,False,True,False
5895,C0036RSLNU+2340B,True,False,False,True,False
5902,C0042RSL+3330B,True,False,False,True,False
5903,C0042RSL+3334B,True,False,False,True,False
5904,C0042RSL+3340B,True,False,False,True,False
5866,C0042RSLNU+2742RB,True,False,False,True,False
5905,C0042RSLNU+3330B,True,False,False,True,False
5906,C0042RSLNU+3334B,True,False,False,True,False
5907,C0042RSLNU+3340B,True,False,False,True,False
5918,C0048RSL+3330B,True,False,False,True,False
5919,C0048RSL+3334B,True,False,False,True,False
5920,C0048RSL+3340B,True,False,False,True,False
5921,C0048RSLNU+3330B,True,False,False,True,False
5922,C0048RSLNU+3334B,True,False,False,True,False
5923,C0048RSLNU+3340B,True,False,False,True,False
5868,C2424SSL+5723B,True,False,False,True,False
5863,C2644XSL+272644B,True,False,False,True,False
5869,C2644XSL+5744B,True,False,False,True,False
5884,C3030SSL+2330B,True,False,False,True,False
5885,C3030SSL+2334B,True,False,False,True,False
5886,C3030SSL+2340B,True,False,False,True,False
5870,C3030SSL+5723B,True,False,False,True,False
5881,C3030SSLWH+2330B,True,False,False,True,False
5882,C3030SSLWH+2334B,True,False,False,True,False
5883,C3030SSLWH+2340B,True,False,False,True,False
5887,C3048XSL+2330B,True,False,False,True,False
5888,C3048XSL+2334B,True,False,False,True,False
5889,C3048XSL+2340B,True,False,False,True,False
5871,C3048XSL+5744B,True,False,False,True,False
5864,C3252XSL+273252B,True,False,False,True,False
5896,C3636SSL+2330B,True,False,False,True,False
5897,C3636SSL+2334B,True,False,False,True,False
5898,C3636SSL+2340B,True,False,False,True,False
5899,C3636SSLNU+2330B,True,False,False,True,False
5900,C3636SSLNU+2334B,True,False,False,True,False
5901,C3636SSLNU+2340B,True,False,False,True,False
5865,C3660XSL+273660B,True,False,False,True,False
5908,C4242SSL+3330B,True,False,False,True,False
5909,C4242SSL+3334B,True,False,False,True,False
5910,C4242SSL+3340B,True,False,False,True,False
5867,C4242SSLNU+2742SB,True,False,False,True,False
5911,C4242SSLNU+3330B,True,False,False,True,False
5912,C4242SSLNU+3334B,True,False,False,True,False
5913,C4242SSLNU+3340B,True,False,False,True,False
4418,42RSLFPTT+89RBC,True,False,False,True,False
4417,48RSLFPTT+89RBC,True,False,False,True,False
4357,1330RSG,True,False,False,True,False
4366,254284BSG,True,False,False,True,False
4364,254284FSG,True,False,False,True,False
5959,2542SBSG,True,False,False,True,False
5961,2542SBSGNU,True,False,False,True,False
5958,2542SFSG,True,False,False,True,False
