type,manufacturer,slug,url,lastmod
product,couture-jardin,curl-double-daybed-no-canopy-cj,https://oasisgardenandpatio.com/shop/curl-double-daybed-no-canopy-cj,2026-07-13
product,couture-jardin,curl-double-daybed-with-canopy-cj,https://oasisgardenandpatio.com/shop/curl-double-daybed-with-canopy-cj,2026-07-13
product,couture-jardin,decorative-pillow-grid-green-cj,https://oasisgardenandpatio.com/shop/decorative-pillow-grid-green-cj,2026-07-13
product,couture-jardin,decorative-pillow-grid-grey-cj,https://oasisgardenandpatio.com/shop/decorative-pillow-grid-grey-cj,2026-07-13
product,couture-jardin,decorative-pillow-star-grey-cj,https://oasisgardenandpatio.com/shop/decorative-pillow-star-grey-cj,2026-07-13
product,couture-jardin,decorative-pillow-star-yellow-cj,https://oasisgardenandpatio.com/shop/decorative-pillow-star-yellow-cj,2026-07-13
product,couture-jardin,diva-armchair-cj,https://oasisgardenandpatio.com/shop/diva-armchair-cj,2026-07-13
product,couture-jardin,diva-armchair-natural-cj,https://oasisgardenandpatio.com/shop/diva-armchair-natural-cj,2026-07-13
product,couture-jardin,diva-bar-stool-cj,https://oasisgardenandpatio.com/shop/diva-bar-stool-cj,2026-07-14
product,couture-jardin,diva-bar-stool-nature-cj,https://oasisgardenandpatio.com/shop/diva-bar-stool-nature-cj,2026-07-14
product,couture-jardin,diva-bar-table-cj,https://oasisgardenandpatio.com/shop/diva-bar-table-cj,2026-07-14
product,couture-jardin,diva-chaise-lounge-cj,https://oasisgardenandpatio.com/shop/diva-chaise-lounge-cj,2026-07-13
product,couture-jardin,diva-coffee-table-cj,https://oasisgardenandpatio.com/shop/diva-coffee-table-cj,2026-07-13
product,couture-jardin,diva-dining-chair-cj,https://oasisgardenandpatio.com/shop/diva-dining-chair-cj,2026-07-14
product,couture-jardin,diva-dining-chair-nature-cj,https://oasisgardenandpatio.com/shop/diva-dining-chair-nature-cj,2026-07-14
product,couture-jardin,diva-double-daybed-cj,https://oasisgardenandpatio.com/shop/diva-double-daybed-cj,2026-07-13
product,couture-jardin,diva-double-daybed-nature-cj,https://oasisgardenandpatio.com/shop/diva-double-daybed-nature-cj,2026-07-13
product,couture-jardin,diva-ottoman-cj,https://oasisgardenandpatio.com/shop/diva-ottoman-cj,2026-07-13
product,couture-jardin,diva-ottoman-nature-cj,https://oasisgardenandpatio.com/shop/diva-ottoman-nature-cj,2026-07-13
product,couture-jardin,diva-rectangular-dining-table-2-cj,https://oasisgardenandpatio.com/shop/diva-rectangular-dining-table-2-cj,2026-07-14
product,couture-jardin,diva-rectangular-dining-table-3-cj,https://oasisgardenandpatio.com/shop/diva-rectangular-dining-table-3-cj,2026-07-13
product,couture-jardin,diva-rectangular-dining-table-cj,https://oasisgardenandpatio.com/shop/diva-rectangular-dining-table-cj,2026-07-13
product,couture-jardin,diva-round-table-cj,https://oasisgardenandpatio.com/shop/diva-round-table-cj,2026-07-14
product,couture-jardin,diva-sofa-2-cj,https://oasisgardenandpatio.com/shop/diva-sofa-2-cj,2026-07-13
product,couture-jardin,diva-sofa-cj,https://oasisgardenandpatio.com/shop/diva-sofa-cj,2026-07-13
product,couture-jardin,diva-tray-for-chaise-lounge-cj,https://oasisgardenandpatio.com/shop/diva-tray-for-chaise-lounge-cj,2026-07-13
product,couture-jardin,dj-side-table-anthracite-low-cj,https://oasisgardenandpatio.com/shop/dj-side-table-anthracite-low-cj,2026-07-13
product,couture-jardin,dj-side-table-greige-high-cj,https://oasisgardenandpatio.com/shop/dj-side-table-greige-high-cj,2026-07-13
product,couture-jardin,dj-side-table-greige-low-cj,https://oasisgardenandpatio.com/shop/dj-side-table-greige-low-cj,2026-07-13
product,couture-jardin,dj-side-table-high-cj,https://oasisgardenandpatio.com/shop/dj-side-table-high-cj,2026-07-13
product,couture-jardin,dj-side-table-light-grey-high-cj,https://oasisgardenandpatio.com/shop/dj-side-table-light-grey-high-cj,2026-07-13
product,couture-jardin,dj-side-table-light-grey-low-cj,https://oasisgardenandpatio.com/shop/dj-side-table-light-grey-low-cj,2026-07-13
product,couture-jardin,dj-side-table-white-high-cj,https://oasisgardenandpatio.com/shop/dj-side-table-white-high-cj,2026-07-13
product,couture-jardin,dj-side-table-white-low-cj,https://oasisgardenandpatio.com/shop/dj-side-table-white-low-cj,2026-07-13
product,couture-jardin,dream-armchair-cj,https://oasisgardenandpatio.com/shop/dream-armchair-cj,2026-07-13
product,couture-jardin,dream-ottoman-cj,https://oasisgardenandpatio.com/shop/dream-ottoman-cj,2026-07-13
product,couture-jardin,ella-bar-table-cj,https://oasisgardenandpatio.com/shop/ella-bar-table-cj,2026-07-14
product,couture-jardin,ella-chaise-lounge-cj,https://oasisgardenandpatio.com/shop/ella-chaise-lounge-cj,2026-07-13
product,couture-jardin,ella-dining-table-2-cj,https://oasisgardenandpatio.com/shop/ella-dining-table-2-cj,2026-07-14
product,couture-jardin,ella-dining-table-3-cj,https://oasisgardenandpatio.com/shop/ella-dining-table-3-cj,2026-07-14
product,couture-jardin,ella-dining-table-cj,https://oasisgardenandpatio.com/shop/ella-dining-table-cj,2026-07-14
product,couture-jardin,enjoy-armchair-cj,https://oasisgardenandpatio.com/shop/enjoy-armchair-cj,2026-07-13
product,couture-jardin,enjoy-bar-stool-box-of-2-cj,https://oasisgardenandpatio.com/shop/enjoy-bar-stool-box-of-2-cj,2026-07-14
product,couture-jardin,enjoy-chaise-lounge-box-of-2-cj,https://oasisgardenandpatio.com/shop/enjoy-chaise-lounge-box-of-2-cj,2026-07-13
product,couture-jardin,enjoy-dining-chair-box-of-2-cj,https://oasisgardenandpatio.com/shop/enjoy-dining-chair-box-of-2-cj,2026-07-14
