id,sku,name,collection,category_id,sub_category,manufacturer_id,display_order,featured,is_active,catalog_visible,available_online,quote_only,price,msrp,category_name,manufacturer_name
3502,TC-commercial-market-um-7-1-2-powdercoat-aluminum,Powdercoat Aluminum Umbrella,7 1 2 Powdercoat Aluminum Umbrella Commercial Market Umbrellas,38,,23,0,False,True,True,False,True,,,Umbrellas,Telescope Casual
3503,TC-commercial-market-um-9-powdercoat-aluminum-umb,Powdercoat Aluminum Umbrella,9 Powdercoat Aluminum Umbrella Commercial Market Umbrellas,38,,23,0,False,True,True,False,True,,,Umbrellas,Telescope Casual
3899,TC-umbrella-bases-16-weighted-base-w-handle,Weighted Base w/ Handle,16 Weighted Base W Handle Umbrella Bases,38,,23,0,False,True,True,False,True,,,Umbrellas,Telescope Casual
3900,TC-umbrella-bases-21-round-weighted-base-w-,Round Weighted Base w/ Wheels,21 Round Weighted Base W Wheels Umbrella Bases,38,,23,0,False,True,True,False,True,,,Umbrellas,Telescope Casual
3901,TC-umbrella-bases-24-round-weighted-base-w-,Round Weighted Base w/ Wheels,24 Round Weighted Base W Wheels Umbrella Bases,38,,23,0,False,True,True,False,True,,,Umbrellas,Telescope Casual
3902,TC-umbrella-bases-24-square-steel-umbrella-,Square Steel Umbrella Base,24 Square Steel Umbrella Base Umbrella Bases,38,,23,0,False,True,True,False,True,,,Umbrellas,Telescope Casual
3903,TC-umbrella-bases-silver-pole-extension,Silver Pole Extension,Silver Pole Extension Umbrella Bases,38,,23,0,False,True,True,False,True,,,Umbrellas,Telescope Casual
3904,TC-value-market-umbrell-7-1-2-powdercoat-aluminum,Powdercoat Aluminum Frame w/ Autotilt,7 1 2 Powdercoat Aluminum Frame W Autotilt Value Market Umbrellas,38,,23,0,False,True,True,False,True,,,Umbrellas,Telescope Casual
3905,TC-value-market-umbrell-9-powdercoat-aluminum-fra,Powdercoat Aluminum Frame w/ Autotilt,9 Powdercoat Aluminum Frame W Autotilt Value Market Umbrellas,38,,23,0,False,True,True,False,True,,,Umbrellas,Telescope Casual
4842,AKZP13LX,STARLUX AKZ PLUS 13',,38,Cantilever,12,0,False,True,True,True,False,2805.00,2805.00,Umbrellas,Treasure Garden
4843,AKZPRTLX,STARLUX AKZ PLUS 10'x13',,38,Cantilever,12,1,False,True,True,True,False,2800.00,2800.00,Umbrellas,Treasure Garden
4844,AKZP13,AKZ PLUS 13',,38,Cantilever,12,2,False,True,True,True,False,2410.00,2410.00,Umbrellas,Treasure Garden
4845,AKZPRT,AKZ PLUS 10'x13',,38,Cantilever,12,3,False,True,True,True,False,2400.00,2400.00,Umbrellas,Treasure Garden
4846,AKZPSQ11,AKZ PLUS 11.5',,38,Cantilever,12,4,True,True,True,True,False,2380.00,2380.00,Umbrellas,Treasure Garden
4847,AKZP,AKZ PLUS 11',,38,Cantilever,12,5,False,True,True,True,False,2235.00,2235.00,Umbrellas,Treasure Garden
4848,AG25TR,AG25T 11.5',,38,Cantilever,12,6,False,True,True,True,False,1835.00,1835.00,Umbrellas,Treasure Garden
4849,AG25TSQR,AG25TSQ 10',,38,Cantilever,12,7,False,True,True,True,False,1770.00,1770.00,Umbrellas,Treasure Garden
4850,AG25TR10,AG25T 10',,38,Cantilever,12,8,False,True,True,True,False,1720.00,1720.00,Umbrellas,Treasure Garden
4851,ET3RT,EASY TRACK® 10'x13',,38,Specialty,12,9,False,True,True,True,False,1520.00,1520.00,Umbrellas,Treasure Garden
4852,ET310,Easy Track®,,38,Specialty,12,10,False,True,True,True,False,1020.00,1020.00,Umbrellas,Treasure Garden
4853,USA45-09,SHANGHAI COLLAR TILT 10',,38,Specialty,12,11,False,True,True,True,False,890.00,890.00,Umbrellas,Treasure Garden
4854,UM851,TWIST 11',,38,Market,12,12,False,True,True,True,False,980.00,980.00,Umbrellas,Treasure Garden
4855,UM850,TWIST 9',,38,Market,12,13,False,True,True,True,False,690.00,690.00,Umbrellas,Treasure Garden
4856,UM800LX,STARLUX COLLAR TILT 9',,38,Market,12,14,False,True,True,True,False,1065.00,1065.00,Umbrellas,Treasure Garden
4857,UM801,COLLAR TILT 11',,38,Market,12,15,False,True,True,True,False,890.00,890.00,Umbrellas,Treasure Garden
4858,UM800,COLLAR TILT 9',,38,Market,12,16,False,True,True,True,False,590.00,590.00,Umbrellas,Treasure Garden
4859,UM841,FLEX 11',,38,Market,12,17,False,True,True,True,False,770.00,770.00,Umbrellas,Treasure Garden
4860,UM840,FLEX 9',,38,Market,12,18,False,True,True,True,False,520.00,520.00,Umbrellas,Treasure Garden
4861,UM847SQ,FLEX 7.5',,38,Market,12,19,False,True,True,True,False,480.00,480.00,Umbrellas,Treasure Garden
4862,UM812,AUTO TILT 11',,38,Market,12,20,False,True,True,True,False,750.00,750.00,Umbrellas,Treasure Garden
4863,UM810,AUTO TILT 9',,38,Market,12,21,False,True,True,True,False,500.00,500.00,Umbrellas,Treasure Garden
4864,UM8810RT,AUTO TILT 8'x10',,38,Market,12,22,False,True,True,True,False,715.00,715.00,Umbrellas,Treasure Garden
4865,UM970,GLIDE TILT 9',,38,Market,12,23,False,True,True,True,False,415.00,415.00,Umbrellas,Treasure Garden
4866,UM977,GLIDE TILT 7.5',,38,Market,12,24,False,True,True,True,False,380.00,380.00,Umbrellas,Treasure Garden
4867,UM920,PUSH BUTTON TILT 9',,38,Market,12,25,False,True,True,True,False,390.00,390.00,Umbrellas,Treasure Garden
4868,UM907,PUSH BUTTON TILT 7.5',,38,Market,12,26,False,True,True,True,False,335.00,335.00,Umbrellas,Treasure Garden
4869,UM809-1H,QUAD PULLEY LIFT 9',,38,Market,12,27,False,True,True,True,False,405.00,405.00,Umbrellas,Treasure Garden
5127,FC101,Oakwood Beach Lounger,,38,Beach,28,0,False,True,True,True,False,398.00,398.00,Umbrellas,Frankford Umbrellas
