id,sku,name,slug,collection,category_id,category,specs,is_active,available_online
5715,2721SCT,"Concrete 24"" Square Side Table (Trestle Base, no Hole)",concrete-24-square-side-table-trestle-base-no-hole-2721sct-concrete-homecrest,Concrete,52,Tables,"{'Depth': '24""', 'Width': '24""', 'Height': '16""'}",True,True
5716,2722SCT,"Concrete 24"" Square End Table (Trestle Base, no Hole)",concrete-24-square-end-table-trestle-base-no-hole-2722sct-concrete-homecrest,Concrete,52,Tables,"{'Depth': '24""', 'Width': '24""', 'Height': '21""'}",True,True
5717,2742SFCT,"Concrete 42"" Square Dining Table (Trestle Base, with Hole)",concrete-42-square-dining-table-post-base-with-hole-2742sfct-concrete-homecrest,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '30""'}",True,True
5718,2742SFCTNU,"Concrete 42"" Square Dining Table (Trestle Base, no Hole)",concrete-42-square-dining-table-post-base-no-hole-2742sfctnu-concrete-homecrest,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '30""'}",True,True
5719,274284FCT,"Concrete 42"" x 84"" Rectangle Dining Table (Post Base, with Hole)",concrete-42-x-84-rectangle-dining-table-post-base-with-hole-274284fct-concrete-homecrest,Concrete,52,Tables,"{'Depth': '84""', 'Width': '42""', 'Height': '30""'}",True,True
5720,2542SFCT,"Concrete 42"" Square Dining Table (Post Base, with Hole)",concrete-42-square-dining-table-pedestal-base-with-hole-2542sfct-concrete-homecrest,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '30.25""'}",True,True
5721,2542SBCT,"Concrete 42"" Square Balcony Table (Post Base, with Hole)",concrete-42-square-balcony-table-pedestal-base-with-hole-2542sbct-concrete-homecrest,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '34.25""'}",True,True
5722,2542SFCTNU,"Concrete 42"" Square Dining Table (Post Base, no Hole)",concrete-42-square-dining-table-pedestal-base-no-hole-2542sfctnu-concrete-homecrest,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '30.25""'}",True,True
5723,2542SBCTNU,"Concrete 42"" Square Balcony Table (Post Base, no Hole)",concrete-42-square-balcony-table-pedestal-base-no-hole-2542sbctnu-concrete-homecrest,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '34.25""'}",True,True
5724,254284FCT,"Concrete 42"" x 84"" Rectangle Dining Table (Pedestal Base, with Hole)",concrete-42-x-84-rectangle-dining-table-pedestal-base-with-hole-254284fct-concrete-homecrest,Concrete,52,Tables,"{'Depth': '84""', 'Width': '42""', 'Height': '29.25""'}",True,True
5725,254284BCT,"Concrete 42"" x 84"" Rectangle Balcony Table (Pedestal Base, with Hole)",concrete-42-x-84-rectangle-balcony-table-pedestal-base-with-hole-254284bct-concrete-homecrest,Concrete,52,Tables,"{'Depth': '84""', 'Width': '42""', 'Height': '33.25""'}",True,True
