id,sku,available_online,quote_only
6232,2542SBHDNU,True,True
5959,2542SBSG,True,True
5961,2542SBSGNU,True,True
5928,2542SBSH,True,True
5930,2542SBSHNU,True,True
5915,2542SBSL,True,True
5917,2542SBSLNU,True,True
6040,2542SBTM,True,True
6042,2542SBTMNU,True,True
5720,2542SFCT,True,True
5722,2542SFCTNU,True,True
6228,2542SFHD,True,True
6229,2542SFHDNU,True,True
5958,2542SFSG,True,True
5960,2542SFSGNU,True,True
5927,2542SFSH,True,True
5929,2542SFSHNU,True,True
5914,2542SFSL,True,True
5916,2542SFSLNU,True,True
6039,2542SFTM,True,True
6041,2542SFTMNU,True,True
4389,2548SBTM,True,True
6044,2548SBTMNU,True,True
4388,2548SFTM,True,True
6043,2548SFTMNU,True,True
4253,261660,True,True
4248,261948,True,True
4251,2621S,True,True
4249,262348,True,True
4252,2624S,True,True
4250,262948,True,True
4257,2630110,True,True
4254,263060,True,True
5460,263215,True,True
3004,263216,True,True
5459,263315,True,True
2994,263355,True,True
4258,2634110,True,True
4255,263460,True,True
4259,2640110,True,True
4256,264060,True,True
2073,27170-O,True,True
2069,27175-2S,True,True
2071,27175-3S,True,True
2066,27175-CC,True,True
2067,27175-SR,True,True
2074,27179-CH,True,True
5715,2721SCT,True,True
4289,2721SHD,True,True
5943,2721SSG,True,True
5861,2721SSL,True,True
6028,2721STM,True,True
5716,2722SCT,True,True
4290,2722SHD,True,True
5944,2722SSG,True,True
5862,2722SSL,True,True
6029,2722STM,True,True
4219,272644B,True,True
2068,27275-SR,True,True
2070,27276-2S,True,True
2072,27277-3S,True,True
2081,2731-BS,True,True
2079,2731-CS,True,True
2080,2731-MBS,True,True
2078,2731-MCS,True,True
2075,2731-S,True,True
2076,2733-A,True,True
2077,2733-SR,True,True
5926,274282FSH,True,True
5874,274282FSL,True,True
5719,274284FCT,True,True
4293,274284FHD,True,True
6227,274284FHDNU,True,True
5957,274284FSG,True,True
4386,274284FTM,True,True
6034,274284FTMNU,True,True
5717,2742SFCT,True,True
5718,2742SFCTNU,True,True
4291,2742SFHD,True,True
6226,2742SFHDNU,True,True
5950,2742SFSG,True,True
5951,2742SFSGNU,True,True
5924,2742SFSH,True,True
5925,2742SFSHNU,True,True
5872,2742SFSL,True,True
5873,2742SFSLNU,True,True
6031,2742SFTM,True,True
6033,2742SFTMNU,True,True
5331,294333,True,True
5330,294334,True,True
5329,294411,True,True
5334,294441,True,True
5332,294443,True,True
5333,294445,True,True
5336,294449,True,True
5335,294451,True,True
5337,294621,True,True
5338,294639,True,True
5339,294794,True,True
4070,2A180,True,True
6296,2A190,True,True
4074,2A449,True,True
6297,2A459,True,True
4073,2A480,True,True
6298,2A490,True,True
4068,2A680,True,True
6299,2A690,True,True
4072,2A780,True,True
6300,2A790,True,True
4069,2A880,True,True
6301,2A890,True,True
4071,2A980,True,True
6302,2A990,True,True
4062,2F120,True,True
4060,2F240,True,True
4059,2F320,True,True
6290,2F320-4,True,True
4061,2F480,True,True
3942,2H37A-DC,True,True
3943,2H42A-DC,True,True
3944,2H43A-DC,True,True
5309,309111,True,True
5317,309112,True,True
5315,309331,True,True
2914,309336,True,True
5310,309341,True,True
5318,309342,True,True
5311,309411,True,True
5312,309418,True,True
5313,309421,True,True
5314,309431,True,True
5316,309451,True,True
5447,316010,True,True
5450,316063,True,True
5458,316098,True,True
5455,316099,True,True
5454,316245,True,True
5448,316624,True,True
5449,316638,True,True
5451,316642,True,True
5453,316715,True,True
5452,316743,True,True
5456,316825,True,True
5457,316827,True,True
5400,317112,True,True
5402,317336,True,True
5401,317342,True,True
5403,317412,True,True
5404,317418,True,True
5405,317422,True,True
5406,317452,True,True
5369,321413,True,True
5370,321418,True,True
5374,321441,True,True
5372,321443,True,True
5373,321445,True,True
5375,321453,True,True
5371,321469,True,True
4065,32180,True,True
6291,32190,True,True
5340,322093,True,True
4063,32681,True,True
6292,32691,True,True
4067,32781,True,True
6293,32791,True,True
4064,32880,True,True
6294,32890,True,True
4066,32980,True,True
6295,32990,True,True
4224,33UMBP,True,True
2090,34170-O,True,True
2084,34184-2S,True,True
2085,34184-3S,True,True
2082,34184-CC,True,True
2083,34184-SR,True,True
2087,34185-C,True,True
2088,34185-CR,True,True
2089,34185-L,True,True
2086,34185-R,True,True
2091,34198-CH,True,True
2093,3433-A,True,True
2096,3433-BS,True,True
2095,3433-CS,True,True
2092,3433-S,True,True
2094,3433-SR,True,True
4081,3610021,True,True
4082,361235,True,True
4083,362844,True,True
2153,37-DT03,True,True
2154,37-DT07,True,True
2152,37-OT05,True,True
2151,37-ST01,True,True
4932,37-ST20RD,True,True
5197,37165-2S,True,True
5198,37165-3S,True,True
5195,37165-CC,True,True
5196,37165-SR,True,True
5199,37170-O,True,True
