id,sku,name,mfg_name,cat_name,available_online,quote_only,show_price_online,price,sale_price,is_active,priced,scope
5593,SBC,Steel Bell Cap for Laurel / Emerald Coast / Lifeguard (Steel),Frankford Umbrellas,Replacement Parts,True,False,True,14.00,13.00,True,True,OUT
5594,SS-DB (1),Stainless Steel Drop-In Bolt (1),Frankford Umbrellas,Replacement Parts,True,False,True,16.00,15.00,True,True,OUT
5595,01-B (4),Bolt Set 01 (4),Frankford Umbrellas,Replacement Parts,True,False,True,22.00,20.00,True,True,OUT
5596,02-B (4),Bolt Set 02 (4),Frankford Umbrellas,Replacement Parts,True,False,True,22.00,20.00,True,True,OUT
5597,03-B (4),Bolt Set 03 (4),Frankford Umbrellas,Replacement Parts,True,False,True,22.00,20.00,True,True,OUT
5598,04-B (4),Bolt Set 04 (4),Frankford Umbrellas,Replacement Parts,True,False,True,22.00,20.00,True,True,OUT
5599,ST-B (3),Steel Bolt Set (3),Frankford Umbrellas,Replacement Parts,True,False,True,22.00,20.00,True,True,OUT
5600,480W,Weight Plate 480,Frankford Umbrellas,Replacement Parts,True,False,True,280.00,252.00,True,True,OUT
5601,480F,Base Frame 480,Frankford Umbrellas,Replacement Parts,True,False,True,64.00,58.00,True,True,OUT
5602,CMLK-DP,Camlock Double Pole Adapter,Frankford Umbrellas,Replacement Parts,True,False,True,126.00,114.00,True,True,OUT
5603,CMLK-ST-SM,Camlock Steel Stem (Small),Frankford Umbrellas,Replacement Parts,True,False,True,188.00,170.00,True,True,OUT
5604,BZ-IG,Bazooka In-Ground Anchor,Frankford Umbrellas,Replacement Parts,True,False,True,202.00,182.00,True,True,OUT
5605,BZ-ST-SM,Bazooka Steel Stem (Small),Frankford Umbrellas,Replacement Parts,True,False,True,202.00,182.00,True,True,OUT
5606,BZ-ST2-SM,"Bazooka Steel Stem 2"" (Small)",Frankford Umbrellas,Replacement Parts,True,False,True,214.00,193.00,True,True,OUT
5607,ST-TS,Steel Toe Saver,Frankford Umbrellas,Replacement Parts,True,False,True,16.00,15.00,True,True,OUT
5608,A-WHEEL,Aluminum Wheel,Frankford Umbrellas,Replacement Parts,True,False,True,68.00,62.00,True,True,OUT
5609,50S/23-ST8,Steel Plate Stack 50S/23 8-Plate,Frankford Umbrellas,Replacement Parts,True,False,True,54.00,49.00,True,True,OUT
5610,50S/23-ST4,Steel Plate Stack 50S/23 4-Plate,Frankford Umbrellas,Replacement Parts,True,False,True,54.00,49.00,True,True,OUT
5611,75S/100S-ST8,Steel Plate Stack 75S/100S 8-Plate,Frankford Umbrellas,Replacement Parts,True,False,True,78.00,71.00,True,True,OUT
5612,SA-WHEEL (1),Sand Anchor Wheel (1),Frankford Umbrellas,Replacement Parts,True,False,True,30.00,27.00,True,True,OUT
5613,D-WHEEL (1),D-Wheel (1),Frankford Umbrellas,Replacement Parts,True,False,True,14.00,13.00,True,True,OUT
5072,100A,Premium Aluminum Shell Wheel Base 100 lbs,Frankford Umbrellas,Umbrella Bases,True,False,True,590.00,531.00,True,True,OUT
5073,100S,Steel Plate Base 100 lbs,Frankford Umbrellas,Umbrella Bases,True,False,True,640.00,576.00,True,True,OUT
5074,150A,Premium Aluminum Shell Wheel Base 150 lbs,Frankford Umbrellas,Umbrella Bases,True,False,True,970.00,873.00,True,True,OUT
5075,23,Resin Coated Concrete Base 80 lbs,Frankford Umbrellas,Umbrella Bases,True,False,True,234.00,211.00,True,True,OUT
5076,24G-SQ,Square Galvanized Steel Base 100 lbs,Frankford Umbrellas,Umbrella Bases,True,False,True,780.00,702.00,True,True,OUT
5077,30G,Round Galvanized Steel Base 100 lbs,Frankford Umbrellas,Umbrella Bases,True,False,True,860.00,774.00,True,True,OUT
5078,36G,Round Galvanized Steel Base 150 lbs,Frankford Umbrellas,Umbrella Bases,True,False,True,1160.00,1044.00,True,True,OUT
5079,36G-SQ,Square Galvanized Steel Base 200 lbs,Frankford Umbrellas,Umbrella Bases,True,False,True,1430.00,1287.00,True,True,OUT
5080,40G,Round Galvanized Steel Base 185 lbs,Frankford Umbrellas,Umbrella Bases,True,False,True,1430.00,1287.00,True,True,OUT
5081,480,Galvanized Wheel Base w/ Aluminum Cover,Frankford Umbrellas,Umbrella Bases,True,False,True,1380.00,1242.00,True,True,OUT
5082,75S,Steel Plate Base 75 lbs,Frankford Umbrellas,Umbrella Bases,True,False,True,414.00,373.00,True,True,OUT
5083,20G-SQ,Square Galvanized Steel Base 70 lbs,Frankford Umbrellas,Umbrella Bases,True,False,True,680.00,612.00,True,True,OUT
