id,sku,name,collection,specs,description,short_description
5701,3725RCT,"Concrete 24"" Round Side Table (4-Legged Base, no Hole)",Concrete,"{'Depth': '24""', 'Width': '24""', 'Height': '15.5""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5702,3722RCT,"Concrete 24"" Round End Table (4-Legged Base, no Hole)",Concrete,"{'Depth': '24""', 'Width': '24""', 'Height': '19.5""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5703,3721SCT,"Concrete 24"" Square Side Table (4-Legged Base, no Hole)",Concrete,"{'Depth': '24""', 'Width': '24""', 'Height': '15.5""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5704,3722SCT,"Concrete 24"" Square End Table (4-Legged Base, no Hole)",Concrete,"{'Depth': '24""', 'Width': '24""', 'Height': '19.5""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5705,3742RFCTNU,"Concrete 42"" Round Dining Table (Universal Base, no Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5706,3742RBCTNU,"Concrete 42"" Round Balcony Table (Universal Base, no Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '34.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5707,3742SFCT,"Concrete 42"" Square Dining Table (Universal Base, with Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5708,3742SBCT,"Concrete 42"" Square Balcony Table (Universal Base, with Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '34.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5709,3742SFCTNU,"Concrete 42"" Square Dining Table (Universal Base, no Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5710,3742SBCTNU,"Concrete 42"" Square Balcony Table (Universal Base, no Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '34.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5711,3748RFCTNU,"Concrete Round Dining Table 48"" (Universal Base, no Hole)",Concrete,"{'Depth': '48""', 'Width': '48""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5712,3748RBCTNU,"Concrete Round Balcony Table 48"" (Universal Base, no Hole)",Concrete,"{'Depth': '48""', 'Width': '48""', 'Height': '34.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5713,3754RFCTNU,"Concrete Round Dining Table 54"" (Universal Base, no Hole)",Concrete,"{'Depth': '54""', 'Width': '54""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
