id,sku,name,collection,specs,description,short_description
5747,C0036RCTNU+2334B,"Concrete 36"" Round Balcony Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '36""', 'Width': '36""', 'Height': '33.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5748,C0036RCTNU+2340B,"Concrete 36"" Round Bar Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '36""', 'Width': '36""', 'Height': '39.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5749,C3636SCT+2330B,"Concrete 36"" Square Dining Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '36""', 'Width': '36""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5750,C3636SCT+2334B,"Concrete 36"" Square Balcony Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '36""', 'Width': '36""', 'Height': '33.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5751,C3636SCT+2340B,"Concrete 36"" Square Bar Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '36""', 'Width': '36""', 'Height': '39.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5752,C3636SCTNU+2330B,"Concrete 36"" Square Dining Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '36""', 'Width': '36""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5753,C3636SCTNU+2334B,"Concrete 36"" Square Balcony Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '36""', 'Width': '36""', 'Height': '33.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5754,C3636SCTNU+2340B,"Concrete 36"" Square Bar Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '36""', 'Width': '36""', 'Height': '39.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5755,C3660XCT+273660B,"Concrete 36"" x 60"" Rectangle Coffee Table (Trestle Base, no Hole)",Concrete,"{'Depth': '60""', 'Width': '36""', 'Height': '15.1""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5756,C0042RCT+3330B,"Concrete 42"" Round Dining Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5757,C0042RCT+3334B,"Concrete 42"" Round Balcony Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '33.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5758,C0042RCT+3340B,"Concrete 42"" Round Bar Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '39.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5759,C0042RCTNU+2742RB,"Concrete 42"" Round Coffee Table (Trestle Base, no Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '15.1""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5760,C0042RCTNU+3330B,"Concrete 42"" Round Dining Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5761,C0042RCTNU+3334B,"Concrete 42"" Round Balcony Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '33.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5762,C0042RCTNU+3340B,"Concrete 42"" Round Bar Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '39.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5763,C4242SCT+3330B,"Concrete 42"" Square Dining Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5764,C4242SCT+3334B,"Concrete 42"" Square Balcony Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '33.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5765,C4242SCT+3340B,"Concrete 42"" Square Bar Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '39.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5766,C4242SCTNU+2742SB,"Concrete 42"" Square Coffee Table (Trestle Base, no Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '15.1""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5767,C4242SCTNU+3330B,"Concrete 42"" Square Dining Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5768,C4242SCTNU+3334B,"Concrete 42"" Square Balcony Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '33.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5769,C4242SCTNU+3340B,"Concrete 42"" Square Bar Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '39.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5770,C0048RCT+3330B,"Concrete 48"" Round Dining Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '48""', 'Width': '48""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5771,C0048RCT+3334B,"Concrete 48"" Round Balcony Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '48""', 'Width': '48""', 'Height': '33.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5772,C0048RCT+3340B,"Concrete 48"" Round Bar Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '48""', 'Width': '48""', 'Height': '39.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5773,C0048RCTNU+3330B,"Concrete 48"" Round Dining Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '48""', 'Width': '48""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5774,C0048RCTNU+3334B,"Concrete 48"" Round Balcony Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '48""', 'Width': '48""', 'Height': '33.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5775,C0048RCTNU+3340B,"Concrete 48"" Round Bar Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '48""', 'Width': '48""', 'Height': '39.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
4400,42SQCTTT,"Concrete Fire Tables 42"" Lounge Fire Table",Concrete Fire Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '21.5""'}","Homecrest fire tables feature powerful burners delivering up to 65,000 BTUs and are compatible with both natural gas and liquid propane. Each table includes a concealed fuel tank and comes standard with your choice of fire jewelry, a secure key, and a black 3/4"" aluminum fire burner riser.",
4401,893252XCTTT,"Concrete Fire Tables 32"" x 52"" Lounge Fire Table",Concrete Fire Tables,"{'Depth': '52""', 'Width': '32""', 'Height': '21.5""'}","Homecrest fire tables feature powerful burners delivering up to 65,000 BTUs and are compatible with both natural gas and liquid propane. Each table includes a concealed fuel tank and comes standard with your choice of fire jewelry, a secure key, and a black 3/4"" aluminum fire burner riser.",
4402,893660XCTTT,Concrete Fire Tables Lounge Fire Pit,Concrete Fire Tables,"{'Depth': '60""', 'Width': '36""', 'Height': '21.5""'}","Homecrest fire tables feature powerful burners delivering up to 65,000 BTUs and are compatible with both natural gas and liquid propane. Each table includes a concealed fuel tank and comes standard with your choice of fire jewelry, a secure key, and a black 3/4"" aluminum fire burner riser.",
4403,54RCTFPTT+89RBC,"Concrete Balcony Fire Table Round 54""",Concrete Fire Tables,"{'Depth': '54""', 'Width': '54""', 'Height': '34.5""'}","Concrete Balcony Fire Table Round 54"" — Homecrest Concrete Fire Tables collection.

<p>This is the perfect top for achieving a modern, industrial look. Our Concrete tops are a part of our Natural Series collection, which brings a sophisticated organic design element to outdoor spaces utilizing the latest in composite technology. Homecrest fire tables feature powerful burners delivering up to 65,000 BTUs and are compatible with both natural gas and liquid propane. Each table includes a concealed fuel tank and comes standard with your choice of fire jewelry, a secure key, and a black 3/4"" aluminum fire burner riser.</p>","Concrete Balcony Fire Table Round 54"" — Homecrest Concrete Fire Tables collection."
4404,42RCTFPTT+89RBC,"Concrete Balcony Fire Table Round 42""",Concrete Fire Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '34.5""'}","Concrete Balcony Fire Table Round 42"" — Homecrest Concrete Fire Tables collection.

<p>This is the perfect top for achieving a modern, industrial look. Our Concrete tops are a part of our Natural Series collection, which brings a sophisticated organic design element to outdoor spaces utilizing the latest in composite technology. Homecrest fire tables feature powerful burners delivering up to 65,000 BTUs and are compatible with both natural gas and liquid propane. Each table includes a concealed fuel tank and comes standard with your choice of fire jewelry, a secure key, and a black 3/4"" aluminum fire burner riser.</p>","Concrete Balcony Fire Table Round 42"" — Homecrest Concrete Fire Tables collection."
4299,3724RSH,"Shadow Rock Round Side Table 24"" (3-Legged Base)",Shadow Rock,"{'Depth': '24""', 'Notes': '3-legged base', 'Width': '24""', 'Height': '15.5""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
4300,3723RSH,"Shadow Rock Round End Table 24"" (3-Legged Base)",Shadow Rock,"{'Depth': '24""', 'Notes': '3-legged base', 'Width': '24""', 'Height': '19.5""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
4301,1330RSH,"Shadow Rock Round Adjustable Table 30""",Shadow Rock,"{'Depth': '30""', 'Width': '30""', 'Height': '18.25""-30.75""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
4302,3742RCSHNU,"Shadow Rock Round Chat Table 42"" (Universal Base, no Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '21.5""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
4303,3742RFSH,"Shadow Rock Round Dining Table 42"" (Universal Base, with Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
4304,3742RBSH,"Shadow Rock Round Balcony Table 42"" (Universal Base, with Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '34.25""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
4305,374262FSH,"Shadow Rock Rectangle Dining Table 42"" x 62"" (Universal Base, with Hole)",Shadow Rock,"{'Depth': '62""', 'Width': '42""', 'Height': '29.25""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
4306,374272BSH,"Shadow Rock Rectangle Balcony Table 42"" x 72"" (Universal Base, with Hole)",Shadow Rock,"{'Depth': '72""', 'Width': '42""', 'Height': '34.25""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
4307,374262BSH,"Shadow Rock Rectangle Balcony Table 42"" x 62"" (Universal Base, with Hole)",Shadow Rock,"{'Depth': '62""', 'Width': '42""', 'Height': '34.25""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
4308,374272FSH,"Shadow Rock Rectangle Dining Table 42"" x 72"" (Universal Base, with Hole)",Shadow Rock,"{'Depth': '72""', 'Width': '42""', 'Height': '29.25""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
4309,374282FSH,"Shadow Rock Rectangle Dining Table 42"" x 82"" (Universal Base, with Hole)",Shadow Rock,"{'Depth': '82""', 'Width': '42""', 'Height': '29.25""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
4310,374282BSH,"Shadow Rock Rectangle Balcony Table 42"" x 82"" (Universal Base, with Hole)",Shadow Rock,"{'Depth': '82""', 'Width': '42""', 'Height': '34.25""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
4311,254282FSH,"Shadow Rock 42"" x 82"" Dining Table (Post Base)",Shadow Rock,"{'Depth': '82""', 'Width': '42""', 'Height': '30.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
4312,254282BSH,"Shadow Rock 42"" x 82"" Balcony Table (Post Base)",Shadow Rock,"{'Depth': '82""', 'Width': '42""', 'Height': '34.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
4313,374484FSH,"Shadow Rock Rectangle Dining Table 44"" x 84"" (Universal Base, with Hole)",Shadow Rock,"{'Depth': '84""', 'Width': '44""', 'Height': '29.25""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
4314,374484BSH,"Shadow Rock Rectangle Balcony Table 44"" x 84"" (Universal Base, with Hole)",Shadow Rock,"{'Depth': '84""', 'Width': '44""', 'Height': '34.25""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
4315,3748RCSHNU,"Shadow Rock Round Chat Table 48"" (Universal Base, no Hole)",Shadow Rock,"{'Depth': '48""', 'Width': '48""', 'Height': '21.5""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
4316,3748RFSH,"Shadow Rock Round Dining Table 48"" (Universal Base, with Hole)",Shadow Rock,"{'Depth': '48""', 'Width': '48""', 'Height': '29.25""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
4317,3748RBSH,"Shadow Rock Round Balcony Table 48"" (Universal Base, with Hole)",Shadow Rock,"{'Depth': '48""', 'Width': '48""', 'Height': '34.25""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5787,3725RSH,"Shadow Rock Round Side Table 24"" (4-Legged Base)",Shadow Rock,"{'Depth': '24""', 'Width': '24""', 'Height': '15.5""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5788,3722RSH,"Shadow Rock Round End Table 24"" (4-Legged Base)",Shadow Rock,"{'Depth': '24""', 'Width': '24""', 'Height': '19.5""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5789,3721SSH,"Shadow Rock Square Side Table 24"" (4-Legged Base)",Shadow Rock,"{'Depth': '24""', 'Width': '24""', 'Height': '15.5""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5790,3722SSH,"Shadow Rock Square End Table 24"" (4-Legged Base)",Shadow Rock,"{'Depth': '24""', 'Width': '24""', 'Height': '19.5""', 'Material': 'Aluminum'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5791,3742RFSHNU,"Shadow Rock Round Dining Table 42"" (Universal Base, no Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
